Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
103128,"SISTEMA DE LIMPEZA / MANUTENCAO DE MATERIAL BELICO PORTATIL, SISTEMA DE LIMPEZA / MANUTENCAO DE MATER NOME","10: ARMAMENTO                                                                                                               ","1095: ARMAMENTOS DIVERSOS                                                                                                     ","12124: SISTEMA DE LIMPEZA / MANUTENCAO DE MATERIAL BELICO PORTATIL                                         ",Ativo,Não
103268,"PEÇAS / COMPONENTES CANHÃO, CANHAO NOME","10: ARMAMENTO                                                                                                               ","1020: ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM                                                                       ","04419: PEÇAS / COMPONENTES CANHÃO                                                                          ",Ativo,Não
108,"FUZIS, FUZIS NOME","10: ARMAMENTO                                                                                                               ","1005: ARMAS DE FOGO DE CALIBRE ATÉ 120MM                                                                                      ","07889: FUZIS                                                                                               ",Ativo,Não
113352,"COMPONENTE / SOBRESSALENTE  USO MILITAR, SOBRESSALENTE - USO MILITAR NOME","10: ARMAMENTO                                                                                                               ","1095: ARMAMENTOS DIVERSOS                                                                                                     ","12172: COMPONENTE / SOBRESSALENTE  USO MILITAR                                                             ",Ativo,Não
116,"RIFLES, RIFLES NOME","10: ARMAMENTO                                                                                                               ","1005: ARMAS DE FOGO DE CALIBRE ATÉ 120MM                                                                                      ","11747: RIFLES                                                                                              ",Ativo,Não
132,"TAMBORES, TAMBORES NOME","10: ARMAMENTO                                                                                                               ","1005: ARMAS DE FOGO DE CALIBRE ATÉ 120MM                                                                                      ","12505: TAMBORES                                                                                            ",Ativo,Não
136344,"CARREGADOR PARA MUNIÇÃO, CARREGADOR METALICO - PISTOLA NOME","10: ARMAMENTO                                                                                                               ","1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ","04570: CARREGADOR PARA MUNIÇÃO                                                                             ",Ativo,Não
150877,"PEÇAS / ACESSÓRIOS ARMAMENTO, PEÇAS / ACESSÓRIOS ARMAMENTO NOME","10: ARMAMENTO                                                                                                               ","1005: ARMAS DE FOGO DE CALIBRE ATÉ 120MM                                                                                      ","01712: PEÇAS / ACESSÓRIOS ARMAMENTO                                                                        ",Ativo,Não
150913,"ARMA NÃO LETAL, ARMA NÃO LETAL NOME","10: ARMAMENTO                                                                                                               ","1095: ARMAMENTOS DIVERSOS                                                                                                     ","16657: ARMA NÃO LETAL                                                                                      ",Ativo,Não
151015,"ESPARGIDOR DEFENSIVO, ESPARGIDOR DEFENSIVO NOME","10: ARMAMENTO                                                                                                               ","1040: ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA                                                                              ","17996: ESPARGIDOR DEFENSIVO                                                                                ",Ativo,Não
159,"SILENCIADORES, SILENCIADORES NOME","10: ARMAMENTO                                                                                                               ","1005: ARMAS DE FOGO DE CALIBRE ATÉ 120MM                                                                                      ","12060: SILENCIADORES                                                                                       ",Ativo,Não
191005,"ARMA NÃO LETAL, ARMAS DE FOGO DE CALIBRE ATÉ 30MM NOME","10: ARMAMENTO                                                                                                               ","1095: ARMAMENTOS DIVERSOS                                                                                                     ","16657: ARMA NÃO LETAL                                                                                      ",Inativo,Não
191010,"ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM, ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM A NOME","10: ARMAMENTO                                                                                                               ","1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ","16658: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                     ",Ativo,Não
191015,"ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM, ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM A NOME","10: ARMAMENTO                                                                                                               ","1015: ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM                                                                        ","16659: ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM                                                    ",Ativo,Não
191020,"ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM, ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM NOME","10: ARMAMENTO                                                                                                               ","1020: ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM                                                                       ","16660: ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM                                                   ",Ativo,Não
191025,"ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM, ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM NOME","10: ARMAMENTO                                                                                                               ","1025: ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM                                                                       ","16661: ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM                                                   ",Inativo,Não
191030,"ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM, ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM NOME","10: ARMAMENTO                                                                                                               ","1030: ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM                                                                       ","16662: ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM                                                   ",Inativo,Não
191035,"ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM, ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM NOME","10: ARMAMENTO                                                                                                               ","1035: ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM                                                                                 ","16663: ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM                                                             ",Inativo,Não
191040,"ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA, ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMI NOME","10: ARMAMENTO                                                                                                               ","1040: ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA                                                                              ","16664: ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA                                                          ",Inativo,Não
191045,"LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE, LANÇADORES DE TORPEDOS E DE BOMBAS DE PR NOME","10: ARMAMENTO                                                                                                               ","1045: LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE                                                                      ","16665: LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE                                                  ",Inativo,Não
191055,"LANÇADORES DE FOGUETES E PIROTÉCNICOS, LANÇADORES DE FOGUETES E PIROTÉCNICOS NOME","10: ARMAMENTO                                                                                                               ","1055: LANÇADORES DE FOGUETES E PIROTÉCNICOS                                                                                   ","16666: LANÇADORES DE FOGUETES E PIROTÉCNICOS                                                               ",Inativo,Não
191070,"REDES SUBMARINAS DE DEFESA DE PORTOS, REDES SUBMARINAS DE DEFESA DE PORTOS NOME","10: ARMAMENTO                                                                                                               ","1070: REDES SUBMARINAS DE DEFESA DE PORTOS                                                                                    ","16667: REDES SUBMARINAS DE DEFESA DE PORTOS                                                                ",Inativo,Não
191075,"EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VARREDURA DE MINAS, EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VAR NOME","10: ARMAMENTO                                                                                                               ","1075: EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VARREDURA DE MINAS                                                                 ","16668: EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VARREDURA DE MINAS                                             ",Inativo,Não
191080,"ACESSÓRIO/EQUIPAMENTO CAMUFLAGEM E DISSIMULAÇÃO, EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMUL NOME","10: ARMAMENTO                                                                                                               ","1080: EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO                                                                            ","16669: ACESSÓRIO/EQUIPAMENTO CAMUFLAGEM E DISSIMULAÇÃO                                                     ",Ativo,Não
