Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
337,"GRANADAS DE GAS LACRIMOGENIO , GRANADAS DE GAS LACRIMOGENIO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1305: MUNIÇÃO DE CALIBRE ATÉ 30 MM                                                                                            ,08080: GRANADAS DE GAS LACRIMOGENIO                                                                        ,Ativo,Não
345,"GRANADAS INCENDIARIAS , GRANADAS INCENDIARIAS NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1305: MUNIÇÃO DE CALIBRE ATÉ 30 MM                                                                                            ,08082: GRANADAS INCENDIARIAS                                                                               ,Ativo,Não
361,"GRANADAS FUMIGENAS , GRANADAS FUMIGENAS NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1305: MUNIÇÃO DE CALIBRE ATÉ 30 MM                                                                                            ,08081: GRANADAS FUMIGENAS                                                                                  ,Ativo,Não
388,"FOGOS DE ARTIFICIO , FOGOS DE ARTIFICIO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1370: PIROTECNICOS                                                                                                            ,07681: FOGOS DE ARTIFICIO                                                                                  ,Ativo,Não
418,"ESPOLETAS DE SEGURANCA , ESPOLETAS DE SEGURANCA NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1315: MUNIÇÃO DE CALIBRE ACIMA DE 75MM ATÉE 125MM                                                                             ,07036: ESPOLETAS DE SEGURANCA                                                                              ,Ativo,Não
426,"ESPOLETAS SISMOGRAFICAS , ESPOLETAS SISMOGRAFICAS NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1315: MUNIÇÃO DE CALIBRE ACIMA DE 75MM ATÉE 125MM                                                                             ,07037: ESPOLETAS SISMOGRAFICAS                                                                             ,Ativo,Não
46345,"ESPOLETAS DE DETONACAO , ESPOLETAS DE DETONACAO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1375: MATERIAIS DE DEMOLIÇÃO                                                                                                  ,07035: ESPOLETAS DE DETONACAO                                                                              ,Ativo,Não
99902,"MUNIÇÃO ARMA DE FOGO EMPUNHÁVEL - PEQUENO PORTE , MUNICAO ARMA DE FOGO EMPUNHAVEL - PEQUEN NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1305: MUNIÇÃO DE CALIBRE ATÉ 30 MM                                                                                            ,10021: MUNIÇÃO ARMA DE FOGO EMPUNHÁVEL - PEQUENO PORTE                                                     ,Ativo,Não
99910,"MUNIÇÃO ARMA DE FOGO EMPUNHÁVEL - MÉDIO PORTE , MUNICAO ARMA DE FOGO EMPUNHAVEL - MEDIO NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1305: MUNIÇÃO DE CALIBRE ATÉ 30 MM                                                                                            ,10020: MUNIÇÃO ARMA DE FOGO EMPUNHÁVEL - MÉDIO PORTE                                                       ,Ativo,Não
100277,"EXPLOSIVO INDUSTRIAL/EXPLOSIVO DIVERSOS , EXPLOSIVO INDUSTRIAL ( DINAMITE ) NOME",13: MUNIÇÕES E EXPLOSIVOS                                                                                                   ,1375: MATERIAIS DE DEMOLIÇÃO                                                                                                  ,07245: EXPLOSIVO INDUSTRIAL/EXPLOSIVO DIVERSOS                                                             ,Ativo,Não
