Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
47031,"PRE-AQUECEDORES DE MOTOR DE AERONAVES , PRE-AQUECEDORES DE MOTOR DE AERONAVES NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1730: EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES                                                                          ,11150: PRE-AQUECEDORES DE MOTOR DE AERONAVES                                                               ,Ativo,Não
47058,"RAMPAS DE EMBARQUE E DESEMBARQUE DE PASSAGEIROS DE AERONAVES , RAMPAS DE EMBARQUE E DESEMBARQUE DE PASS NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1730: EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES                                                                          ,11410: RAMPAS DE EMBARQUE E DESEMBARQUE DE PASSAGEIROS DE AERONAVES                                        ,Ativo,Não
47066,"PLATAFORMAS DE MANUTENCAO E ESCADAS DE AERONAVES , PLATAFORMAS DE MANUTENCAO E ESCADAS DE A NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1730: EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES                                                                          ,10905: PLATAFORMAS DE MANUTENCAO E ESCADAS DE AERONAVES                                                    ,Ativo,Não
47074,"TRATORES PARA AEROPORTOS , TRATORES PARA AEROPORTOS NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1740: TRATORES E REBOQUES ESPECIALIZADOS PARA AEROPORTOS                                                                      ,12941: TRATORES PARA AEROPORTOS                                                                            ,Ativo,Não
47082,"REBOQUE CARRINHOS DE AEROPORTOS , REBOQUE CARRINHOS DE AEROPORTOS NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1740: TRATORES E REBOQUES ESPECIALIZADOS PARA AEROPORTOS                                                                      ,11455: REBOQUE CARRINHOS DE AEROPORTOS                                                                     ,Ativo,Não
191705,"EQUIPAMENTOS PARA SERVICOS DE AERODROMOS , EQUIPAMENTOS PARA SERVICOS DE AERODROMOS NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1705: EQUIPAMENTOS PARA SERVICOS DE AERODROMOS                                                                                ,16753: EQUIPAMENTOS PARA SERVICOS DE AERODROMOS                                                            ,Inativo,Não
191710,"EQUIPAMENTOS PARA POUSO DE AERONAVES , EQUIPAMENTOS PARA POUSO DE AERONAVES NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1710: EQUIPAMENTOS PARA POUSO DE AERONAVES                                                                                    ,16754: EQUIPAMENTOS PARA POUSO DE AERONAVES                                                                ,Inativo,Não
191720,"EQUIPAMENTOS PARA LANCAMENTO DE AERONAVES , EQUIPAMENTOS PARA LANCAMENTO DE AERONAVE NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1720: EQUIPAMENTOS PARA LANÇAMENTO DE AERONAVES                                                                               ,16755: EQUIPAMENTOS PARA LANCAMENTO DE AERONAVES                                                           ,Inativo,Não
191730,"EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES , EQUIPAMENTOS DE SERVICOS EM TERRA DE AER NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1730: EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES                                                                          ,16756: EQUIPAMENTOS DE SERVICOS EM TERRA DE AERONAVES                                                      ,Ativo,Não
191740,"REBOQUES E TRATORES ESPECIALIZADOS PARA AEROPORTOS , REBOQUES E TRATORES ESPECIALIZADOS PARA NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ",1740: TRATORES E REBOQUES ESPECIALIZADOS PARA AEROPORTOS                                                                      ,16757: REBOQUES E TRATORES ESPECIALIZADOS PARA AEROPORTOS                                                  ,Inativo,Não
191795,"EQUIPAMENTOS PARA LANCAMENTO, POUSO E MANOBRA DE AERONAVESDIVERSOS , EQUIPAMENTOS PARA LANCAMENTO, POUSO E MA NOME","17: EQUIPAMENTOS PARA LANCAMENTOS, POUSO E MANOBRA DE AERONAVES                                                             ","1795: EQUIPAMENTOS PARA LANCAMENTO, POUSO E MANOBRA  DE  AERONAVESDIVERSOS                                                    ","16758: EQUIPAMENTOS PARA LANCAMENTO, POUSO E MANOBRA  DE  AERONAVESDIVERSOS                                ",Inativo,Não
