Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2429,"CARROCERIA PARA TRATOR DE ESTEIRA COMPLETA , CARROCERIA PARA TRATOR DE ESTEIRA COMPLE NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",04635: CARROCERIA PARA TRATOR DE ESTEIRA COMPLETA                                                          ,Ativo,Não
2445,"MOLA DE TRATOR DE COLOCACAO DE TRILHO , MOLA DE TRATOR DE COLOCACAO DE TRILHO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",09857: MOLA DE TRATOR DE COLOCACAO DE TRILHO                                                               ,Ativo,Não
2461,"CABINE COMPLETA DE TRATOR DE ESTEIRA , CABINE COMPLETA DE TRATOR DE ESTEIRA NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",03996: CABINE COMPLETA DE TRATOR DE ESTEIRA                                                                ,Ativo,Não
2470,"COMPONENTE TRATOR ESTEIRA , COMPONENTE TRATOR DE ESTEIRA NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",05469: COMPONENTE TRATOR ESTEIRA                                                                           ,Ativo,Não
2526,"CABINE COMPLETA DE TRATOR DE RODA , CABINE COMPLETA DE TRATOR DE RODA NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",03997: CABINE COMPLETA DE TRATOR DE RODA                                                                   ,Ativo,Não
2542,"CARROCERIA PARA TRATOR DE RODA , CARROCERIA PARA TRATOR DE RODA NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",04636: CARROCERIA PARA TRATOR DE RODA                                                                      ,Ativo,Não
2569,"COMPONENTE TRATOR RODA , COMPONENTE TRATOR DE RODA NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",05470: COMPONENTE TRATOR RODA                                                                              ,Ativo,Não
2658,"QUADRO CHASSI , QUADRO CHASSI NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",11359: QUADRO CHASSI                                                                                       ,Ativo,Não
2666,"MOLA DE SUSPENSAO , MOLA DE SUSPENSAO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",09856: MOLA DE SUSPENSAO                                                                                   ,Ativo,Não
2674,"PORTA-CAPUZ COMPARTIMENTO DE MOTOR , PORTA - CAPUZ COMPARTIMENTO DE MOTOR NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",11033: PORTA-CAPUZ COMPARTIMENTO DE MOTOR                                                                  ,Inativo,Não
2682,"CONJUNTO DE PARA-BRISA , CONJUNTO DE PARA-BRISA NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",05736: CONJUNTO DE PARA-BRISA                                                                              ,Inativo,Não
2690,"VIDRO - VEICULO AUTOMOTIVO , VIDRO - VEICULO AUTOMOTIVO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",13429: VIDRO - VEICULO AUTOMOTIVO                                                                          ,Ativo,Não
2704,"PARA-LAMA VEICULO AUTOMOTIVO , PARA-LAMA VEICULO AUTOMOTIVO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",10420: PARA-LAMA VEICULO AUTOMOTIVO                                                                        ,Inativo,Não
2712,"CAIXA TRANSMISSAO HIDRAULICA - VEICULO AUTOMOTIVO , CAIXA TRANSMISSAO HIDRAULICA - VEICULO A NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,2520: COMPONENTES DE TRANSMISSÃO DE VEÍCULOS                                                                                  ,04178: CAIXA TRANSMISSAO HIDRAULICA - VEICULO AUTOMOTIVO                                                   ,Inativo,Não
2720,"RODA - VEICULO AUTOMOTIVO , RODA - VEICULO AUTOMOTIVO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2530: COMPONENTES DE FREIO, DIREÇÃO, EIXO, RODA E LAGARTA  DE  VEÍCULOS                                                       ",11769: RODA - VEICULO AUTOMOTIVO                                                                           ,Ativo,Não
2780,"CONVERSOR DE TORCAO - VEICULO AUTOMOTIVO , CONVERSOR DE TORCAO - VEICULO AUTOMOTIVO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",05835: CONVERSOR DE TORCAO - VEICULO AUTOMOTIVO                                                            ,Ativo,Não
2879,"ROLETE DE ESTEIRA - VEICULO AUTOMOTIVO , ROLETE DE ESTEIRA - VEICULO AUTOMOTIVO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2530: COMPONENTES DE FREIO, DIREÇÃO, EIXO, RODA E LAGARTA  DE  VEÍCULOS                                                       ",11814: ROLETE DE ESTEIRA - VEICULO AUTOMOTIVO                                                              ,Inativo,Não
2909,"ROLETE DE ESTEIRA DE VEICULO AUTOMOTIVO , ROLETE DE ESTEIRA DE VEICULO AUTOMOTIVO NOME",25: COMPONENTES DE VEÍCULOS                                                                                                 ,"2510: COMPONENTES DE CABINE, CARROCERIA E CHASSIS DE VEÍCULOS                                                                 ",11815: ROLETE DE ESTEIRA DE VEICULO AUTOMOTIVO                                                             ,Inativo,Não
