Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2860,"ALARME SONORO ANTI - FURTO DE VEICULO AUTOMOTIVO , ALARME SONORO ANTI - FURTO DE VEICULO AU NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",02225: ALARME SONORO ANTI - FURTO DE VEICULO AUTOMOTIVO                                                    ,Inativo,Não
2976,"AVANCO DO DISTRIBUIDOR - MOTOR VEICULO AUTOMOTIVO , AVANCO DO DISTRIBUIDOR - MOTOR VEICULO A NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",03148: AVANCO DO DISTRIBUIDOR - MOTOR VEICULO AUTOMOTIVO                                                   ,Inativo,Não
10723,"ATUADOR ELÉTRICO / MECÂNICO , ATUADOR ELETRICO / MECANICO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2935: COMPONENTES DO SISTEMA DE  RESFRIAMENTO  (ARREFECIMENTO)  DEMOTORES DE AERONAVES                                        ,03123: ATUADOR ELÉTRICO / MECÂNICO                                                                         ,Ativo,Não
14532,"AGULHA DE BOIA DE CARBURADOR DE VEICULO , AGULHA DE BOIA DE CARBURADOR DE VEICULO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2910: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE  MOTORES, EXCETO OSDE AERONAVES                                                ",02180: AGULHA DE BOIA DE CARBURADOR DE VEICULO                                                             ,Inativo,Não
14567,"BUZINA - VEICULO AUTOMOTIVO , BUZINA - VEICULO AUTOMOTIVO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",03973: BUZINA - VEICULO AUTOMOTIVO                                                                         ,Ativo,Não
14931,"TUBO FILTRO COMBUSTÍVEL , TUBULACAO DE COMBUSTIVEL NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2910: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE  MOTORES, EXCETO OSDE AERONAVES                                                ",13122: TUBO FILTRO COMBUSTÍVEL                                                                             ,Inativo,Não
14958,"CARBURADOR , CARBURADOR NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2910: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE  MOTORES, EXCETO OSDE AERONAVES                                                ",04523: CARBURADOR                                                                                          ,Inativo,Não
14982,"BOMBA DE COMBUSTIVEL , BOMBA DE COMBUSTIVEL NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2910: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE  MOTORES, EXCETO OSDE AERONAVES                                                ",03749: BOMBA DE COMBUSTIVEL                                                                                ,Inativo,Não
15008,"FILTRO PURIFICADOR DE AR - MOTOR VEICULO AUTOMOTI , FILTRO PURIFICADOR DE AR - MOTOR VEICULO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2940: FILTROS DE AR E DE ÓLEO, ELEMENTOS FILTRANTES E PURIFICADO- RES DE MOTORES, EXCETO DE AERONAVES                         ",07492: FILTRO PURIFICADOR DE AR - MOTOR VEICULO  AUTOMOTI                                                  ,Inativo,Não
15016,"FILTRO ÓLEO , FILTRO OLEO MOTOR - VEICULO AUTOMOTIVO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2940: FILTROS DE AR E DE ÓLEO, ELEMENTOS FILTRANTES E PURIFICADO- RES DE MOTORES, EXCETO DE AERONAVES                         ",07485: FILTRO ÓLEO                                                                                         ,Inativo,Não
15075,"CONTROLE DE COMBUSTIVEL PARA MOTOR A JATO , CONTROLE DE COMBUSTIVEL PARA MOTOR A JAT NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2915: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE MOTORES  DE  AERONAVES                                                         ,05822: CONTROLE DE COMBUSTIVEL PARA MOTOR A JATO                                                           ,Ativo,Não
15156,"ESCOADOR DE COMBUSTIVEL , ESCOADOR DE COMBUSTIVEL NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2915: COMPONENTES DO SISTEMA DE COMBUSTÍVEL DE MOTORES  DE  AERONAVES                                                         ,06924: ESCOADOR DE COMBUSTIVEL                                                                             ,Ativo,Não
15199,"GERADOR , GERADOR NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",07967: GERADOR                                                                                             ,Ativo,Não
15202,"MOTOR ELETRICO DE PARTIDA - VEICULO AUTOMOTIVO , MOTOR ELETRICO DE PARTIDA - VEICULO AUTO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",09976: MOTOR ELETRICO DE PARTIDA - VEICULO AUTOMOTIVO                                                      ,Inativo,Não
15210,"DISTRIBUIDOR DE IGNICAO DE MOTOR , DISTRIBUIDOR DE IGNICAO DE MOTOR NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",06352: DISTRIBUIDOR DE IGNICAO DE MOTOR                                                                    ,Inativo,Não
15229,"VELA IGNIÇÃO , VELA DE IGNICAO DE MOTOR A EXPLOSAO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",01350: VELA IGNIÇÃO                                                                                        ,Ativo,Não
15237,"CABO DE VELA , CABO DE VELA DE IGNICAO DO MOTOR - VEIC NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",04037: CABO DE VELA                                                                                        ,Ativo,Não
15245,"BOBINA IGNIÇÃO AUTOMOTIVA , BOBINA IGNICAO - VEICULO AUTOMOTIVO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",03642: BOBINA IGNIÇÃO AUTOMOTIVA                                                                           ,Inativo,Não
15253,"MAGNETO , MAGNETO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",09021: MAGNETO                                                                                             ,Inativo,Não
15270,"CHAVE CONTATO , CHAVE DE PARTIDA DE VEICULO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,"2920: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES, EXCETO OS DE AE-RONAVES                                                     ",04892: CHAVE CONTATO                                                                                       ,Ativo,Não
15296,"GERADOR DE AERONAVE , GERADOR DE AERONAVE NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2925: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE AERONAVES                                                                 ,07972: GERADOR DE AERONAVE                                                                                 ,Inativo,Não
15318,"MAGNETO DE AERONAVE , MAGNETO DE AERONAVE NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2925: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE AERONAVES                                                                 ,09023: MAGNETO DE AERONAVE                                                                                 ,Ativo,Não
15326,"VELA DE IGNICAO DE AERONAVE , VELA DE IGNICAO DE AERONAVE NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2925: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE AERONAVES                                                                 ,13362: VELA DE IGNICAO DE AERONAVE                                                                         ,Ativo,Não
15334,"BOBINA IGNIÇÃO MAGNETO , BOBINA DE IGNICAO DE AERONAVE NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2925: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE AERONAVES                                                                 ,03637: BOBINA IGNIÇÃO MAGNETO                                                                              ,Inativo,Não
15350,"DISTRIBUIDOR IGNIÇÃO MOTOR DE AERONAVE , DISTRIBUIDOR DE IGNICAO DE MOTOR DE AERO NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2925: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE AERONAVES                                                                 ,06353: DISTRIBUIDOR IGNIÇÃO MOTOR DE AERONAVE                                                              ,Ativo,Não
15377,"REGULADOR DE VOLTAGEM DE MOTOR AERONAVE , REGULADOR DE VOLTAGEM DE MOTOR AERONAVE NOME",29: ACESSÓRIOS DE MOTORES                                                                                                   ,2925: COMPONENTES DO SISTEMA ELÉTRICO DE MOTORES DE AERONAVES                                                                 ,11593: REGULADOR DE VOLTAGEM DE MOTOR AERONAVE                                                             ,Ativo,Não
