Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
892,"ALIMENTADOR DE MAQUINA DE SERRARIA , ALIMENTADOR DE MAQUINA DE SERRARIA NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3230: FERRAMENTAS E ACESSÓRIOS DE MÁQUINAS PARA TRABALHO EM  MADEIRA                                                          ,02323: ALIMENTADOR DE MAQUINA DE SERRARIA                                                                  ,Ativo,Não
16225,"MAQUINA INDUSTRIAL DE SERRAR MADEIRA , MAQUINA INDUSTRIAL DE SERRAR MADEIRA NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3210: MÁQUINAS PARA SERRARIA E PREPARO DE MADEIRA                                                                             ,09302: MAQUINA INDUSTRIAL DE SERRAR MADEIRA                                                                ,Inativo,Não
16233,"MAQUINA INDUSTRIAL DE DESDOBRAR MADEIRA , MAQUINA INDUSTRIAL DE DESDOBRAR MADEIRA NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3210: MÁQUINAS PARA SERRARIA E PREPARO DE MADEIRA                                                                             ,09270: MAQUINA INDUSTRIAL DE DESDOBRAR MADEIRA                                                             ,Ativo,Não
16241,"MAQUINA INDUSTRIAL DE APLAINAR MADEIRA , MAQUINA INDUSTRIAL DE APLAINAR MADEIRA NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3210: MÁQUINAS PARA SERRARIA E PREPARO DE MADEIRA                                                                             ,09264: MAQUINA INDUSTRIAL DE APLAINAR MADEIRA                                                              ,Ativo,Não
16268,"ENTALHADEIRA INDUSTRIAL , ENTALHADEIRA INDUSTRIAL NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3220: MÁQUINAS PARA TRABALHOS EM MADEIRA                                                                                      ,06584: ENTALHADEIRA INDUSTRIAL                                                                             ,Ativo,Não
16276,"RESPIGADEIRA INDUSTRIAL , RESPIGADEIRA INDUSTRIAL NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3220: MÁQUINAS PARA TRABALHOS EM MADEIRA                                                                                      ,11694: RESPIGADEIRA INDUSTRIAL                                                                             ,Ativo,Não
16292,"SERRA CIRCULAR INDUSTRIAL , SERRA CIRCULAR INDUSTRIAL NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3220: MÁQUINAS PARA TRABALHOS EM MADEIRA                                                                                      ,12034: SERRA CIRCULAR INDUSTRIAL                                                                           ,Ativo,Não
16306,"TUPIA INDUSTRIAL , TUPIA INDUSTRIAL NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3220: MÁQUINAS PARA TRABALHOS EM MADEIRA                                                                                      ,13129: TUPIA INDUSTRIAL                                                                                    ,Ativo,Não
16373,"DISCO PARA SERRA DE FITA PARA MADEIRA , DISCO PARA SERRA DE FITA PARA MADEIRA NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3230: FERRAMENTAS E ACESSÓRIOS DE MÁQUINAS PARA TRABALHO EM  MADEIRA                                                          ,06268: DISCO PARA SERRA DE FITA PARA MADEIRA                                                               ,Ativo,Não
16390,"PEÇAS E ACESSÓRIOS FERRAMENTAS , LAMINA DE SERRA DE FITA PARA MADEIRA NOME",32: MÁQUINAS E EQUIPAMENTOS PARA TRABALHOS EM MADEIRA                                                                       ,3230: FERRAMENTAS E ACESSÓRIOS DE MÁQUINAS PARA TRABALHO EM  MADEIRA                                                          ,08618: PEÇAS E ACESSÓRIOS FERRAMENTAS                                                                      ,Inativo,Não
