Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
7218,"INCINERADOR - PECA / ACESSORIO , INCINERADOR - PECA / ACESSORIO NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3680: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",08330: INCINERADOR - PECA / ACESSORIO                                                                      ,Ativo,Não
11711,"FOTOCOMPOSITORA , FOTOCOMPOSITORA NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3610: EQUIPAMENTO PARA IMPRESSÃO, DUPLICAÇÃO E ENCADERNAÇÃO                                                                   ",07805: FOTOCOMPOSITORA                                                                                     ,Ativo,Não
11746,"LANCADEIRA INDUSTRIAL , LANCADEIRA INDUSTRIAL NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,3625: MÁQUINAS PARA INDÚSTRIAS TÊXTEIS                                                                                        ,08682: LANCADEIRA INDUSTRIAL                                                                               ,Ativo,Não
16608,"MINERAIS PARA FUNDIÇÃO , MINERAIS PARA FUNDICAO NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3680: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",09768: MINERAIS PARA FUNDIÇÃO                                                                              ,Ativo,Não
17906,"MAQUINAS DE MOLDAR , MAQUINAS DE MOLDAR NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3680: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",09363: MAQUINAS DE MOLDAR                                                                                  ,Inativo,Não
17914,"TAMBORES ROTATIVOS PARA LIMPEZA DE PECAS FUNDIDAS , TAMBORES ROTATIVOS PARA LIMPEZA DE PECAS NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3680: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",12506: TAMBORES ROTATIVOS PARA LIMPEZA DE PECAS FUNDIDAS                                                   ,Ativo,Não
17922,"MAQUINAS DE DESEMOLDAR , MAQUINAS DE DESEMOLDAR NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3680: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",09362: MAQUINAS DE DESEMOLDAR                                                                              ,Ativo,Não
17949,"MASSA DE MOLDAGEM , MASSA DE MOLDAGEM NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3680: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",09418: MASSA DE MOLDAGEM                                                                                   ,Ativo,Não
17965,"MOLDES PARA FUNDICAO , MOLDES PARA FUNDICAO NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3680: MÁQUINAS PARA FUNDIÇÃO, EQUIPAMENTOS E  SUPRIMENTOS  CORRELATOS                                                         ",09868: MOLDES PARA FUNDICAO                                                                                ,Ativo,Não
18678,"PRENSA TIPOGRÁFICA , PRENSA PARA TIPOGRAFIA NOME",36: MÁQUINAS PARA INDÚSTRIAS ESPECIALIZADAS                                                                                 ,"3610: EQUIPAMENTO PARA IMPRESSÃO, DUPLICAÇÃO E ENCADERNAÇÃO                                                                   ",01165: PRENSA TIPOGRÁFICA                                                                                  ,Inativo,Não
