Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
4219,"AMARRA - MARINHA , AMARRA - MARINHA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",02391: AMARRA - MARINHA                                                                                    ,Ativo,Não
5436,"CORRENTE DE ARAME , CORRENTE DE ARAME NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05905: CORRENTE DE ARAME                                                                                   ,Inativo,Não
5460,"CORRENTE COM SOLDA , CORRENTE COM SOLDA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05901: CORRENTE COM SOLDA                                                                                  ,Inativo,Não
5487,"CORRENTE SEM SOLDA , CORRENTE SEM SOLDA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05911: CORRENTE SEM SOLDA                                                                                  ,Inativo,Não
5509,"CORRENTE SOLDADA , CORRENTE NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05899: CORRENTE SOLDADA                                                                                    ,Ativo,Não
5525,"OLHAL , ELO DE CORRENTE DE CARGA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",06488: OLHAL                                                                                               ,Inativo,Não
5541,"QUARTEL DE AMARRA , QUARTEL DE AMARRA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,11364: QUARTEL DE AMARRA                                                                                   ,Ativo,Não
5568,"CORRENTE DE ACO , CORRENTE DE ACO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05903: CORRENTE DE ACO                                                                                     ,Ativo,Não
5576,"CABO AÇO , CABO DE ACO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,04010: CABO AÇO                                                                                            ,Ativo,Não
5592,"CONJUNTO DE CORRENTE , CONJUNTO DE CORRENTE NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05708: CONJUNTO DE CORRENTE                                                                                ,Ativo,Não
5614,"CONJUNTO DE CABO DE ACO , CONJUNTO DE CABO DE ACO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05701: CONJUNTO DE CABO DE ACO                                                                             ,Inativo,Não
5630,"CABO DE ACO POLIDO , CABO DE ACO POLIDO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,04013: CABO DE ACO POLIDO                                                                                  ,Inativo,Não
5657,"CABO DE ACO GALVANIZADO , CABO DE ACO GALVANIZADO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,04011: CABO DE ACO GALVANIZADO                                                                             ,Inativo,Não
5789,"ADRICA DE BANDEIRA , ADRICA DE BANDEIRA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",02119: ADRICA DE BANDEIRA                                                                                  ,Ativo,Não
5800,"EMENDA DE CABO DE FIBRA , EMENDA DE CABO DE FIBRA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",06522: EMENDA DE CABO DE FIBRA                                                                             ,Ativo,Não
5827,"ENFRECHADURA , ENFRECHADURA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",06563: ENFRECHADURA                                                                                        ,Ativo,Não
5843,"CABO DE AÇO PARA REBOQUE , CABO DE ACO PARA REBOQUE NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",04012: CABO DE AÇO PARA REBOQUE                                                                            ,Ativo,Não
5860,"CABO AMARRAÇÃO DE EMBARCAÇÃO , CABO DE AMARRACAO DE EMBARCACAO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",04014: CABO AMARRAÇÃO DE EMBARCAÇÃO                                                                        ,Ativo,Não
5886,"RABICHO , RABICHO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",11382: RABICHO                                                                                             ,Inativo,Não
5894,"CABO TEXTIL , CABO TEXTIL NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",04060: CABO TEXTIL                                                                                         ,Inativo,Não
5924,"CORDA , CORDA DE NAILON ( NYLON ) NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05854: CORDA                                                                                               ,Ativo,Não
5940,"CORDEL DE FIBRA , CORDEL DE FIBRA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05869: CORDEL DE FIBRA                                                                                     ,Ativo,Não
5959,"TERMINAL DE CABO DE ACO , TERMINAL DE CABO DE ACO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",12650: TERMINAL DE CABO DE ACO                                                                             ,Inativo,Não
5967,"TERMINAL DE CABO DE FIBRA , TERMINAL DE CABO DE FIBRA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",12651: TERMINAL DE CABO DE FIBRA                                                                           ,Ativo,Não
5983,"BRAÇADEIRA CABO AÇO , ABRACADEIRA DE CABO DE ACO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",01223: BRAÇADEIRA CABO AÇO                                                                                 ,Ativo,Não
5991,"GANCHO DE CARGA , GANCHO DE CARGA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",07914: GANCHO DE CARGA                                                                                     ,Ativo,Não
15814,"CORRENTE DE ACO , CORRENTE DE ACO 1 NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05903: CORRENTE DE ACO                                                                                     ,Inativo,Não
22756,"EMENDA PARA CORRENTE , EMENDA PARA CORRENTE NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,06524: EMENDA PARA CORRENTE                                                                                ,Ativo,Não
31267,"BARBANTE , BARBANTE NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",03324: BARBANTE                                                                                            ,Inativo,Não
31313,"CABO DE FIBRA , CABO DE FIBRA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",04027: CABO DE FIBRA                                                                                       ,Ativo,Não
31321,"CABO DE CORDOALHA , CABO DE CORDOALHA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,04024: CABO DE CORDOALHA                                                                                   ,Inativo,Não
37532,"CORRENTE PARA CARGA DE ARAME , CORRENTE PARA CARGA DE ARAME NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,05908: CORRENTE PARA CARGA DE ARAME                                                                        ,Inativo,Não
37540,"ELO PARA CORRENTE , ELO PARA CORRENTE NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,06490: ELO PARA CORRENTE                                                                                   ,Inativo,Não
37559,"PRENDEDOR PARA CORRENTE , PRENDEDOR PARA CORRENTE NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ",4010: CORRENTES E CABOS DE AÇO                                                                                                ,11169: PRENDEDOR PARA CORRENTE                                                                             ,Ativo,Não
37567,"CORDA DE SISAL , CORDA DE SISAL NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05856: CORDA DE SISAL                                                                                      ,Inativo,Não
37575,"CORDA FIBRA , CORDA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05852: CORDA FIBRA                                                                                         ,Ativo,Não
37583,"CORDOALHA , CORDOALHA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05871: CORDOALHA                                                                                           ,Ativo,Não
37605,"CORDOALHA DE COBRE DE PUXAMENTO DE CABO , CORDOALHA DE COBRE DE PUXAMENTO DE CABO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05876: CORDOALHA DE COBRE DE PUXAMENTO DE CABO                                                             ,Inativo,Não
37613,"CORDOALHA DE ACO , CORDOALHA DE ACO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05872: CORDOALHA DE ACO                                                                                    ,Inativo,Não
37621,"CORDOALHA DE ACO DE PUXAMENTO DE CABO , CORDOALHA DE ACO DE PUXAMENTO DE CABO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",05873: CORDOALHA DE ACO DE PUXAMENTO DE CABO                                                               ,Inativo,Não
37630,"CABO DE FIBRA , CABO DE FIBRA 1 NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",04027: CABO DE FIBRA                                                                                       ,Inativo,Não
37648,"BARBANTE ALGODÃO , BARBANTE DE ALGODAO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",00080: BARBANTE ALGODÃO                                                                                    ,Inativo,Não
37656,"BARBANTE DE SISAL , BARBANTE DE SISAL NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",03325: BARBANTE DE SISAL                                                                                   ,Inativo,Não
37664,"BARBANTE ALGODÃO , CADARCO TUBULAR DE ALGODAO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",00080: BARBANTE ALGODÃO                                                                                    ,Inativo,Não
37672,"FITILHO , FITILHO DE PLASTICO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4020: CABOS DE FIBRA, CORDOALHAS E BARBANTES                                                                                  ",07613: FITILHO                                                                                             ,Inativo,Não
47309,"ANEL GUIA , ANEL GUIA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",02503: ANEL GUIA                                                                                           ,Inativo,Não
47317,"GARRA DE CORDOALHA , GARRA DE CORDOALHA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",07929: GARRA DE CORDOALHA                                                                                  ,Ativo,Não
47333,"SAPATILHA DE CABO / CORDA , SAPATILHA DE CABO / CORDA NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",11940: SAPATILHA DE CABO / CORDA                                                                           ,Ativo,Não
47341,"GRAMPO PARA CABO , GRAMPO PARA CABO NOME","40: CORDAS, CABOS, CORRENTES E SEUS ACESSÓRIOS                                                                              ","4030: ACESSÓRIOS PARA CORDAS, CABOS E CORRENTES                                                                               ",08074: GRAMPO PARA CABO                                                                                    ,Ativo,Não
