Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1350,"VENTILADOR DE EMBARCACAO , VENTILADOR DE EMBARCACAO NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ","4140: VENTILADORES, CIRCULADORES DE AR E VENTOINHAS                                                                           ",13373: VENTILADOR DE EMBARCACAO                                                                            ,Inativo,Não
6017,"BALCÃO FRIGORÍFICO , BALCAO FRIGORIFICO NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,00763: BALCÃO FRIGORÍFICO                                                                                  ,Ativo,Não
6025,"FREEZER , EQUIPAMENTO PARA CONGELAMENTO DE ALIMENT NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,00783: FREEZER                                                                                             ,Inativo,Não
6041,"SORVETEIRA , SORVETEIRA NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,12277: SORVETEIRA                                                                                          ,Ativo,Não
6084,"CONJUNTO REFRIGERAÇÃO LÍQUIDO , CONJUNTO PARA REFRIGERACAO DE LIQUIDO NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,05771: CONJUNTO REFRIGERAÇÃO LÍQUIDO                                                                       ,Ativo,Não
6106,"REFRIGERADOR COMERCIAL , REFRIGERADOR COMERCIAL NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,11538: REFRIGERADOR COMERCIAL                                                                              ,Inativo,Não
6122,"REFRIGERADOR DE LABORATÓRIO , REFRIGERADOR DE LABORATORIO NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,11539: REFRIGERADOR DE LABORATÓRIO                                                                         ,Inativo,Não
6149,"REFRIGERADOR DE MATERIAL FOTOGRAFICO , REFRIGERADOR DE MATERIAL FOTOGRAFICO NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,11540: REFRIGERADOR DE MATERIAL FOTOGRAFICO                                                                ,Ativo,Não
6165,"REFRIGERADOR DOMÉSTICO , REFRIGERADOR DOMESTICO / GELADEIRA NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,13629: REFRIGERADOR DOMÉSTICO                                                                              ,Ativo,Não
6173,"BEBEDOURO ÁGUA GARRAFÃO , BEBEDOURO REFRIGERADO ( EXCETO PORTATIL NOME","41: EQUIPAMENTOS PARA REFRIGERAÇÃO, AR CONDICIONADO E CIRCULAÇÃODE AR                                                       ",4110: EQUIPAMENTO PARA REFRIGERAÇÃO                                                                                           ,03492: BEBEDOURO ÁGUA GARRAFÃO                                                                             ,Ativo,Não
