Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
6777,"COMPRESSOR MONTADO EM VIATURA , COMPRESSOR MONTADO EM VIATURA NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4310: BOMBAS E COMPRESSORES A VÁCUO                                                                                           ,05516: COMPRESSOR MONTADO EM VIATURA                                                                       ,Inativo,Não
6785,"BOMBA DE FLUIDO DE PERFURACAO , BOMBA DE FLUIDO DE PERFURACAO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,03760: BOMBA DE FLUIDO DE PERFURACAO                                                                       ,Inativo,Não
6793,"CARNEIRO HIDRÁULICO , CARNEIRO HIDRAULICO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,04561: CARNEIRO HIDRÁULICO                                                                                 ,Ativo,Não
6807,"BOMBA OPERADA A LIQUIDO E GASES , BOMBA OPERADA A LIQUIDO E GASES NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,03789: BOMBA OPERADA A LIQUIDO E GASES                                                                     ,Inativo,Não
6815,"BOMBA DE INFLACAO , BOMBA DE INFLACAO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,03761: BOMBA DE INFLACAO                                                                                   ,Inativo,Não
6823,"BOMBA DE DEFLACAO , BOMBA DE DEFLACAO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,03751: BOMBA DE DEFLACAO                                                                                   ,Inativo,Não
6831,"BOMBA MANUAL DE ENCHER PNEU - VEICULO AUTOMOTIVO , BOMBA MANUAL DE ENCHER PNEU - VEICULO AU NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,03787: BOMBA MANUAL DE ENCHER PNEU - VEICULO AUTOMOTIVO                                                    ,Inativo,Não
6840,"BOMBA PARA CAMARA DE AR ( MOTOBOMBA ) , BOMBA PARA CAMARA DE AR ( MOTOBOMBA ) NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,03790: BOMBA PARA CAMARA DE AR ( MOTOBOMBA )                                                               ,Inativo,Não
6858,"FILTRO SEPARADOR AR , FILTRO A PRESSAO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,"4330: CENTRIFUGADORES, SEPARADORES E FILTROS DE PRESSÃO E A VÁCUO                                                             ",07452: FILTRO SEPARADOR AR                                                                                 ,Ativo,Não
6866,"FILTRO A VACUO , FILTRO A VACUO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,"4330: CENTRIFUGADORES, SEPARADORES E FILTROS DE PRESSÃO E A VÁCUO                                                             ",07453: FILTRO A VACUO                                                                                      ,Ativo,Não
22977,"ELETROBOMBA , ELETROBOMBA NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4320: BOMBAS MANUAIS E MECÂNICAS                                                                                              ,06456: ELETROBOMBA                                                                                         ,Ativo,Não
38075,"COMPRESSOR HERMÉTICO ALTERNATIVO , COMPRESSOR DE AR ALTERNATIVO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4310: BOMBAS E COMPRESSORES A VÁCUO                                                                                           ,05503: COMPRESSOR HERMÉTICO ALTERNATIVO                                                                    ,Inativo,Não
38083,"COMPRESSOR DE AR ROTATIVO , COMPRESSOR DE AR ROTATIVO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4310: BOMBAS E COMPRESSORES A VÁCUO                                                                                           ,05507: COMPRESSOR DE AR ROTATIVO                                                                           ,Inativo,Não
38091,"COMPRESSOR GÁS ALTERNATIVO , COMPRESSOR DE GAS ALTERNATIVO NOME",43: BOMBAS E COMPRESSORES                                                                                                   ,4310: BOMBAS E COMPRESSORES A VÁCUO                                                                                           ,05508: COMPRESSOR GÁS ALTERNATIVO                                                                          ,Inativo,Não
