Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2127,"ESTUFA DE SECAGEM DE PINTURA , ESTUFA DE SECAGEM DE PINTURA NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ","4430: FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS                                                                                 ",07212: ESTUFA DE SECAGEM DE PINTURA                                                                        ,Ativo,Não
6874,"CALDEIRA A VAPOR ( ACIMA DE 1,1 KGF/CM2 DE PRESSAO , CALDEIRA A VAPOR ( ACIMA DE 1,1 KGF/CM2 NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4410: CALDEIRAS INDUSTRIAIS                                                                                                   ,"04222: CALDEIRA A VAPOR ( ACIMA DE 1,1 KGF/CM2 DE PRESSAO                                                  ",Inativo,Não
6882,"AQUECEDOR INDUSTRIAL DE AGUA ( ACIMA DE 400 LITROS DE CAPACIDADE ) , AQUECEDOR INDUSTRIAL DE AGUA ( ACIMA DE NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4410: CALDEIRAS INDUSTRIAIS                                                                                                   ,02934: AQUECEDOR INDUSTRIAL DE AGUA ( ACIMA DE 400 LITROS DE CAPACIDADE )                                  ,Inativo,Não
6890,"CALDEIRA NAVAL , CALDEIRA NAVAL NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4410: CALDEIRAS INDUSTRIAIS                                                                                                   ,04228: CALDEIRA NAVAL                                                                                      ,Ativo,Não
6904,"CORPO CALDEIRA , CORPO DE CALDEIRA NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4410: CALDEIRAS INDUSTRIAIS                                                                                                   ,05884: CORPO CALDEIRA                                                                                      ,Ativo,Não
6912,"GERADOR DE VAPOR , GERADOR DE VAPOR NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4410: CALDEIRAS INDUSTRIAIS                                                                                                   ,07982: GERADOR DE VAPOR                                                                                    ,Ativo,Não
6920,"CONDENSADOR BAROMETRICO , CONDENSADOR BAROMETRICO NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4420: TROCADORES DE CALOR E CONDENSADORES DE VAPOR                                                                            ,05535: CONDENSADOR BAROMETRICO                                                                             ,Ativo,Não
6939,"EVAPORADOR DESIDRATADOR , EVAPORADOR DESIDRATADOR NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ","4440: SECADORES, DESIDRATADORES E ANTI-HIDRATADORES                                                                           ",07237: EVAPORADOR DESIDRATADOR                                                                             ,Ativo,Não
6947,"PRECIPITADOR ELETRONICO , PRECIPITADOR ELETRONICO NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4460: EQUIPAMENTOS PARA PURIFICAÇÃO DE AR                                                                                     ,11151: PRECIPITADOR ELETRONICO                                                                             ,Ativo,Não
6955,"EQUIPAMENTO COLETOR DE POEIRA , EQUIPAMENTO COLETOR DE POEIRA NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4460: EQUIPAMENTOS PARA PURIFICAÇÃO DE AR                                                                                     ,06649: EQUIPAMENTO COLETOR DE POEIRA                                                                       ,Ativo,Não
6963,"APARELHO PARA PURIFICACAO DE AR , APARELHO PARA PURIFICACAO DE AR NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4460: EQUIPAMENTOS PARA PURIFICAÇÃO DE AR                                                                                     ,02842: APARELHO PARA PURIFICACAO DE AR                                                                     ,Inativo,Não
17116,"FORNO FERRAMENTEIRO AUTOMATICO , FORNO FERRAMENTEIRO AUTOMATICO NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ","4430: FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS                                                                                 ",07764: FORNO FERRAMENTEIRO AUTOMATICO                                                                      ,Inativo,Não
17825,"FORNO COM CADINHO , FORNO COM CADINHO NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ","4430: FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS                                                                                 ",07758: FORNO COM CADINHO                                                                                   ,Inativo,Não
17833,"FORNO INDUSTRIAL , FORNO INDUSTRIAL NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ","4430: FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS                                                                                 ",07765: FORNO INDUSTRIAL                                                                                    ,Ativo,Não
17973,"FORNO CUBILOT , FORNO CUBILOT NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ","4430: FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS                                                                                 ",07759: FORNO CUBILOT                                                                                       ,Inativo,Não
32425,"DISCO RUPTURA AUTOCLAVE , AUTOCLAVE / COMPONENTE - LABORATORIO NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ",4410: CALDEIRAS INDUSTRIAIS                                                                                                   ,03132: DISCO RUPTURA AUTOCLAVE                                                                             ,Ativo,Não
38253,"ESTUFA INDUSTRIAL , ESTUFA INDUSTRIAL NOME","44: FORNOS, CENTRAIS DE VAPOR E EQUIPAMENTOS DE SECAGEM,  REATO-RES NUCLEARES                                               ","4430: FORNALHAS, FORNOS E ESTUFAS INDUSTRIAIS                                                                                 ",07214: ESTUFA INDUSTRIAL                                                                                   ,Ativo,Não
