Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
8818,"CALIBRE MEDIDA INTERNA , CALIBRE DE MEDIDA INTERNA NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,04275: CALIBRE MEDIDA INTERNA                                                                              ,Ativo,Não
8826,"CALIBRE DE MEDIDA EXTERNA , CALIBRE DE MEDIDA EXTERNA NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,04274: CALIBRE DE MEDIDA EXTERNA                                                                           ,Inativo,Não
8834,"COMPASSO CALIBRE DIGITAL , COMPASSO DE MEDIDA INTERNA NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,00913: COMPASSO CALIBRE DIGITAL                                                                            ,Inativo,Não
8850,"COMPASSO CALIBRE DIGITAL , COMPASSO DE MEDIDA EXTERNA NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,00913: COMPASSO CALIBRE DIGITAL                                                                            ,Inativo,Não
8869,"NÍVEL BOLHA , NIVEL DE ARTIFICE NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,00920: NÍVEL BOLHA                                                                                         ,Ativo,Não
8877,"MICRÔMETRO DIGITAL , MICROMETRO DIGITAL NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5220: CALIBRES DE INSPEÇÃO E FERRAMENTAS DE PRECISÃO                                                                          ,01038: MICRÔMETRO DIGITAL                                                                                  ,Ativo,Não
8893,"FIO DE PRUMO , FIO DE PRUMO NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,07508: FIO DE PRUMO                                                                                        ,Inativo,Não
8907,"TRENA , TRENA DE PRECISAO NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,00968: TRENA                                                                                               ,Ativo,Não
8915,"FITA DE ACO PARA MEDICAO , FITA DE ACO PARA MEDICAO NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,07561: FITA DE ACO PARA MEDICAO                                                                            ,Ativo,Não
8931,"METRO DOBRÁVEL , METRO DOBRAVEL NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,00919: METRO DOBRÁVEL                                                                                      ,Inativo,Não
8940,"ESQUADRO , ESQUADRO DE ARTIFICE NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,00918: ESQUADRO                                                                                            ,Ativo,Não
8958,"CALIBRE CENTRAGEM FERRAMENTA DE TORNO , CALIBRE DE CENTRAGEM DE FERRAMENTA DE TO NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,04269: CALIBRE CENTRAGEM FERRAMENTA DE TORNO                                                               ,Ativo,Não
8966,"CALIBRE DE PROFUNDIDADE , CALIBRE DE PROFUNDIDADE NOME",52: INSTRUMENTOS DE MEDIÇÃO                                                                                                 ,5210: INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES                                                                                  ,04282: CALIBRE DE PROFUNDIDADE                                                                             ,Inativo,Não
