Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
10324,"PAINEL PRE - FABRICADO DE MONTAGEM PREDIAL , PAINEL PRE - FABRICADO DE MONTAGEM PREDI NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5410: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS                                                                                  ,10313: PAINEL PRE - FABRICADO DE MONTAGEM PREDIAL                                                          ,Inativo,Não
10340,"ARMAZEM PRE - FABRICADO , ARMAZEM PRE - FABRICADO NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5410: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS                                                                                  ,03019: ARMAZEM PRE - FABRICADO                                                                             ,Inativo,Não
10383,"ABRIGO EQUIPAMENTO METEOROLÓGICO , ABRIGO - INSTRUMENTO METEOROLOGICO NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5410: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS                                                                                  ,01209: ABRIGO EQUIPAMENTO METEOROLÓGICO                                                                    ,Ativo,Não
10405,"ABRIGO EQUIPAMENTO METEOROLÓGICO , ABRIGO - EQUIPAMENTO ELETRICO NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5410: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS                                                                                  ,01209: ABRIGO EQUIPAMENTO METEOROLÓGICO                                                                    ,Inativo,Não
10413,"ABRIGO EQUIPAMENTO METEOROLÓGICO , ABRIGO - EQUIPAMENTO TELEFONICO NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5410: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS                                                                                  ,01209: ABRIGO EQUIPAMENTO METEOROLÓGICO                                                                    ,Inativo,Não
10421,"ABRIGO , ABRIGO / GUARITA - VIGIA NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5410: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS                                                                                  ,01208: ABRIGO                                                                                              ,Ativo,Não
10430,"BLOCO MOLDADO PARA CONSTRUÇÃO , BLOCO MOLDADO PARA CONSTRUCAO NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5410: EDIFICAÇÕES PRÉ-FABRICADAS E PORTÁTEIS                                                                                  ,03621: BLOCO MOLDADO PARA CONSTRUÇÃO                                                                       ,Inativo,Não
10448,"SECAO DE PONTE FIXA , SECAO DE PONTE FIXA NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5420: PONTES FIXAS E FLUTUANTES                                                                                               ,11966: SECAO DE PONTE FIXA                                                                                 ,Ativo,Não
10456,"SECAO DE PONTE FLUTUANTE , SECAO DE PONTE FLUTUANTE NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5420: PONTES FIXAS E FLUTUANTES                                                                                               ,11967: SECAO DE PONTE FLUTUANTE                                                                            ,Ativo,Não
10464,"FLUTUADOR PARA PONTE , FLUTUADOR PARA PONTE NOME",54: ESTRUTURAS E ANDAIMES PRÉ-FABRICADOS                                                                                    ,5420: PONTES FIXAS E FLUTUANTES                                                                                               ,07673: FLUTUADOR PARA PONTE                                                                                ,Ativo,Não
