Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1368,"CHAPA DE VIDRO , CHAPA DE VIDRO NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5620: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO                                                                        ",04839: CHAPA DE VIDRO                                                                                      ,Ativo,Não
1430,"FOLHA DE VIDRO , FOLHA DE VIDRO NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5620: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO                                                                        ",07698: FOLHA DE VIDRO                                                                                      ,Ativo,Não
2100,"ESTRUTURA METALICA PARA PORTA / JANELA , ESTRUTURA METALICA PARA PORTA / JANELA NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,5670: COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO                                                                              ,07206: ESTRUTURA METALICA PARA PORTA / JANELA                                                              ,Ativo,Não
10928,"MOURÃO MADEIRA , MOURAO DE MADEIRA PARA CERCA NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5660: CERCAS, GRADES E PORTÕES                                                                                                ",09999: MOURÃO MADEIRA                                                                                      ,Inativo,Não
10979,"ALIZAR DE MATERIAL METALICO PARA JANELA , ALIZAR DE MATERIAL METALICO PARA JANELA NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,5670: COMPONENTES PRÉ-FABRICADOS PARA CONSTRUÇÃO                                                                              ,02338: ALIZAR DE MATERIAL METALICO PARA JANELA                                                             ,Inativo,Não
11037,"PASTILHA DE CERAMICA , PASTILHA DE CERAMICA NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5620: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO                                                                        ",10500: PASTILHA DE CERAMICA                                                                                ,Ativo,Não
11045,"AZULEJO , AZULEJO NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5620: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO                                                                        ",01242: AZULEJO                                                                                             ,Inativo,Não
11053,"PARALELEPIPEDO , PARALELEPIPEDO NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5620: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO                                                                        ",10455: PARALELEPIPEDO                                                                                      ,Ativo,Não
11061,"MEIO - FIO DE CONCRETO , MEIO - FIO DE CONCRETO NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5620: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO                                                                        ",09582: MEIO - FIO DE CONCRETO                                                                              ,Ativo,Não
11070,"MEIO - FIO DE PEDRA , MEIO - FIO DE PEDRA NOME",56: MATERIAIS PARA CONSTRUÇÃO                                                                                               ,"5620: VIDROS, TELHAS, TIJOLOS E BLOCOS PARA CONSTRUÇÃO                                                                        ",09583: MEIO - FIO DE PEDRA                                                                                 ,Ativo,Não
