Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
370,"EXTENSAO DE FIO ELETRICO , EXTENSAO DE FIO ELETRICO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6150: EQUIPAMENTOS DIVERSOS PARA GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA                                                            ,07247: EXTENSAO DE FIO ELETRICO                                                                            ,Inativo,Não
13978,"TERMINAL BATERIA , TERMINAL EM ORELHA PARA BATERIA NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6160: ACESSÓRIOS E REVESTIMENTOS DIVERSOS PARA BATERIAS                                                                       ,12655: TERMINAL BATERIA                                                                                    ,Ativo,Não
15547,"FIO ELETRICO , FIO ELETRICO COM CAPACIDADE RESISTENCIA NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6145: FIOS E CABOS ELÉTRICOS                                                                                                  ,07533: FIO ELETRICO                                                                                        ,Inativo,Não
15580,"ZFIO CAPACIDADE DE CONDUTIVIDADE ELETRICA , FIO COM CAPACIDADE DE CONDUTIVIDADE ELET NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6145: FIOS E CABOS ELÉTRICOS                                                                                                  ,07502: ZFIO CAPACIDADE DE CONDUTIVIDADE ELETRICA                                                           ,Inativo,Não
21385,"MOTOR ELETRICO UNIVERSAL , MOTOR ELETRICO UNIVERSAL NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,09983: MOTOR ELETRICO UNIVERSAL                                                                            ,Inativo,Não
21393,"MOTOR ELÉTRICO , MOTOR ELETRICO DE INDUCAO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,09975: MOTOR ELÉTRICO                                                                                      ,Ativo,Não
21407,"MOTOR ELETRICO DE GAIOLA DE ESQUILO , MOTOR ELETRICO DE GAIOLA DE ESQUILO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,09974: MOTOR ELETRICO DE GAIOLA DE ESQUILO                                                                 ,Inativo,Não
21415,"MOTOR SINCRONO , MOTOR SINCRONO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,09997: MOTOR SINCRONO                                                                                      ,Inativo,Não
21431,"ENROLAMENTO DE CAMPO DE MOTOR ELETRICO , ENROLAMENTO DE CAMPO DE MOTOR ELETRICO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,06582: ENROLAMENTO DE CAMPO DE MOTOR ELETRICO                                                              ,Ativo,Não
21440,"ROTOR DE MOTOR ELETRICO , ROTOR DE MOTOR ELETRICO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,11840: ROTOR DE MOTOR ELETRICO                                                                             ,Ativo,Não
21458,"MOTOR ELETRICO DE CORRENTE ALTERNADA , MOTOR ELETRICO DE CORRENTE ALTERNADA NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,09969: MOTOR ELETRICO DE CORRENTE ALTERNADA                                                                ,Ativo,Não
21466,"MOTOR DE CORRENTE CONTINUA , MOTOR DE CORRENTE CONTINUA NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6105: MOTORES ELÉTRICOS                                                                                                       ,09957: MOTOR DE CORRENTE CONTINUA                                                                          ,Ativo,Não
21474,"REGULADOR TENSAO , REGULADOR DE TENSAO ELETRICA NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6110: EQUIPAMENTOS DE CONTROLE ELÉTRICO                                                                                       ,11589: REGULADOR TENSAO                                                                                    ,Ativo,Não
21482,"PAINEL CONTROLE ELÉTRICO , PAINEL DE CONTROLE ELETRICO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6110: EQUIPAMENTOS DE CONTROLE ELÉTRICO                                                                                       ,10292: PAINEL CONTROLE ELÉTRICO                                                                            ,Inativo,Não
21490,"PAINEL DE INDICADOR ELETRICO , PAINEL DE INDICADOR ELETRICO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6110: EQUIPAMENTOS DE CONTROLE ELÉTRICO                                                                                       ,10296: PAINEL DE INDICADOR ELETRICO                                                                        ,Ativo,Não
21504,"PARTIDA ( QUADRO ) DE MOTOR , PARTIDA ( QUADRO ) DE MOTOR NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6110: EQUIPAMENTOS DE CONTROLE ELÉTRICO                                                                                       ,10466: PARTIDA ( QUADRO ) DE MOTOR                                                                         ,Ativo,Não
21512,"CONJUNTO DE CONTATO DE PARTIDA DE MOTOR ELETRICO , CONJUNTO DE CONTATO DE PARTIDA DE MOTOR NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6110: EQUIPAMENTOS DE CONTROLE ELÉTRICO                                                                                       ,05706: CONJUNTO DE CONTATO DE PARTIDA DE MOTOR ELETRICO                                                    ,Ativo,Não
21539,"SERVOMECANISMO DE CONTROLE ELETRICO , SERVOMECANISMO DE CONTROLE ELETRICO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6110: EQUIPAMENTOS DE CONTROLE ELÉTRICO                                                                                       ,12051: SERVOMECANISMO DE CONTROLE ELETRICO                                                                 ,Ativo,Não
21547,"GERADOR CORRENTE ALTERNADA , GERADOR DE CORRENTE ALTERNADA NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6115: GERADORES E CONJUNTOS GERADORES ELÉTRICOS                                                                               ,07973: GERADOR CORRENTE ALTERNADA                                                                          ,Ativo,Não
21555,"ENROLAMENTO ( BOBINA ) DE CAMPO - GERADOR ELETRICO , ENROLAMENTO ( BOBINA ) DE CAMPO - GERADO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6115: GERADORES E CONJUNTOS GERADORES ELÉTRICOS                                                                               ,06581: ENROLAMENTO ( BOBINA ) DE CAMPO - GERADOR ELETRICO                                                  ,Ativo,Não
21563,"ENROLAMENTO DO ROTOR DO GERADOR ELETRICO , ENROLAMENTO DO ROTOR DO GERADOR ELETRICO NOME",61: CONDUTORES ELÉTRICOS E EQUIPAMENTOS PARA GERAÇÃO  E  DISTRI-BUIÇÃO DE ENERGIA                                           ,6115: GERADORES E CONJUNTOS GERADORES ELÉTRICOS                                                                               ,06583: ENROLAMENTO DO ROTOR DO GERADOR ELETRICO                                                            ,Ativo,Não
