Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
15288,"APARELHO SISTEMA DE ILUMINAÇÃO AERONAVE , APARELHO PARA SISTEMA DE ILUMINACAO - AE NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6220: LUZES E EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA PARA VEÍCULOS                                                               ,02846: APARELHO SISTEMA DE ILUMINAÇÃO AERONAVE                                                             ,Ativo,Não
22136,"EQUIPAMENTO DE ILUMINACAO DE AEROPORTO , EQUIPAMENTO DE ILUMINACAO DE AEROPORTO NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6210: APARELHOS DE ILUMINAÇÃO ELÉTRICA DE USO INTERNO E EXTERNO                                                               ,06700: EQUIPAMENTO DE ILUMINACAO DE AEROPORTO                                                              ,Inativo,Não
22152,"LENTE SINALIZADOR VEÍCULO AUTOMOTIVO , LENTE FAROL - VEICULO AUTOMOTIVO NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6220: LUZES E EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA PARA VEÍCULOS                                                               ,08783: LENTE SINALIZADOR VEÍCULO AUTOMOTIVO                                                                ,Inativo,Não
22160,"LENTE PARA USO EM APARELHO DE ILUMINACAO , LENTE PARA USO EM APARELHO DE ILUMINACAO NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6210: APARELHOS DE ILUMINAÇÃO ELÉTRICA DE USO INTERNO E EXTERNO                                                               ,08792: LENTE PARA USO EM APARELHO DE ILUMINACAO                                                            ,Ativo,Não
22179,"LUMINÁRIA , EQUIPAMENTO ILUMINACAO GERAL - LUMINARI NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6210: APARELHOS DE ILUMINAÇÃO ELÉTRICA DE USO INTERNO E EXTERNO                                                               ,06792: LUMINÁRIA                                                                                           ,Inativo,Não
22187,"FAROL NEBLINA , FAROL CONTRA NEBLINA NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6220: LUZES E EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA PARA VEÍCULOS                                                               ,07302: FAROL NEBLINA                                                                                       ,Ativo,Não
22195,"FAROL COMUM , FAROL COMUM NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6220: LUZES E EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA PARA VEÍCULOS                                                               ,07297: FAROL COMUM                                                                                         ,Inativo,Não
22209,"FAROLETE , FAROLETE NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6220: LUZES E EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA PARA VEÍCULOS                                                               ,07315: FAROLETE                                                                                            ,Inativo,Não
22217,"LUZ SEGURANCA - VEICULO AUTOMOTIVO , LUZ SEGURANCA - VEICULO AUTOMOTIVO NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6220: LUZES E EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA PARA VEÍCULOS                                                               ,08988: LUZ SEGURANCA - VEICULO AUTOMOTIVO                                                                  ,Inativo,Não
22225,"LENTE PARA LAMPADA INDICADORA , LENTE PARA LAMPADA INDICADORA NOME",62: EQUIPAMENTOS DE ILUMINAÇÃO E LÂMPADAS                                                                                   ,6220: LUZES E EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA PARA VEÍCULOS                                                               ,08789: LENTE PARA LAMPADA INDICADORA                                                                       ,Ativo,Não
