Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
4510,"ATIVADOR DE VISOR - COPIADOR , ATIVADOR DE VISOR - COPIADOR NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,03115: ATIVADOR DE VISOR - COPIADOR                                                                        ,Ativo,Não
10499,"ARMAÇÃO SLIDE , ARMACAO DE SLIDE NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6730: EQUIPAMENTO PARA PROJEÇÃO FOTOGRÁFICA                                                                                   ,02998: ARMAÇÃO SLIDE                                                                                       ,Ativo,Não
22799,"FILME REVELAÇÃO INSTANTÂNEA , FILME DE REVELACAO INSTANTANEA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,00976: FILME REVELAÇÃO INSTANTÂNEA                                                                         ,Ativo,Não
23140,"FIXADOR FOTOGRÁFICO , FIXADOR FOTOGRAFICO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,07622: FIXADOR FOTOGRÁFICO                                                                                 ,Inativo,Não
23418,"FILME DE FOTOLITO , FILME DE FOTOLITO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,07436: FILME DE FOTOLITO                                                                                   ,Ativo,Não
23434,"EPISCÓPIO , EPISCOPIO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6730: EQUIPAMENTO PARA PROJEÇÃO FOTOGRÁFICA                                                                                   ,00872: EPISCÓPIO                                                                                           ,Ativo,Não
23477,"FLASH , FLASH NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,07635: FLASH                                                                                               ,Ativo,Não
25518,"IMPRESSOR , IMPRESSOR NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,08307: IMPRESSOR                                                                                           ,Inativo,Não
26093,"BANDEJA REVELAÇÃO , LAVADOR FOTOGRAFICO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,00975: BANDEJA REVELAÇÃO                                                                                   ,Ativo,Não
26476,"CAMARA DE FOTOCOPIADORA , CAMARA DE FOTOCOPIADORA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6720: CÂMARAS FOTOGRÁFICAS                                                                                                    ,04330: CAMARA DE FOTOCOPIADORA                                                                             ,Inativo,Não
26484,"CAMARA DE MICROFOTOGRAFIA , CAMARA DE MICROFOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6720: CÂMARAS FOTOGRÁFICAS                                                                                                    ,04332: CAMARA DE MICROFOTOGRAFIA                                                                           ,Inativo,Não
26506,"CAMARA DE CARTOGRAFIA , CAMARA DE CARTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6720: CÂMARAS FOTOGRÁFICAS                                                                                                    ,04325: CAMARA DE CARTOGRAFIA                                                                               ,Inativo,Não
26522,"CAMARA DE AEROFOTOGRAMETRIA , CAMARA DE AEROFOTOGRAMETRIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6720: CÂMARAS FOTOGRÁFICAS                                                                                                    ,04322: CAMARA DE AEROFOTOGRAMETRIA                                                                         ,Inativo,Não
26530,"CÂMARA MICROFILMADORA , CAMARA MICROFILMADORA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6720: CÂMARAS FOTOGRÁFICAS                                                                                                    ,04349: CÂMARA MICROFILMADORA                                                                               ,Ativo,Não
26557,"TELA PROJEÇÃO , TELA DE PROJECAO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6730: EQUIPAMENTO PARA PROJEÇÃO FOTOGRÁFICA                                                                                   ,00915: TELA PROJEÇÃO                                                                                       ,Ativo,Não
26573,"VISOR DE MICROFILME , VISOR DE MICROFILME NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6730: EQUIPAMENTO PARA PROJEÇÃO FOTOGRÁFICA                                                                                   ,13455: VISOR DE MICROFILME                                                                                 ,Ativo,Não
26581,"EPIDIASCOPIO , EPIDIASCOPIO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6730: EQUIPAMENTO PARA PROJEÇÃO FOTOGRÁFICA                                                                                   ,06612: EPIDIASCOPIO                                                                                        ,Ativo,Não
26590,"PROJETOR DE FOTOMAPA , PROJETOR DE FOTOMAPA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6730: EQUIPAMENTO PARA PROJEÇÃO FOTOGRÁFICA                                                                                   ,11257: PROJETOR DE FOTOMAPA                                                                                ,Inativo,Não
26603,"EQUIPAMENTO / ACESSÓRIOS FOTOGRÁFICOS , EQUIPAMENTO DE REPRODUCAO FOTOGRAFICA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,06743: EQUIPAMENTO / ACESSÓRIOS FOTOGRÁFICOS                                                               ,Inativo,Não
26611,"AMPLIADOR DE FOTOGRAFIA , AMPLIADOR DE FOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,02442: AMPLIADOR DE FOTOGRAFIA                                                                             ,Inativo,Não
26620,"SECADOR DE FOTOGRAFIA , SECADOR DE FOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,11958: SECADOR DE FOTOGRAFIA                                                                               ,Ativo,Não
26638,"PRENSADOR FOTOGRAFICO , PRENSADOR FOTOGRAFICO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,11197: PRENSADOR FOTOGRAFICO                                                                               ,Ativo,Não
26646,"PRENDEDOR DE CHAPA FOTOGRAFICA , PRENDEDOR DE CHAPA FOTOGRAFICA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,11165: PRENDEDOR DE CHAPA FOTOGRAFICA                                                                      ,Ativo,Não
26654,"MESA DE RETOQUE DE NEGATIVO FOTOGRAFICO / FOTOLITO , MESA DE RETOQUE DE NEGATIVO FOTOGRAFICO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,09631: MESA DE RETOQUE DE NEGATIVO FOTOGRAFICO / FOTOLITO                                                  ,Inativo,Não
26662,"JOGO DE ALGARISMO DE IMPRESSAO FOTOGRAFICA , JOGO DE ALGARISMO DE IMPRESSAO FOTOGRAFI NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,08534: JOGO DE ALGARISMO DE IMPRESSAO FOTOGRAFICA                                                          ,Inativo,Não
26670,"JOGO DE LETRA DE IMPRESSAO FOTOGRAFICA , JOGO DE LETRA DE IMPRESSAO FOTOGRAFICA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6740: EQUIPAMENTO PARA REVELAÇÃO E ACABAMENTO FOTOGRÁFICO                                                                     ,08549: JOGO DE LETRA DE IMPRESSAO FOTOGRAFICA                                                              ,Ativo,Não
26778,"ARMARIO PARA FILME FOTOGRAFICO , ARMARIO PARA FILME FOTOGRAFICO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,03015: ARMARIO PARA FILME FOTOGRAFICO                                                                      ,Inativo,Não
26794,"PAPEL VIDEOIMPRESSÃO , PAPEL FOTOGRAFICO SENSIBILIZAVEL NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,10377: PAPEL VIDEOIMPRESSÃO                                                                                ,Inativo,Não
26808,"PRODUTO QUIMICO PARA FOTOGRAFIA , PRODUTO QUIMICO PARA FOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,11237: PRODUTO QUIMICO PARA FOTOGRAFIA                                                                     ,Inativo,Não
26816,"FILME FOTOGRAFIA , FILME - FOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,07429: FILME FOTOGRAFIA                                                                                    ,Ativo,Não
26832,"ÁLBUM , CHARNEIRA DE ALBUM DE FOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,04856: ÁLBUM                                                                                               ,Inativo,Não
26840,"CANTONEIRA FOTOGRAFIA , CANTONEIRA DE FOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6750: SUPRIMENTOS FOTOGRÁFICOS                                                                                                ,04433: CANTONEIRA FOTOGRAFIA                                                                               ,Ativo,Não
26859,"FOTÔMETRO FOTOGRÁFICO , FOTOMETRO FOTOGRAFICO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,07814: FOTÔMETRO FOTOGRÁFICO                                                                               ,Inativo,Não
26867,"TRIPÉ , TRIPE NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,00979: TRIPÉ                                                                                               ,Ativo,Não
26875,"FILTRO , FILTRO DE LUZ NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,07473: FILTRO                                                                                              ,Inativo,Não
26883,"TELEMETRO FOTOGRAFICO , TELEMETRO FOTOGRAFICO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,12605: TELEMETRO FOTOGRAFICO                                                                               ,Ativo,Não
26891,"REFLETOR ( FLASH ) , REFLATOR ( FLASH ) NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,11523: REFLETOR ( FLASH )                                                                                  ,Ativo,Não
26905,"LENTE PARA CAMARA FOTOGRAFICA , LENTE PARA CAMARA FOTOGRAFICA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,08788: LENTE PARA CAMARA FOTOGRAFICA                                                                       ,Ativo,Não
26913,"EQUIPAMENTO ESPECIALIZADO DE ENSAIO FOTOGRAFICO , EQUIPAMENTO ESPECIALIZADO DE ENSAIO FOTO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,06785: EQUIPAMENTO ESPECIALIZADO DE ENSAIO FOTOGRAFICO                                                     ,Ativo,Não
26921,"ARMARIO DE FOTOGRAFIA ( FOTOTECA ) , ARMARIO DE FOTOGRAFIA ( FOTOTECA ) NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,03009: ARMARIO DE FOTOGRAFIA ( FOTOTECA )                                                                  ,Ativo,Não
26930,"FOLHA ENCAIXE FOTOGRAFIA , ALBUM DE FOTOGRAFIA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,02237: FOLHA ENCAIXE FOTOGRAFIA                                                                            ,Inativo,Não
26948,"ARMARIO DE ESTOCAGEM DE MATERIAL FOTOGRAFICO , ARMARIO DE ESTOCAGEM DE MATERIAL FOTOGRA NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6760: EQUIPAMENTO FOTOGRÁFICO E ACESSÓRIOS                                                                                    ,03008: ARMARIO DE ESTOCAGEM DE MATERIAL FOTOGRAFICO                                                        ,Ativo,Não
26956,"FILME CINEMATOGRAFICO MUDO , FILME CINEMATOGRAFICO MUDO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6770: FILMES REVELADOS                                                                                                        ,07433: FILME CINEMATOGRAFICO MUDO                                                                          ,Ativo,Não
26964,"FILME CINEMATOGRAFICO SONORO , FILME CINEMATOGRAFICO SONORO NOME",67: EQUIPAMENTOS FOTOGRÁFICOS                                                                                               ,6770: FILMES REVELADOS                                                                                                        ,07435: FILME CINEMATOGRAFICO SONORO                                                                        ,Ativo,Não
