Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
10200,"EQUIPAMENTO DE INSTRUÇÃO , MODELO DE TREINAMENTO EM TAMANHO NATURAL NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6910: ACESSÓRIOS PARA TREINAMENTO                                                                                             ,09835: EQUIPAMENTO DE INSTRUÇÃO                                                                            ,Inativo,Não
10235,"MODELO TAMANHO REDUZIDO , MODELO DE TREINAMENTO EM TAMANHO REDUZID NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6910: ACESSÓRIOS PARA TREINAMENTO                                                                                             ,09836: MODELO TAMANHO REDUZIDO                                                                             ,Ativo,Não
10278,"MOTOR SECCIONADO DE TREINAMENTO , MOTOR SECCIONADO DE TREINAMENTO NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6910: ACESSÓRIOS PARA TREINAMENTO                                                                                             ,09993: MOTOR SECCIONADO DE TREINAMENTO                                                                     ,Ativo,Não
10308,"MUNICAO SECCIONADA , MUNICAO SECCIONADA NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6920: ACESSÓRIOS PARA TREINAMENTO DE ARMAMENTO                                                                                ,10022: MUNICAO SECCIONADA                                                                                  ,Ativo,Não
10316,"PLANTA PARA TREINAMENTO , PLANTA PARA TREINAMENTO NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6910: ACESSÓRIOS PARA TREINAMENTO                                                                                             ,10883: PLANTA PARA TREINAMENTO                                                                             ,Ativo,Não
10332,"MAPA PARA TREINAMENTO , MAPA PARA TREINAMENTO NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6910: ACESSÓRIOS PARA TREINAMENTO                                                                                             ,09137: MAPA PARA TREINAMENTO                                                                               ,Ativo,Não
10359,"FILME EDUCACIONAL , FILME EDUCACIONAL NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6910: ACESSÓRIOS PARA TREINAMENTO                                                                                             ,07439: FILME EDUCACIONAL                                                                                   ,Ativo,Não
10391,"FILME PARA TREINAMENTO , FILME PARA TREINAMENTO NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6910: ACESSÓRIOS PARA TREINAMENTO                                                                                             ,07445: FILME PARA TREINAMENTO                                                                              ,Ativo,Não
10588,"APARELHO NAVEGAÇÃO PARA TREINAMENTO , APARELHO DE NAVEGACAO PARA TREINAMENTO NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6930: ACESSÓRIOS PARA TREINAMENTO OPERACIONAL                                                                                 ,02725: APARELHO NAVEGAÇÃO PARA TREINAMENTO                                                                 ,Ativo,Não
10596,"APARELHO COMUNICAÇÃO PARA TREINAMENTO , APARELHO DE COMUNICACAO PARA TREINAMENTO NOME",69: APARELHOS E ACESSÓRIOS PARA TREINAMENTO                                                                                 ,6930: ACESSÓRIOS PARA TREINAMENTO OPERACIONAL                                                                                 ,02682: APARELHO COMUNICAÇÃO PARA TREINAMENTO                                                               ,Ativo,Não
