Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
100366,"PROGRAMA APLICATIVO, PROGRAMA ( SOFTWARE ) DE ADVOCACIA NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7099: OUTROS                                                                                                                  ","00232: PROGRAMA APLICATIVO                                                                                 ",Inativo,Não
100374,"PROGRAMA APLICATIVO, PROGRAMA ( SOFTWARE ) DE USO EM AREA IMO NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7099: OUTROS                                                                                                                  ","00232: PROGRAMA APLICATIVO                                                                                 ",Inativo,Não
101834,"CARTUCHO TINTA IMPRESSORA, TINTA PARA ELETROCARDIOGRAFO NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7045: ARTIGOS DIVERSOS PARA PROCESSAMENTO AUTOMÁTICO DE DADOS                                                                 ","12754: CARTUCHO TINTA IMPRESSORA                                                                           ",Inativo,Não
102490,"IMPRESSORA - MATRICIAL ( IMPACTO ) / COMPONENTES, IMPRESSORA - MATRICIAL ( IMPACTO ) / COM NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS                                                                   ","13576: IMPRESSORA - MATRICIAL ( IMPACTO ) / COMPONENTES                                                    ",Inativo,Não
102504,"CONJUNTO MULTIMÍDIA, CONJUNTO ( KIT ) MULTIMIDIA  PARA  MICRO NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7060: PEÇAS E ACESSÓRIOS PARA COMPUTADORES                                                                                    ","00213: CONJUNTO MULTIMÍDIA                                                                                 ",Ativo,Não
103039,"LEITORA CÓDIGO BARRA, LEITORA DE CODIGO DE BARRA / CMC7 / CART NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7040: EQUIPAMENTOS DE ENTRADA DE DADOS                                                                                        ","00227: LEITORA CÓDIGO BARRA                                                                                ",Inativo,Não
103047,"""ESTAÇÃO TRABALHO PROCESSAMENTO DE DADOS"", ESTACAO TRABALHO - PROCESSAMENTO DE DADO NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7010: COMPUTADORES                                                                                                            ","07086: ""ESTAÇÃO TRABALHO PROCESSAMENTO DE DADOS""                                                           ",Ativo,Não
103349,"PROGRAMA APLICATIVO, PROGRAMA ( SOFTWARE ) PARA CONSULTA DE T NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7099: OUTROS                                                                                                                  ","00232: PROGRAMA APLICATIVO                                                                                 ",Inativo,Não
104620,"ROTEADOR, ROTEADOR - INTERLIGACAO REDE COMPUTADOR NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7050: EQUIPAMENTOS DE REDE DE TIC - LOCAL E REMOTA                                                                            ","00237: ROTEADOR                                                                                            ",Ativo,Não
105902,"MESA DIGITALIZADORA, MESA DIGITALIZADORA / COMPONENTES NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7040: EQUIPAMENTOS DE ENTRADA DE DADOS                                                                                        ","09636: MESA DIGITALIZADORA                                                                                 ",Ativo,Não
105929,"FOTOPLOTER DIGITAL, TRACADOR GRAFICO / PLOTER NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7020: IMPRESSORAS                                                                                                             ","12854: FOTOPLOTER DIGITAL                                                                                  ",Ativo,Não
105937,"VALIDADOR ELETRONICO DE BILHETE, VALIDADOR ELETRONICO DE BILHETE NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7040: EQUIPAMENTOS DE ENTRADA DE DADOS                                                                                        ","13240: VALIDADOR ELETRONICO DE BILHETE                                                                     ",Ativo,Não
105996,"TERMINAL DE LEITURA -  CARTAO INTELIGENTE ( SMART CARD ), TERMINAL DE LEITURA -  CARTAO INTELIGENT NOME","70: INFORMÁTICA - EQUIPAMENTOS,  PEÇAS, ACESSÓRIOS E SUPRIMENTOSDE TIC                                                      ","7025: UNIDADES DE ARMAZENAMENTO DE ENTRADA E SAÍDA DE DADOS                                                                   ","12652: TERMINAL DE LEITURA -  CARTAO INTELIGENTE ( SMART CARD )                                            ",Inativo,Não
