Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
94,"ESPETO CHURRASCO , ESPETO DE CHURRASCO NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,7340: CUTELARIA E TALHERES                                                                                                    ,01076: ESPETO CHURRASCO                                                                                    ,Inativo,Não
213,"ESCORREDOR MACARRÃO , ESCORREDOR DE ALIMENTO PARA COZINHA NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,7330: UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA                                                                             ,01059: ESCORREDOR MACARRÃO                                                                                 ,Inativo,Não
434,"ASSADEIRA COZINHA COMERCIAL , FORMA DE MATERIAL METALICO - USO DOME 1 NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,7330: UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA                                                                             ,01057: ASSADEIRA COZINHA COMERCIAL                                                                         ,Ativo,Não
2070,"DISTRIBUIDOR CHAMA DE FOGÃO , DISTRIBUIDOR DE CHAMA DE FOGAO NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,"7310: EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS                                                                    ",06350: DISTRIBUIDOR CHAMA DE FOGÃO                                                                         ,Ativo,Não
2089,"ESTUFA ELÉTRICA PARA COZINHA , ESTUFA ELETRICA PARA COZINHA NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,"7310: EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS                                                                    ",07213: ESTUFA ELÉTRICA PARA COZINHA                                                                        ,Ativo,Não
2097,"ESTUFA A GAS PARA COZINHA , ESTUFA A GAS PARA COZINHA NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,"7310: EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS                                                                    ",07210: ESTUFA A GAS PARA COZINHA                                                                           ,Ativo,Não
2755,"ASSADEIRA , ASSADEIRA NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,"7310: EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS                                                                    ",01055: ASSADEIRA                                                                                           ,Ativo,Não
3174,"AMOLADOR ELETRICO DE FACA , AMOLADOR ELETRICO DE FACA NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,7320: EQUIPAMENTOS E APARELHOS DE COZINHA                                                                                     ,02423: AMOLADOR ELETRICO DE FACA                                                                           ,Ativo,Não
11657,"FORMA , FORMA METALICA DE USO DOMESTICO PARA BOL NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,7330: UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA                                                                             ,01060: FORMA                                                                                               ,Inativo,Não
11690,"FORMA , FORMA DE PAPEL - USO DOMESTICO PARA DOCE NOME",73: EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS                                                                           ,7330: UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA                                                                             ,01060: FORMA                                                                                               ,Inativo,Não
