Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
21520,"BLOCO DE MAQUINA NUMERADORA , BLOCO DE MAQUINA NUMERADORA NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7490: MÁQUINAS DIVERSAS PARA ESCRITÓRIO                                                                                       ,03608: BLOCO DE MAQUINA NUMERADORA                                                                         ,Ativo,Não
28860,"MÁQUINA CONTABILIDADE , MAQUINA DE CONTABILIDADE NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7420: MÁQUINAS DE CONTABILIDADE E DE CALCULAR                                                                                 ,00299: MÁQUINA CONTABILIDADE                                                                               ,Inativo,Não
28878,"MÁQUINA CALCULAR , MAQUINA CALCULAR / COMPONENTE NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7420: MÁQUINAS DE CONTABILIDADE E DE CALCULAR                                                                                 ,09154: MÁQUINA CALCULAR                                                                                    ,Inativo,Não
28894,"CAPA MÁQUINA CALCULAR , CAPA PARA MAQUINA DE CALCULAR NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7420: MÁQUINAS DE CONTABILIDADE E DE CALCULAR                                                                                 ,04448: CAPA MÁQUINA CALCULAR                                                                               ,Ativo,Não
28924,"MÁQUINA ESCREVER MECÂNICA , MAQUINA DE ESCREVER - MECANICA NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7430: MÁQUINAS DE ESCREVER E DE COMPOSIÇÃO PARA ESCRITÓRIO                                                                    ,09187: MÁQUINA ESCREVER MECÂNICA                                                                           ,Ativo,Não
28932,"MÁQUINA ESCREVER , MAQUINA DE ESCREVER - ELETRICA NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7430: MÁQUINAS DE ESCREVER E DE COMPOSIÇÃO PARA ESCRITÓRIO                                                                    ,00301: MÁQUINA ESCREVER                                                                                    ,Inativo,Não
28940,"MÁQUINA ESCREVER ELETRÔNICA , MAQUINA DE ESCREVER - ELETRONICA NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7430: MÁQUINAS DE ESCREVER E DE COMPOSIÇÃO PARA ESCRITÓRIO                                                                    ,00304: MÁQUINA ESCREVER ELETRÔNICA                                                                         ,Inativo,Não
28967,"MÁQUINA ESCREVER , MAQUINA DE ESCREVER - ESFERA NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7430: MÁQUINAS DE ESCREVER E DE COMPOSIÇÃO PARA ESCRITÓRIO                                                                    ,00301: MÁQUINA ESCREVER                                                                                    ,Inativo,Não
28975,"MÁQUINA ESCREVER ELETRÔNICA , MAQUINA DE ESCREVER - MARGARIDA NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7430: MÁQUINAS DE ESCREVER E DE COMPOSIÇÃO PARA ESCRITÓRIO                                                                    ,00304: MÁQUINA ESCREVER ELETRÔNICA                                                                         ,Inativo,Não
28983,"EQUIPAMENTO DE REGISTRO VISIVEL MANUAL , EQUIPAMENTO DE REGISTRO VISIVEL MANUAL NOME","74: MÁQUINAS PARA ESCRITÓRIO, SISTEMAS DE PROCESSAMENTO DE  TEX-TO E FICHÁRIOS DE CLASSIFICAÇÃO VISÍVEL                     ",7460: ARQUIVOS VISUAIS                                                                                                        ,06742: EQUIPAMENTO DE REGISTRO VISIVEL MANUAL                                                              ,Ativo,Não
