Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
191,"EXTENSOR DE BRACO PARA GINASTICA , EXTENSOR DE BRACO PARA GINASTICA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7830: EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO                                                                                  ,07253: EXTENSOR DE BRACO PARA GINASTICA                                                                    ,Ativo,Não
22748,"ESCADA HORIZONTAL DE GINASTICA , ESCADA HORIZONTAL DE GINASTICA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7830: EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO                                                                                  ,06886: ESCADA HORIZONTAL DE GINASTICA                                                                      ,Ativo,Não
27782,"ARPÃO DE PESCA , ARPAO DE PESCA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,03027: ARPÃO DE PESCA                                                                                      ,Ativo,Não
29807,"EQUIPAMENTO DE FUTEBOL , EQUIPAMENTO DE FUTEBOL NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,06698: EQUIPAMENTO DE FUTEBOL                                                                              ,Ativo,Não
29815,"EQUIPAMENTO DE BASQUETEBOL , EQUIPAMENTO DE BASQUETEBOL NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,06662: EQUIPAMENTO DE BASQUETEBOL                                                                          ,Ativo,Não
29823,"POSTE REDE VOLEIBOL , EQUIPAMENTO DE VOLEIBOL NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,06773: POSTE REDE VOLEIBOL                                                                                 ,Ativo,Não
29831,"EQUIPAMENTO DE TENIS DE MESA , EQUIPAMENTO DE TENIS DE MESA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,06762: EQUIPAMENTO DE TENIS DE MESA                                                                        ,Ativo,Não
29840,"BOLA FUTEBOL , BOLA PARA JOGO NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,03676: BOLA FUTEBOL                                                                                        ,Inativo,Não
29858,"LUVA DE BOXE , LUVA DE BOXE NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,08960: LUVA DE BOXE                                                                                        ,Ativo,Não
29866,"CANELEIRA , CANELEIRA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,04405: CANELEIRA                                                                                           ,Ativo,Não
29874,"JOELHEIRA , JOELHEIRA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,08532: JOELHEIRA                                                                                           ,Inativo,Não
29882,"TORNOZELEIRA , TORNOZELEIRA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,12831: TORNOZELEIRA                                                                                        ,Ativo,Não
29890,"VARA PESCA , VARA DE PESCAR NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,7810: EQUIPAMENTO PARA ATLETISMO E DESPORTO                                                                                   ,13302: VARA PESCA                                                                                          ,Ativo,Não
29912,"JOGO XADREZ , JOGO DE XADREZ NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",08556: JOGO XADREZ                                                                                         ,Ativo,Não
29920,"JOGO DE DAMAS , JOGO DE DAMAS NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",08543: JOGO DE DAMAS                                                                                       ,Ativo,Não
29939,"JOGO DE VISPORA , JOGO DE VISPORA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",08555: JOGO DE VISPORA                                                                                     ,Ativo,Não
29947,"JOGO DOMINÓ , JOGO DE DOMINO NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",08544: JOGO DOMINÓ                                                                                         ,Inativo,Não
29955,"BONECA / BONECO , BONECA NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",03801: BONECA / BONECO                                                                                     ,Inativo,Não
29963,"BARALHO , BARALHO NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",03323: BARALHO                                                                                             ,Inativo,Não
29971,"CARRO BONECA - BRINQUEDO , CARRO BONECA - BRINQUEDO NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",04596: CARRO BONECA - BRINQUEDO                                                                            ,Ativo,Não
29980,"PATINETE , PATINETE NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",10507: PATINETE                                                                                            ,Ativo,Não
29998,"VELOCIPEDE , VELOCIPEDE NOME",78: EQUIPAMENTOS PARA RECREAÇÃO E DESPORTOS                                                                                 ,"7820: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS                                                                        ",13368: VELOCIPEDE                                                                                          ,Ativo,Não
