Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1031,"DISCO EMBALAGEM , PAPEL EMBALAGEM NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8135: MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM                                                                    ,10374: DISCO EMBALAGEM                                                                                     ,Inativo,Não
4154,"SACO P/ HAMPER , SACO DE ROUPA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11900: SACO P/ HAMPER                                                                                      ,Inativo,Não
10529,"TANQUE , TANQUE ARMAZENAMENTO MONTADO - RESERVATO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8145: RECIPIENTES ESPECIALIZADOS PARA TRANSPORTE E ARMAZENAGEM                                                                ,13639: TANQUE                                                                                              ,Ativo,Não
11150,"FRASCO DE EXPEDICAO , FRASCO DE EXPEDICAO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8125: GARRAFAS E JARROS                                                                                                       ,07823: FRASCO DE EXPEDICAO                                                                                 ,Inativo,Não
14885,"PAPEL PICADO PARA EMBALAGEM CORRUGADO , PAPEL PICADO PARA EMBALAGEM CORRUGADO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8135: MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM                                                                    ,10399: PAPEL PICADO PARA EMBALAGEM CORRUGADO                                                               ,Inativo,Não
15024,"CAIXA DE PAPELAO DOBRAVEL , CAIXA DE PAPELAO DOBRAVEL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,"8115: CAIXAS, CAIXOTES E ENGRADADOS                                                                                           ",04143: CAIXA DE PAPELAO DOBRAVEL                                                                           ,Inativo,Não
15059,"AMPOLA , AMPOLA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8145: RECIPIENTES ESPECIALIZADOS PARA TRANSPORTE E ARMAZENAGEM                                                                ,02459: AMPOLA                                                                                              ,Ativo,Não
15687,"FITA DE ACO PARA ENCINTAMENTO DE EMBALAGEM , FITA DE ACO PARA ENCINTAMENTO DE EMBALAG NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8135: MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM                                                                    ,07560: FITA DE ACO PARA ENCINTAMENTO DE EMBALAGEM                                                          ,Inativo,Não
15695,"ARO DE BARRIL , ARO DE BARRIL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8110: TAMBORES E LATAS                                                                                                        ,03022: ARO DE BARRIL                                                                                       ,Ativo,Não
18007,"BOLSA PLÁSTICO , BOLSA DE PLASTICO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03698: BOLSA PLÁSTICO                                                                                      ,Inativo,Não
18023,"SACO , SACO PLASTICO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11902: SACO                                                                                                ,Inativo,Não
18040,"BOLSA DE PAPEL , BOLSA DE PAPEL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03697: BOLSA DE PAPEL                                                                                      ,Inativo,Não
18058,"SACO PAPEL , SACO DE PAPEL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11897: SACO PAPEL                                                                                          ,Inativo,Não
18074,"BOLSA DE ALUMINIO , BOLSA DE ALUMINIO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03689: BOLSA DE ALUMINIO                                                                                   ,Inativo,Não
18104,"SACO DE ALUMINIO , SACO DE ALUMINIO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11891: SACO DE ALUMINIO                                                                                    ,Inativo,Não
18112,"BOLSA DE ALGODAO , BOLSA DE ALGODAO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03688: BOLSA DE ALGODAO                                                                                    ,Inativo,Não
18120,"SACO DE ALGODÃO , SACO DE ALGODAO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11890: SACO DE ALGODÃO                                                                                     ,Inativo,Não
18147,"BOLSA , BOLSA DE LONA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03696: BOLSA                                                                                               ,Inativo,Não
18163,"SACO DE LONA , SACO DE LONA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11896: SACO DE LONA                                                                                        ,Inativo,Não
18180,"BOLSA DE JUTA , BOLSA DE JUTA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03695: BOLSA DE JUTA                                                                                       ,Inativo,Não
18198,"SACO DE JUTA , SACO DE JUTA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11895: SACO DE JUTA                                                                                        ,Inativo,Não
18210,"BOLSA DE FIBRA NATURAL , BOLSA DE FIBRA NATURAL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03693: BOLSA DE FIBRA NATURAL                                                                              ,Inativo,Não
18236,"SACO DE FIBRA NATURAL , SACO DE FIBRA NATURAL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11893: SACO DE FIBRA NATURAL                                                                               ,Inativo,Não
18252,"BOLSA DE FIBRA SINTÉTICA , BOLSA DE FIBRA SINTETICA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03694: BOLSA DE FIBRA SINTÉTICA                                                                            ,Inativo,Não
18279,"SACO DE FIBRA SINTETICA , SACO DE FIBRA SINTETICA NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11894: SACO DE FIBRA SINTETICA                                                                             ,Inativo,Não
18295,"SACO DE PAPEL MULTIFOLHEADO , SACO DE PAPEL MULTIFOLHEADO NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,11898: SACO DE PAPEL MULTIFOLHEADO                                                                         ,Inativo,Não
18309,"SACO IMPERMEÁVEL , SACO IMPERMEAVEL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,01186: SACO IMPERMEÁVEL                                                                                    ,Inativo,Não
18325,"BOLSA IMPERMEAVEL , BOLSA IMPERMEAVEL NOME",81: RECIPIENTES E MATERIAIS PARA ACONDICIONAMENTO E EMBALAGEM                                                               ,8105: SACOS E BOLSAS                                                                                                          ,03702: BOLSA IMPERMEAVEL                                                                                   ,Inativo,Não
