Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
4987,"PERFUME , PERFUME NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",10663: PERFUME                                                                                             ,Ativo,Não
5037,"CREME DE BARBA , CREME DE BARBA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",05959: CREME DE BARBA                                                                                      ,Ativo,Não
5045,"TALCO PARA BARBA , TALCO PARA BARBA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",12489: TALCO PARA BARBA                                                                                    ,Ativo,Não
5053,"PREPARADO PARA BARBA , PREPARADO PARA BARBA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",11199: PREPARADO PARA BARBA                                                                                ,Inativo,Não
5061,"DENTIFRÍCIO , DENTIFRICIO ( CREME / PASTA DE DENTE ) NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",06061: DENTIFRÍCIO                                                                                         ,Ativo,Não
5070,"ESMALTE DE UNHA , ESMALTE DE UNHA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,06970: ESMALTE DE UNHA                                                                                     ,Inativo,Não
5088,"SABONETE , SABONETE NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",11869: SABONETE                                                                                            ,Inativo,Não
5096,"FIO DENTAL , FIO DENTAL NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",07511: FIO DENTAL                                                                                          ,Inativo,Não
5100,"ESCOVA CABELO , ESCOVA DE CABELO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,06938: ESCOVA CABELO                                                                                       ,Inativo,Não
5126,"ESCOVA DENTAL , ESCOVA DE DENTE NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,06941: ESCOVA DENTAL                                                                                       ,Ativo,Não
5142,"LIMA UNHA , LIMA PARA UNHA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,08839: LIMA UNHA                                                                                           ,Inativo,Não
5169,"ALICATE PARA CUTICULA , ALICATE PARA CUTICULA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,02316: ALICATE PARA CUTICULA                                                                               ,Inativo,Não
5177,"PENTE DE CABELO , PENTE DE CABELO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,10630: PENTE DE CABELO                                                                                     ,Inativo,Não
5193,"LÂMINA BARBEAR , LAMINA DE BARBEAR NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,08612: LÂMINA BARBEAR                                                                                      ,Ativo,Não
5207,"APARELHO BARBEAR DESCARTÁVEL , APARELHO PARA BARBEAR DESCARTAVEL NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,02821: APARELHO BARBEAR DESCARTÁVEL                                                                        ,Ativo,Não
5215,"DESODORANTE , DESODORANTE DE USO PESSOAL NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",06110: DESODORANTE                                                                                         ,Inativo,Não
5240,"TOALHA DE PAPEL , TOALHA PAPEL - MAO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8540: ARTIGOS DE PAPEL PARA HIGIENE                                                                                           ,12792: TOALHA DE PAPEL                                                                                     ,Ativo,Não
5258,"LENCO DE PAPEL , LENCO DE PAPEL NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8540: ARTIGOS DE PAPEL PARA HIGIENE                                                                                           ,08768: LENCO DE PAPEL                                                                                      ,Inativo,Não
5282,"PAPEL HIGIÊNICO , PAPEL HIGIENICO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8540: ARTIGOS DE PAPEL PARA HIGIENE                                                                                           ,10383: PAPEL HIGIÊNICO                                                                                     ,Inativo,Não
18767,"ESCOVA BANHO , ESCOVA DE BANHO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,06937: ESCOVA BANHO                                                                                        ,Inativo,Não
19208,"LIXA UNHA , LIXA DE UNHA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,08896: LIXA UNHA                                                                                           ,Ativo,Não
23167,"FIO DENTAL , FIO DENTAL 1 NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",07511: FIO DENTAL                                                                                          ,Inativo,Não
27332,"GUARDANAPO DE PAPEL , GUARDANAPO DE PAPEL NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8540: ARTIGOS DE PAPEL PARA HIGIENE                                                                                           ,08122: GUARDANAPO DE PAPEL                                                                                 ,Ativo,Não
30384,"CAPA CORTE CABELO , ARTIGO DE HIGIENE PESSOAL NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,03071: CAPA CORTE CABELO                                                                                   ,Ativo,Não
30503,"ARTIGO DE TOUCADOR PARA EMBELEZAMENTO , ARTIGO DE TOUCADOR PARA EMBELEZAMENTO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",03076: ARTIGO DE TOUCADOR PARA EMBELEZAMENTO                                                               ,Ativo,Não
47961,"ABSORVENTE HIGIÊNICO , ABSORVENTE HIGIENICO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8540: ARTIGOS DE PAPEL PARA HIGIENE                                                                                           ,01210: ABSORVENTE HIGIÊNICO                                                                                ,Ativo,Não
54941,"ESCOVA ROUPA , ESCOVA DE ROUPA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,06946: ESCOVA ROUPA                                                                                        ,Inativo,Não
55980,"CREME DEPILATORIO , CREME DEPILATORIO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",05960: CREME DEPILATORIO                                                                                   ,Ativo,Não
55999,"COLÔNIA TOALETE , COLONIA DE TOALETE NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",05367: COLÔNIA TOALETE                                                                                     ,Ativo,Não
56006,"MAQUIAGEM , AGUA DE COLONIA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",02160: MAQUIAGEM                                                                                           ,Inativo,Não
56014,"SABAO DE BARBA , SABAO DE BARBA NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8520: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS                                                                          ",11862: SABAO DE BARBA                                                                                      ,Inativo,Não
56022,"ESCOVA UNHA , ESCOVA DE UNHAS NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,06947: ESCOVA UNHA                                                                                         ,Ativo,Não
56030,"ARTIGO DE MANICURE , ARTIGO DE MANICURE NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,03072: ARTIGO DE MANICURE                                                                                  ,Ativo,Não
56049,"ARTIGO DE PEDICURE , ARTIGO DE PEDICURE NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,03073: ARTIGO DE PEDICURE                                                                                  ,Ativo,Não
56065,"PAPEL DE USO EM ATIVIDADES DE TOUCADOR , PAPEL DE USO EM ATIVIDADES DE TOUCADOR NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8540: ARTIGOS DE PAPEL PARA HIGIENE                                                                                           ,10370: PAPEL DE USO EM ATIVIDADES DE TOUCADOR                                                              ,Inativo,Não
56073,"PAPEL DE USO FACIAL , PAPEL DE USO FACIAL NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8540: ARTIGOS DE PAPEL PARA HIGIENE                                                                                           ,10371: PAPEL DE USO FACIAL                                                                                 ,Inativo,Não
60615,"XAMPU , XAMPU NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",13484: XAMPU                                                                                               ,Inativo,Não
61158,"TALCO DE TOUCADOR , TALCO DE TOUCADOR NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,"8510: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR                                                                               ",12487: TALCO DE TOUCADOR                                                                                   ,Ativo,Não
61697,"TOUCA BANHO , TOUCA DE BANHO NOME",85: ARTIGOS DE HIGIENE                                                                                                      ,8530: ARTIGOS PARA HIGIENE PESSOAL                                                                                            ,12849: TOUCA BANHO                                                                                         ,Inativo,Não
