Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
5010,"ARRANJO DE FOLHAGEM , ARRANJO DE FOLHAGEM NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,03039: ARRANJO DE FOLHAGEM                                                                                 ,Ativo,Não
5290,"FENO , FENO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,07354: FENO                                                                                                ,Inativo,Não
5304,"PALHA , PALHA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,10318: PALHA                                                                                               ,Ativo,Não
5312,"ALIMENTO MANUFATURADO PARA ANIMAL , ALIMENTO MANUFATURADO PARA ANIMAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,02330: ALIMENTO MANUFATURADO PARA ANIMAL                                                                   ,Ativo,Não
5320,"RACAO ANIMAL , RACAO ANIMAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,13626: RACAO ANIMAL                                                                                        ,Inativo,Não
5339,"FERTILIZANTE NATURAL , FERTILIZANTE NATURAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,00995: FERTILIZANTE NATURAL                                                                                ,Ativo,Não
5347,"FERTILIZANTE SINTETICO , FERTILIZANTE SINTETICO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,13569: FERTILIZANTE SINTETICO                                                                              ,Inativo,Não
5355,"FLOR NATURAL , FLOR NATURAL PARA DECORACAO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,07641: FLOR NATURAL                                                                                        ,Ativo,Não
22837,"FARINHA PARA RACAO ANIMAL , FARINHA PARA RACAO ANIMAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,07293: FARINHA PARA RACAO ANIMAL                                                                           ,Inativo,Não
23159,"FARELO , FARELO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,13566: FARELO                                                                                              ,Ativo,Não
47635,"ALIMENTO IN-NATURA PARA ANIMAL , ALIMENTO IN-NATURA PARA ANIMAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,13526: ALIMENTO IN-NATURA PARA ANIMAL                                                                      ,Ativo,Não
47767,"SEMENTE, MUDA E PLANTA VIVA , SEMENTE, MUDA E PLANTA VIVA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,"12000: SEMENTE, MUDA E PLANTA VIVA                                                                         ",Inativo,Não
56090,"TURFEIRA , TURFEIRA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,13140: TURFEIRA                                                                                            ,Ativo,Não
56103,"ADUBO ANIMAL , ADUBO DE ORIGEM ANIMAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,00994: ADUBO ANIMAL                                                                                        ,Ativo,Não
56111,"GALHO FLORAL DE DECORACAO , GALHO FLORAL DE DECORACAO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,07908: GALHO FLORAL DE DECORACAO                                                                           ,Ativo,Não
69558,"GRAMA , GRAMA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,01011: GRAMA                                                                                               ,Ativo,Não
69779,"ADUBO VEGETAL , ADUBO DE ORIGEM VEGETAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,13521: ADUBO VEGETAL                                                                                       ,Ativo,Não
69892,"MUDA DE PLANTA , MUDA DE PLANTA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,10006: MUDA DE PLANTA                                                                                      ,Ativo,Não
70440,"ALFAFA , ALFAFA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,01009: ALFAFA                                                                                              ,Inativo,Não
70823,"QUIRELA , QUIRELA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,11379: QUIRELA                                                                                             ,Ativo,Não
71528,"COROA DE FLORES , COROA DE FLORES NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,05882: COROA DE FLORES                                                                                     ,Ativo,Não
72010,"ADUBO QUÍMICO , ADUBO DE ORIGEM QUIMICA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,02122: ADUBO QUÍMICO                                                                                       ,Inativo,Não
73253,"PLANTA ORNAMENTAL , PLANTA VIVA ORNAMENTAL NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,10884: PLANTA ORNAMENTAL                                                                                   ,Inativo,Não
74381,"RAÇÃO ANIMAL , ALIMENTO INDUSTRIALIZADO DE CONSUMO ANIM NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,01012: RAÇÃO ANIMAL                                                                                        ,Ativo,Não
89940,"FAVA FORRAGEIRA , FAVA FORRAGEIRA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8710: FORRAGENS E ALIMENTOS                                                                                                   ,07324: FAVA FORRAGEIRA                                                                                     ,Ativo,Não
89974,"INIBIDOR DE GERMINACAO DE PLANTA , INIBIDOR DE GERMINACAO DE PLANTA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,08373: INIBIDOR DE GERMINACAO DE PLANTA                                                                    ,Ativo,Não
90000,"REGULADOR CRESCIMENTO PLANTA , REGULADOR DE CRESCIMENTO DE PLANTA NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8720: FERTILIZANTES                                                                                                           ,11586: REGULADOR CRESCIMENTO PLANTA                                                                        ,Ativo,Não
90050,"BULBO EM REPOUSO VEGETATIVO , BULBO EM REPOUSO VEGETATIVO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,03957: BULBO EM REPOUSO VEGETATIVO                                                                         ,Inativo,Não
90077,"BULBO EM VEGETACAO , BULBO EM VEGETACAO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,03958: BULBO EM VEGETACAO                                                                                  ,Ativo,Não
90093,"BULBO EM FLOR , BULBO EM FLOR NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,03956: BULBO EM FLOR                                                                                       ,Inativo,Não
90107,"REBENTO EM VEGETACAO , REBENTO EM VEGETACAO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,11439: REBENTO EM VEGETACAO                                                                                ,Ativo,Não
90115,"REBENTO EM FLOR , REBENTO EM FLOR NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,11438: REBENTO EM FLOR                                                                                     ,Inativo,Não
90131,"RIZOMA EM REPOUSO VEGETATIVO , RIZOMA EM REPOUSO VEGETATIVO NOME",87: SUPRIMENTOS AGRÍCOLAS                                                                                                   ,8730: SEMENTES E MUDAS DE PLANTAS                                                                                             ,11763: RIZOMA EM REPOUSO VEGETATIVO                                                                        ,Inativo,Não
