Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
47643,"ANIMAL LABORATÓRIO , ANIMAL PARA ESTUDO NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",02524: ANIMAL LABORATÓRIO                                                                                  ,Ativo,Não
47651,"ANIMAL PARA ALIMENTAÇÃO HUMANA , ANIMAL DE CORTE E ABATE PARA ALIMENTACAO NOME",88: ANIMAIS VIVOS                                                                                                           ,"8810: ANIMAIS VIVOS, CRIADOS PARA ALIMENTAÇÃO                                                                                 ",02522: ANIMAL PARA ALIMENTAÇÃO HUMANA                                                                      ,Inativo,Não
47945,"SEMOVENTE , SEMOVENTE NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",12006: SEMOVENTE                                                                                           ,Ativo,Não
56120,"POMBO CORREIO , POMBO CORREIO NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",10991: POMBO CORREIO                                                                                       ,Inativo,Não
94471,"ANIMAL PARA CARGA , ANIMAL PARA CARGA NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",02523: ANIMAL PARA CARGA                                                                                   ,Inativo,Não
94480,"ANIMAL PARA EXTRACAO DE COURO , ANIMAL PARA EXTRACAO DE COURO NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",02525: ANIMAL PARA EXTRACAO DE COURO                                                                       ,Inativo,Não
94498,"ANIMAL PARA EXTRACAO DE LA , ANIMAL PARA EXTRACAO DE LA NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",02526: ANIMAL PARA EXTRACAO DE LA                                                                          ,Inativo,Não
94501,"ANIMAL PARA PRODUCAO DE LEITE , ANIMAL PARA PRODUCAO DE LEITE NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",02527: ANIMAL PARA PRODUCAO DE LEITE                                                                       ,Inativo,Não
94510,"ANIMAL PARA PRODUCAO DE MEL , ANIMAL PARA PRODUCAO DE MEL NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",02528: ANIMAL PARA PRODUCAO DE MEL                                                                         ,Ativo,Não
94528,"ANIMAL VIVO , ANIMAL PARA REPRODUCAO NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",02529: ANIMAL VIVO                                                                                         ,Inativo,Não
112020,"AVE - POSTURA , AVE - POSTURA NOME",88: ANIMAIS VIVOS                                                                                                           ,"8820: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO                                                                             ",03150: AVE - POSTURA                                                                                       ,Ativo,Não
