Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1821,"ALGODAO EM ESTADO BRUTO , ALGODAO EM ESTADO BRUTO NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",02294: ALGODAO EM ESTADO BRUTO                                                                             ,Ativo,Não
1880,"CAULE DE FUMO , CAULE DE FUMO NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,9410: MATÉRIAS-PRIMAS DE ORIGEM VEGETAL                                                                                       ,04707: CAULE DE FUMO                                                                                       ,Ativo,Não
1902,"PENA , PENA NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9430: MATÉRIAS-PRIMAS DIVERSAS DE ORIGEM ANIMAL, NÃO COMESTÍVEIS                                                              ",10608: PENA                                                                                                ,Ativo,Não
1929,"CRINA DE CAVALO , CRINA DE CAVALO NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9430: MATÉRIAS-PRIMAS DIVERSAS DE ORIGEM ANIMAL, NÃO COMESTÍVEIS                                                              ",05965: CRINA DE CAVALO                                                                                     ,Ativo,Não
15407,"SUCATA NAO METALICA EXCETO TEXTIL , SUCATA NAO METALICA EXCETO TEXTIL NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9450: RESÍDUOS NAO METÁLICOS, EXCETO OS TÊXTEIS                                                                               ",12298: SUCATA NAO METALICA EXCETO TEXTIL                                                                   ,Ativo,Não
19500,"PENA BENEFICIADA , PENA BENEFICIADA NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9430: MATÉRIAS-PRIMAS DIVERSAS DE ORIGEM ANIMAL, NÃO COMESTÍVEIS                                                              ",10609: PENA BENEFICIADA                                                                                    ,Inativo,Não
56715,"FIBRA VEGETAL / PIACAVA , FIBRA VEGETAL / PIACAVA NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",07415: FIBRA VEGETAL / PIACAVA                                                                             ,Ativo,Não
56740,"MATERIA PRIMA VEGETAL PARA FABRICAR PERFUME , MATERIA PRIMA VEGETAL PARA FABRICAR PERF NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,9410: MATÉRIAS-PRIMAS DE ORIGEM VEGETAL                                                                                       ,09435: MATERIA PRIMA VEGETAL PARA FABRICAR PERFUME                                                         ,Inativo,Não
56758,"TABACO NAO MANUFATURADO , TABACO NAO MANUFATURADO NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,9410: MATÉRIAS-PRIMAS DE ORIGEM VEGETAL                                                                                       ,12452: TABACO NAO MANUFATURADO                                                                             ,Ativo,Não
56766,"LÃ ANIMAL , LA ANIMAL NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",08584: LÃ ANIMAL                                                                                           ,Ativo,Não
56774,"SEDA DE ORIGEM ANIMAL , SEDA DE ORIGEM ANIMAL NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",11976: SEDA DE ORIGEM ANIMAL                                                                               ,Ativo,Não
56782,"FIBRA TEXTIL LUSTROSA , FIBRA TEXTIL LUSTROSA NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",07414: FIBRA TEXTIL LUSTROSA                                                                               ,Ativo,Não
56790,"SEDA ARTIFICIAL ( RAYON ) , SEDA ARTIFICIAL ( RAYON ) NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",11975: SEDA ARTIFICIAL ( RAYON )                                                                           ,Ativo,Não
56804,"FIBRA SINTÉTICA , FIBRA SINTETICA - NAILON ( NYLON ) NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",07413: FIBRA SINTÉTICA                                                                                     ,Inativo,Não
56812,"PENUGEM EM ESTADO NATURAL , PENUGEM EM ESTADO NATURAL NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9430: MATÉRIAS-PRIMAS DIVERSAS DE ORIGEM ANIMAL, NÃO COMESTÍVEIS                                                              ",10635: PENUGEM EM ESTADO NATURAL                                                                           ,Ativo,Não
56820,"MARFIM , MARFIM NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9430: MATÉRIAS-PRIMAS DIVERSAS DE ORIGEM ANIMAL, NÃO COMESTÍVEIS                                                              ",09379: MARFIM                                                                                              ,Ativo,Não
56880,"BORRACHA IN NATURA , BORRACHA IN NATURA NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9440: MATÉRIAS-PRIMAS DIVERSAS, FLORESTAIS E AGRÍCOLAS                                                                        ",03813: BORRACHA IN NATURA                                                                                  ,Ativo,Não
74730,"BÁLSAMO-DO-PERU , BALSAMO - DO - PERU NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,9410: MATÉRIAS-PRIMAS DE ORIGEM VEGETAL                                                                                       ,03263: BÁLSAMO-DO-PERU                                                                                     ,Inativo,Não
74748,"BÁLSAMO - TRANQÜILO , BALSAMO - TRANQUILO NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,9410: MATÉRIAS-PRIMAS DE ORIGEM VEGETAL                                                                                       ,03264: BÁLSAMO - TRANQÜILO                                                                                 ,Inativo,Não
74756,"BÁLSAMO - DE - TOLÚ , BALSAMO - DE - TOLU NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,9410: MATÉRIAS-PRIMAS DE ORIGEM VEGETAL                                                                                       ,03261: BÁLSAMO - DE - TOLÚ                                                                                 ,Inativo,Não
93467,"PLÁSTICO , PLASTICO RECICLAVEL NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9450: RESÍDUOS NAO METÁLICOS, EXCETO OS TÊXTEIS                                                                               ",10893: PLÁSTICO                                                                                            ,Inativo,Não
99775,"BOBINA DE POLIETILENO , BOBINA DE POLIETILENO ( PE ) NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",03640: BOBINA DE POLIETILENO                                                                               ,Inativo,Não
104639,"CÁPSULA GELATINOSA , CAPSULA GELATINOSA NOME",94: MATÉRIAS-PRIMAS NAO METÁLICAS                                                                                           ,"9420: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS                                                                                   ",04497: CÁPSULA GELATINOSA                                                                                  ,Inativo,Não
