Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2941,"BAUXITA , BAUXITA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,03486: BAUXITA                                                                                             ,Ativo,Não
2950,"MINERIO DE FERRO , MINERIO DE FERRO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,09769: MINERIO DE FERRO                                                                                    ,Ativo,Não
2968,"MINERIO NAO FERROSO , MINERIO NAO FERROSO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,09770: MINERIO NAO FERROSO                                                                                 ,Ativo,Não
2984,"MICA NAO BENEFICIADA , MICA NAO BENEFICIADA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,09715: MICA NAO BENEFICIADA                                                                                ,Ativo,Não
3000,"DOLOMITA , DOLOMITA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,06379: DOLOMITA                                                                                            ,Ativo,Não
3018,"AMIANTO EM ESTADO BRUTO , AMIANTO EM ESTADO BRUTO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,02402: AMIANTO EM ESTADO BRUTO                                                                             ,Inativo,Não
3026,"PETRÓLEO CRU , PETROLEO CRU NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,10695: PETRÓLEO CRU                                                                                        ,Ativo,Não
3034,"GRAFITE , GRAFITE NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,08053: GRAFITE                                                                                             ,Inativo,Não
3042,"CAULIM (VER SILICATO DE ALUMÍNIO) , CAULIM NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,04708: CAULIM (VER SILICATO DE ALUMÍNIO)                                                                   ,Inativo,Não
3050,"CALCÁRIO , CALCARIO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,04210: CALCÁRIO                                                                                            ,Inativo,Não
3069,"XISTO BETUMINOSO , XISTO BETUMINOSO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,13491: XISTO BETUMINOSO                                                                                    ,Ativo,Não
3085,"FERRO - NIQUEL , FERRO - NIQUEL NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,07397: FERRO - NIQUEL                                                                                      ,Ativo,Não
3093,"FERRO - SILÍCIO , FERRO - SILICIO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,07398: FERRO - SILÍCIO                                                                                     ,Ativo,Não
3107,"FERRO CONSTRUÇÃO CIVIL , FERRO - GUSA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,07396: FERRO CONSTRUÇÃO CIVIL                                                                              ,Inativo,Não
3115,"LINGOTE DE FERRO , LINGOTE DE FERRO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,08859: LINGOTE DE FERRO                                                                                    ,Ativo,Não
3123,"LINGOTE DE ACO , LINGOTE DE ACO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,08858: LINGOTE DE ACO                                                                                      ,Ativo,Não
3131,"TARUGO DE FERRO , TARUGO DE FERRO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,12557: TARUGO DE FERRO                                                                                     ,Ativo,Não
3140,"TARUGO DE AÇO , TARUGO DE ACO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,12556: TARUGO DE AÇO                                                                                       ,Inativo,Não
3158,"LINGOTE DE MATERIAL METALICO NAO FERROSO , LINGOTE DE MATERIAL METALICO NAO FERROSO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9650: REFINADOS E PRODUTOS SEMI-ACABADOS DE  METAIS  BÁSICOS  NÃO FERROSOS                                                    ,08860: LINGOTE DE MATERIAL METALICO NAO FERROSO                                                            ,Ativo,Não
3166,"TARUGO METÁLICO , TARUGO DE MATERIAL METALICO NAO FERROSO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,12559: TARUGO METÁLICO                                                                                     ,Ativo,Não
3182,"BARRA DE METAL PRECIOSO NA FORMA PRIMARIA , BARRA DE METAL PRECIOSO NA FORMA PRIMARI NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9660: METAIS PRECIOSOS EM SUAS FORMAS PRIMÁRIAS                                                                               ,03382: BARRA DE METAL PRECIOSO NA FORMA PRIMARIA                                                           ,Ativo,Não
3190,"LINGOTE DE METAL PRECIOSO NA FORMA PRIMARIA , LINGOTE DE METAL PRECIOSO NA FORMA PRIMA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9660: METAIS PRECIOSOS EM SUAS FORMAS PRIMÁRIAS                                                                               ,08861: LINGOTE DE METAL PRECIOSO NA FORMA PRIMARIA                                                         ,Ativo,Não
3204,"SUCATA DE ACO ESPECIAL , SUCATA DE ACO ESPECIAL NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9670: SUCATA DE FERRO E DE AÇO                                                                                                ,12291: SUCATA DE ACO ESPECIAL                                                                              ,Ativo,Não
3212,"SUCATA DE LATAO , SUCATA DE LATAO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9680: SUCATA DE METAIS NÃO FERROSOS                                                                                           ,12296: SUCATA DE LATAO                                                                                     ,Ativo,Não
3220,"SUCATA DE BRONZE , SUCATA DE BRONZE NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9680: SUCATA DE METAIS NÃO FERROSOS                                                                                           ,12293: SUCATA DE BRONZE                                                                                    ,Ativo,Não
3239,"SUCATA - CHUMBO , SUCATA - CHUMBO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9680: SUCATA DE METAIS NÃO FERROSOS                                                                                           ,12289: SUCATA - CHUMBO                                                                                     ,Ativo,Não
3247,"SUCATA DE COBRE , SUCATA DE COBRE NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9680: SUCATA DE METAIS NÃO FERROSOS                                                                                           ,12294: SUCATA DE COBRE                                                                                     ,Ativo,Não
3255,"SUCATA DE ZINCO , SUCATA DE ZINCO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9680: SUCATA DE METAIS NÃO FERROSOS                                                                                           ,12297: SUCATA DE ZINCO                                                                                     ,Ativo,Não
3263,"SUCATA DE ALUMINIO , SUCATA DE ALUMINIO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9680: SUCATA DE METAIS NÃO FERROSOS                                                                                           ,12292: SUCATA DE ALUMINIO                                                                                  ,Ativo,Não
56995,"CHUMBO , CHUMBO ( MINERIO ) NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,04971: CHUMBO                                                                                              ,Inativo,Não
57002,"METAL PRECIOSO , METAL PRECIOSO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,09683: METAL PRECIOSO                                                                                      ,Ativo,Não
57037,"ASBESTO , ASBESTO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,03082: ASBESTO                                                                                             ,Ativo,Não
57045,"ARGILA , ARGILA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,02986: ARGILA                                                                                              ,Ativo,Não
57053,"BARRA FERRO E ACO , BARRA DE FERRO E ACO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,03365: BARRA FERRO E ACO                                                                                   ,Inativo,Não
57061,"BLOCO DE FERRO E ACO , BLOCO DE FERRO E ACO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,03605: BLOCO DE FERRO E ACO                                                                                ,Ativo,Não
57070,"BLOCO DE FERRO E ACO EM ESTADO BRUTO , BLOCO DE FERRO E ACO EM ESTADO BRUTO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,03606: BLOCO DE FERRO E ACO EM ESTADO BRUTO                                                                ,Inativo,Não
57088,"BARRA DE FERRO E ACO EM BRUTO , BARRA DE FERRO E ACO EM BRUTO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,03366: BARRA DE FERRO E ACO EM BRUTO                                                                       ,Ativo,Não
57100,"TIRA DE FERRO E ACO PARA TUBO , TIRA DE FERRO E ACO PARA TUBO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,12775: TIRA DE FERRO E ACO PARA TUBO                                                                       ,Ativo,Não
57118,"BARRA DE FERRO E ACO REDONDA PARA TUBO SEM COSTURA , BARRA DE FERRO E ACO REDONDA PARA TUBO S NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,03368: BARRA DE FERRO E ACO REDONDA PARA TUBO SEM COSTURA                                                  ,Inativo,Não
57126,"BARRA DE FERRO E ACO PARA LAMINA , BARRA DE FERRO E ACO PARA LAMINA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,03367: BARRA DE FERRO E ACO PARA LAMINA                                                                    ,Inativo,Não
61883,"URANIO , URANIO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9610: MINÉRIOS                                                                                                                ,13199: URANIO                                                                                              ,Ativo,Não
73709,"AMIANTO , AMIANTO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,02401: AMIANTO                                                                                             ,Ativo,Não
74349,"AMIANTO EM PO , AMIANTO EM PO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,02404: AMIANTO EM PO                                                                                       ,Inativo,Não
93491,"SUCATA DE FERRO , SUCATA DE FERRO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9670: SUCATA DE FERRO E DE AÇO                                                                                                ,12295: SUCATA DE FERRO                                                                                     ,Ativo,Não
93505,"SUCATA DE ACO COMUM , SUCATA DE ACO COMUM NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9670: SUCATA DE FERRO E DE AÇO                                                                                                ,12290: SUCATA DE ACO COMUM                                                                                 ,Ativo,Não
104604,"AREIA - FILTRACAO DE AGUA , AREIA - FILTRACAO DE AGUA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,02981: AREIA - FILTRACAO DE AGUA                                                                           ,Ativo,Não
133027,"TUBO DE LATAO , TUBO DE LATAO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9650: REFINADOS E PRODUTOS SEMI-ACABADOS DE  METAIS  BÁSICOS  NÃO FERROSOS                                                    ,13063: TUBO DE LATAO                                                                                       ,Ativo,Não
133159,"BOBINA - ACO INOXIDAVEL , BOBINA - ACO INOXIDAVEL NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,03633: BOBINA - ACO INOXIDAVEL                                                                             ,Inativo,Não
141399,"PÓ METÁLICO , PO ACO RAPIDO ATOMIZADO A AGUA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,10926: PÓ METÁLICO                                                                                         ,Inativo,Não
150827,"SELO SEGURANÇA , SELO SEGURANÇA NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9650: REFINADOS E PRODUTOS SEMI-ACABADOS DE  METAIS  BÁSICOS  NÃO FERROSOS                                                    ,17840: SELO SEGURANÇA                                                                                      ,Ativo,Não
199620,"MINERAIS NATURAIS E SINTÉTICOS , MINERAIS NATURAIS E SINTÉTICOS NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,17336: MINERAIS NATURAIS E SINTÉTICOS                                                                      ,Ativo,Não
199630,"ADITIVOS METÁLICOS E LIGAS BÁSICAS , ADITIVOS METÁLICOS E LIGAS BÁSICAS NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9630: ADITIVOS METÁLICOS E LIGAS BÁSICAS                                                                                      ,17337: ADITIVOS METÁLICOS E LIGAS BÁSICAS                                                                  ,Inativo,Não
199640,"PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE FERRO E DEAÇO , PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁR NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9640: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E DE AÇO                                                         ,17338: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE  FERRO  E  DEAÇO                                     ,Inativo,Não
199650,"REFINADOS E PRODUTOS SEMI-ACABADOS DE METAIS BÁSICOS NÃOFERROSOS , REFINADOS E PRODUTOS SEMI-ACABADOS DE NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9650: REFINADOS E PRODUTOS SEMI-ACABADOS DE  METAIS  BÁSICOS  NÃO FERROSOS                                                    ,17339: REFINADOS E PRODUTOS SEMI-ACABADOS  DE  METAIS  BÁSICOS  NÃOFERROSOS                                ,Inativo,Não
199670,"SUCATA DE FERRO E DE AÇO , SUCATA DE FERRO E DE AÇO NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9670: SUCATA DE FERRO E DE AÇO                                                                                                ,17341: SUCATA DE FERRO E DE AÇO                                                                            ,Inativo,Não
199680,"SUCATA DE METAIS NÃO FERROSOS , SUCATA DE METAIS NÃO FERROSOS NOME","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9680: SUCATA DE METAIS NÃO FERROSOS                                                                                           ,17342: SUCATA DE METAIS NÃO FERROSOS                                                                       ,Inativo,Não
230652,"GRAFITE , DIÂMETRO 0,50 MM","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,08053: GRAFITE                                                                                             ,Ativo,Não
232154,"GRAFITE , DIÂMETRO 0,70 MM","96: MINÉRIOS, MINERAIS E SEUS PRODUTOS PRIMÁRIOS                                                                            ",9620: MINERAIS NATURAIS E SINTÉTICOS                                                                                          ,08053: GRAFITE                                                                                             ,Ativo,Não
