Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1074,"PLACA , PLACA DE PLASTICO NOME",99: DIVERSOS                                                                                                                ,9999: ITENS DIVERSOS                                                                                                          ,10839: PLACA                                                                                               ,Inativo,Não
3271,"FÓSFORO , FOSFORO NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,07795: FÓSFORO                                                                                             ,Ativo,Não
3280,"ISQUEIRO PORTATIL , ISQUEIRO PORTATIL NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,08513: ISQUEIRO PORTATIL                                                                                   ,Ativo,Não
3298,"PEDRA DE ISQUEIRO , PEDRA DE ISQUEIRO NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,10584: PEDRA DE ISQUEIRO                                                                                   ,Ativo,Não
3301,"PAVIO DE ISQUEIRO , PAVIO DE ISQUEIRO NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,10517: PAVIO DE ISQUEIRO                                                                                   ,Ativo,Não
3310,"FLUIDO DE ISQUEIRO , FLUIDO DE ISQUEIRO NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,07649: FLUIDO DE ISQUEIRO                                                                                  ,Ativo,Não
3328,"CIGARREIRA , CIGARREIRA NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,04989: CIGARREIRA                                                                                          ,Ativo,Não
3336,"PORTA-CACHIMBO , PORTA - CACHIMBO NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,11032: PORTA-CACHIMBO                                                                                      ,Ativo,Não
3344,"CINZEIRO MESA , CINZEIRO DE MESA NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,00059: CINZEIRO MESA                                                                                       ,Ativo,Não
3352,"FUMO DE CACHIMBO , FUMO DE CACHIMBO NOME",99: DIVERSOS                                                                                                                ,9920: ARTIGOS PARA FUMANTES                                                                                                   ,07860: FUMO DE CACHIMBO                                                                                    ,Ativo,Não
