Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
43,"METRALHADORAS , METRALHADORAS NOME",10: ARMAMENTO                                                                                                               ,1005: ARMAS DE FOGO DE CALIBRE ATÉ 30MM                                                                                       ,09707: METRALHADORAS                                                                                       ,Ativo,Não
86,"PISTOLA , PISTOLAS NOME",10: ARMAMENTO                                                                                                               ,1005: ARMAS DE FOGO DE CALIBRE ATÉ 30MM                                                                                       ,10799: PISTOLA                                                                                             ,Ativo,Não
108,"FUZIS , FUZIS NOME",10: ARMAMENTO                                                                                                               ,1005: ARMAS DE FOGO DE CALIBRE ATÉ 30MM                                                                                       ,07889: FUZIS                                                                                               ,Ativo,Não
116,"RIFLES , RIFLES NOME",10: ARMAMENTO                                                                                                               ,1005: ARMAS DE FOGO DE CALIBRE ATÉ 30MM                                                                                       ,11747: RIFLES                                                                                              ,Ativo,Não
132,"TAMBORES , TAMBORES NOME",10: ARMAMENTO                                                                                                               ,1005: ARMAS DE FOGO DE CALIBRE ATÉ 30MM                                                                                       ,12505: TAMBORES                                                                                            ,Ativo,Não
159,"SILENCIADORES , SILENCIADORES NOME",10: ARMAMENTO                                                                                                               ,1005: ARMAS DE FOGO DE CALIBRE ATÉ 30MM                                                                                       ,12060: SILENCIADORES                                                                                       ,Ativo,Não
230,"BAINHA FACÃO CAÇA , BAINHAS PARA FACOES DE CACA NOME",10: ARMAMENTO                                                                                                               ,1095: ARMAMENTOS DIVERSOS                                                                                                     ,03204: BAINHA FACÃO CAÇA                                                                                   ,Ativo,Não
248,"LANCADORES DE GRANADA DE CARTUCHOS COMPLETO PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM , LANCADORES DE GRANADA DE CARTUCHOS COMPL NOME",10: ARMAMENTO                                                                                                               ,1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ,08690: LANCADORES DE GRANADA DE CARTUCHOS COMPLETO PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM    ,Inativo,Não
256,"FACOES DE CACA , FACOES DE CACA NOME",10: ARMAMENTO                                                                                                               ,1095: ARMAMENTOS DIVERSOS                                                                                                     ,07282: FACOES DE CACA                                                                                      ,Ativo,Não
264,"ESPINGARDAS PARA CACA SUBMARINA , ESPINGARDAS PARA CACA SUBMARINA NOME",10: ARMAMENTO                                                                                                               ,1095: ARMAMENTOS DIVERSOS                                                                                                     ,07019: ESPINGARDAS PARA CACA SUBMARINA                                                                     ,Ativo,Não
442,"ESTOJO DE LIMPEZA DE ARMA , ESTOJO DE LIMPEZA DE ARMA NOME",10: ARMAMENTO                                                                                                               ,1095: ARMAMENTOS DIVERSOS                                                                                                     ,07155: ESTOJO DE LIMPEZA DE ARMA                                                                           ,Ativo,Não
23000,"FOLE PARA CANHAO , FOLE PARA CANHAO NOME",10: ARMAMENTO                                                                                                               ,1095: ARMAMENTOS DIVERSOS                                                                                                     ,07688: FOLE PARA CANHAO                                                                                    ,Ativo,Não
34231,"MECANISMOS DE CULATRA PARA ARMAS DE CALIBRE ACIMA DE 30MM ATE 75MM , MECANISMOS DE CULATRA PARA ARMAS DE CALI NOME",10: ARMAMENTO                                                                                                               ,1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ,09520: MECANISMOS DE CULATRA PARA ARMAS DE CALIBRE ACIMA DE 30MM ATE 75MM                                  ,Ativo,Não
34240,"SUPORTE DE ARMAS DE CALIBRE ACIMA DE 30MM ATE 75MM , SUPORTE DE ARMAS DE CALIBRE ACIMA DE 30M NOME",10: ARMAMENTO                                                                                                               ,1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ,12377: SUPORTE DE ARMAS DE CALIBRE ACIMA DE 30MM ATE 75MM                                                  ,Ativo,Não
34258,"LANCADORES DE FOGUETES AEROTRANSPORTADOS , LANCADORES DE FOGUETES AEROTRANSPORTADOS NOME",10: ARMAMENTO                                                                                                               ,1055: LANÇADORES DE FOGUETES E PIROTÉCNICOS                                                                                   ,08689: LANCADORES DE FOGUETES AEROTRANSPORTADOS                                                            ,Ativo,Não
45896,"METRALHADORA / COMPONENTE , METRALHADORA / COMPONENTE NOME",10: ARMAMENTO                                                                                                               ,1005: ARMAS DE FOGO DE CALIBRE ATÉ 30MM                                                                                       ,09706: METRALHADORA / COMPONENTE                                                                           ,Inativo,Não
45934,"LANCADORES DE CARREGAMENTO SIMPLES PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM , LANCADORES DE CARREGAMENTO SIMPLES PARA NOME",10: ARMAMENTO                                                                                                               ,1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ,08687: LANCADORES DE CARREGAMENTO SIMPLES PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM             ,Ativo,Não
45942,"LANCADORES DE GRANADAS DE CARREGAMENTO AUTOMATICO PARA ARMAS DE FOG DE CALIB ACIMA DE 30MM ATE 75MM , LANCADORES DE GRANADAS DE CARREGAMENTO A NOME",10: ARMAMENTO                                                                                                               ,1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ,08691: LANCADORES DE GRANADAS DE CARREGAMENTO AUTOMATICO PARA ARMAS DE FOG DE CALIB ACIMA DE 30MM ATE 75MM ,Ativo,Não
45950,"LANCADORES DE DE TIROS AUTOMATICOS PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM , LANCADORES DE DE TIROS AUTOMATICOS PARA NOME",10: ARMAMENTO                                                                                                               ,1010: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM                                                                         ,08688: LANCADORES DE DE TIROS AUTOMATICOS PARA ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATE 75MM             ,Ativo,Não
45969,"MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 75MM ATE 125MM , MECANISMOS DE CULATRAS PARA ARMAS DE CAL NOME",10: ARMAMENTO                                                                                                               ,1015: ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM                                                                        ,09523: MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 75MM ATE 125MM                                ,Ativo,Não
45977,"SUPORTE PARA ARMAS DE CALIBRE ACIMA DE 75MM ATE 125MM , SUPORTE PARA ARMAS DE CALIBRE ACIMA DE 7 NOME",10: ARMAMENTO                                                                                                               ,1015: ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM                                                                        ,12409: SUPORTE PARA ARMAS DE CALIBRE ACIMA DE 75MM ATE 125MM                                               ,Ativo,Não
45993,"SOQUETE ARMA DE FOGO , SOQUETES PARA ARMAS DE CALIBRE ACIMA DE NOME",10: ARMAMENTO                                                                                                               ,1015: ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM                                                                        ,01290: SOQUETE ARMA DE FOGO                                                                                ,Inativo,Não
46000,"MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 125MM ATE 150MM , MECANISMOS DE CULATRAS PARA ARMAS DE CAL NOME",10: ARMAMENTO                                                                                                               ,1020: ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM                                                                       ,09521: MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 125MM ATE 150MM                               ,Ativo,Não
46035,"PLATAFORMAS DE DISPARO PARA ARMAS DE CALIBRE ACIMA DE 150MM ATE 200MM , PLATAFORMAS DE DISPARO PARA ARMAS DE CAL NOME",10: ARMAMENTO                                                                                                               ,1025: ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM                                                                       ,10904: PLATAFORMAS DE DISPARO PARA ARMAS DE CALIBRE ACIMA DE 150MM ATE 200MM                               ,Ativo,Não
46043,"SUPORTES PARA ARMAS DE CALIBRE ACIMA DE 150MM ATE 200MM , SUPORTES PARA ARMAS DE CALIBRE ACIMA DE NOME",10: ARMAMENTO                                                                                                               ,1025: ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM                                                                       ,12430: SUPORTES PARA ARMAS DE CALIBRE ACIMA DE 150MM ATE 200MM                                             ,Ativo,Não
46078,"SOQUETE ARMA DE FOGO , SOQUETE PARA ARMAS DE CALIBRE ACIMA DE 2 NOME",10: ARMAMENTO                                                                                                               ,1030: ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM                                                                       ,01291: SOQUETE ARMA DE FOGO                                                                                ,Ativo,Não
46086,"REFLETORES PARA ARMAS DE CALIBRE ACIMA DE 200MM ATE 300MM , REFLETORES PARA ARMAS DE CALIBRE ACIMA D NOME",10: ARMAMENTO                                                                                                               ,1030: ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM                                                                       ,11529: REFLETORES PARA ARMAS DE CALIBRE ACIMA DE 200MM ATE 300MM                                           ,Ativo,Não
46094,"MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 300MM , MECANISMOS DE CULATRAS PARA ARMAS DE CAL NOME",10: ARMAMENTO                                                                                                               ,1035: ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM                                                                                 ,09522: MECANISMOS DE CULATRAS PARA ARMAS DE CALIBRE ACIMA DE 300MM                                         ,Ativo,Não
46116,"MECANISMOS DE INSTRUCAO PARA ARMAS DE CALIBRE ACIMA DE 300MM , MECANISMOS DE INSTRUCAO PARA ARMAS DE CA NOME",10: ARMAMENTO                                                                                                               ,1035: ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM                                                                                 ,09524: MECANISMOS DE INSTRUCAO PARA ARMAS DE CALIBRE ACIMA DE 300MM                                        ,Ativo,Não
46124,"LANCA-CHAMAS , LANCA-CHAMAS NOME",10: ARMAMENTO                                                                                                               ,1040: ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA                                                                              ,08681: LANCA-CHAMAS                                                                                        ,Ativo,Não
46140,"PEÇAS / COMPONENTES TUBOS DE TORPEDOS , TUPOS PARA TORPEDOS NOME",10: ARMAMENTO                                                                                                               ,1045: LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE                                                                      ,13130: PEÇAS / COMPONENTES TUBOS DE TORPEDOS                                                               ,Ativo,Não
46159,"ESTEIRAS PARA CARGAS DE PROFUNDIDADE , ESTEIRAS PARA CARGAS DE PROFUNDIDADE NOME",10: ARMAMENTO                                                                                                               ,1045: LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE                                                                      ,07120: ESTEIRAS PARA CARGAS DE PROFUNDIDADE                                                                ,Ativo,Não
46167,"LANCADORES ADAPTAVEIS PARA EMPREGO DE MISSEIS GUIADOS , LANCADORES ADAPTAVEIS PARA EMPREGO DE MI NOME",10: ARMAMENTO                                                                                                               ,1055: LANÇADORES DE FOGUETES E PIROTÉCNICOS                                                                                   ,08686: LANCADORES ADAPTAVEIS PARA EMPREGO DE MISSEIS GUIADOS                                               ,Ativo,Não
46175,"SIMULADORES DE ARTILHARIA , SIMULADORES DE ARTILHARIA NOME",10: ARMAMENTO                                                                                                               ,1080: EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO                                                                            ,12073: SIMULADORES DE ARTILHARIA                                                                           ,Ativo,Não
46183,"SIMULADORES DE AERONAVES , SIMULAROES DE AERONAVES NOME",10: ARMAMENTO                                                                                                               ,1080: EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO                                                                            ,12075: SIMULADORES DE AERONAVES                                                                            ,Ativo,Não
46191,"SIMULADORES DE VEICULOS , SIMULADORES DE VEICULOS NOME",10: ARMAMENTO                                                                                                               ,1080: EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO                                                                            ,12074: SIMULADORES DE VEICULOS                                                                             ,Ativo,Não
46205,"REDE DE NEBLINA , REDE DE CAMUFLAGEM NOME",10: ARMAMENTO                                                                                                               ,1080: EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO                                                                            ,11501: REDE DE NEBLINA                                                                                     ,Ativo,Não
