Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
46248,"SECOES DE OGIVAS , SECOES DE OGIVAS NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1110: PROJÉTEIS NUCLEARES                                                                                                     ,11973: SECOES DE OGIVAS                                                                                    ,Ativo,Não
46256,"SECOES DE CORPO , SECOES DE CORPO NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1110: PROJÉTEIS NUCLEARES                                                                                                     ,11972: SECOES DE CORPO                                                                                     ,Ativo,Não
46264,"SECOES DE BASE , SECOES DE BASE NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1110: PROJÉTEIS NUCLEARES                                                                                                     ,11970: SECOES DE BASE                                                                                      ,Ativo,Não
46302,"SECOES DE CARCACAS , SECOES DE CARCACAS NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1125: CARGAS NUCLEARES DE DEMOLIÇÃO                                                                                           ,11971: SECOES DE CARCACAS                                                                                  ,Ativo,Não
46337,"ESPOLETAS , ESPOLETAS NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1135: DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO                                                                        ,07034: ESPOLETAS                                                                                           ,Inativo,Não
46353,"ESPOLETA DE DISPARO , ESPOLETA DE DISPARO NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1135: DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO                                                                        ,07026: ESPOLETA DE DISPARO                                                                                 ,Ativo,Não
46361,"FONTES DE ENERGIA PARA DETONACAO E DISPARO , FONTES DE ENERGIA PARA DETONACAO E DISPA NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1135: DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO                                                                        ,07722: FONTES DE ENERGIA PARA DETONACAO E DISPARO                                                          ,Ativo,Não
46388,"UNIDADES CONSUMIVEIS DE DETONACAO E DISPARO DE ARMAS NUCLEARES , UNIDADES CONSUMIVEIS DE DETONACAO E DISP NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1135: DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO                                                                        ,13195: UNIDADES CONSUMIVEIS DE DETONACAO E DISPARO DE ARMAS NUCLEARES                                      ,Ativo,Não
46418,"SISTEMAS DE ARMAR E DETONAR VEICULOS ESPACIAIS NUCLEARES DE REENTRADA , SISTEMAS DE ARMAR E DETONAR VEICULOS ESP NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1135: DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO                                                                        ,12167: SISTEMAS DE ARMAR E DETONAR VEICULOS ESPACIAIS NUCLEARES DE REENTRADA                               ,Ativo,Não
46442,"REBOQUES ESPECIAIS PARA ARMAMENTO NUCLEAR , REBOQUES ESPECIAIS PARA ARMAMENTO NUCLEA NOME",11: MATERIAIS BÉLICOS NUCLEARES                                                                                             ,1190: EQUIPAMENTO ESPECIALIZADO DE MANUSEIO E ENSAIO DE  ARMAMENTONUCLEAR                                                     ,11469: REBOQUES ESPECIAIS PARA ARMAMENTO NUCLEAR                                                           ,Ativo,Não
