Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
34363,"PERISCÓPIO , PERISCOPIOS SUBMARINOS NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1240: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,10674: PERISCÓPIO                                                                                          ,Inativo,Não
34371,"MEDIDORES DE DISTANCIA PARA EMBARCACOES , MEDIDORES DE DISTANCIA PARA EMBARCACOES NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1240: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,09571: MEDIDORES DE DISTANCIA PARA EMBARCACOES                                                             ,Ativo,Não
34380,"MEDIDORES DE ALTURA PARA EMBARCACOES , MEDIDORES DE ALTURA PARA EMBARCACOES NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1240: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,09570: MEDIDORES DE ALTURA PARA EMBARCACOES                                                                ,Ativo,Não
34398,"VISORES TELESCOPICOS PARA EMBARCACOES , VISORES TELESCOPICOS PARA EMBARCACOES NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1240: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,13462: VISORES TELESCOPICOS PARA EMBARCACOES                                                               ,Ativo,Não
34401,"INSTRUMENTOS OTICOS ACOPLADOS A EQUIPAMENTOS DE CONTROLE DE TIRO DE EMBARCACOES , INSTRUMENTOS OTICOS ACOPLADOS A EQUIPAME NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1240: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,08425: INSTRUMENTOS OTICOS ACOPLADOS A EQUIPAMENTOS DE CONTROLE DE TIRO DE EMBARCACOES                     ,Ativo,Não
34428,"MECANISMO GIROSCOPICO COMPLETO , MECANISMO GIROSCOPICO COMPLETO NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1280: COMPONENTES DE CONTROLE DE TIRO EM AERONAVES DE BOMBARDEIO                                                              ,09519: MECANISMO GIROSCOPICO COMPLETO                                                                      ,Ativo,Não
34436,"INSTRUMENTO OTICO PARA CONTROLE DE BOMBARDEIO , INSTRUMENTO OTICO PARA CONTROLE DE BOMBA NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1280: COMPONENTES DE CONTROLE DE TIRO EM AERONAVES DE BOMBARDEIO                                                              ,08420: INSTRUMENTO OTICO PARA CONTROLE DE BOMBARDEIO                                                       ,Ativo,Não
150059,"RETICULO CONTAGEM LINHA , RETICULO CONTAGEM LINHA NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1240: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,16260: RETICULO CONTAGEM LINHA                                                                             ,Inativo,Não
150947,"PERISCÓPIO , PERISCÓPIO NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1240: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE DISTÂNCIA                                                                    ,10674: PERISCÓPIO                                                                                          ,Ativo,Não
191210,"DIRETORAS DE CONTROLE DE TIRO , DIRETORAS DE CONTROLE DE TIRO NOME",12: EQUIPAMENTOS DE TIRO                                                                                                    ,1210: DIRETORAS DE CONTROLE DE TIRO                                                                                           ,16684: DIRETORAS DE CONTROLE DE TIRO                                                                       ,Inativo,Não
