Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
485,"TANQUES DE COMBUSTIVEIS DE AERONAVES , TANQUES DE COMBUSTIVEIS DE AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1510: AERONAVES DE ASAS FIXAS                                                                                                 ,12545: TANQUES DE COMBUSTIVEIS DE AERONAVES                                                                ,Inativo,Não
46540,"PLANADORES COMPLETOS , PLANADORES COMPLETOS NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1540: PLANADORES                                                                                                              ,10878: PLANADORES COMPLETOS                                                                                ,Ativo,Não
46566,"PEÇAS ESPECIAIS DE AERONAVES , PECAS ESPECIAIS DE AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,10572: PEÇAS ESPECIAIS DE AERONAVES                                                                        ,Ativo,Não
46582,"GUIAS DE CABOS PARA AERONAVES , GUIAS DE CABOS PARA AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,08134: GUIAS DE CABOS PARA AERONAVES                                                                       ,Ativo,Não
46590,"SUPORTES ESPECIAIS PARA AERONAVES , SUPORTES ESPECIAIS PARA AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,12428: SUPORTES ESPECIAIS PARA AERONAVES                                                                   ,Ativo,Não
46604,"TANQUES DE COMBUSTIVEL FIXO DE AERONAVES , TANQUES DE COMBUSTIVEL FIXO DE AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,12546: TANQUES DE COMBUSTIVEL FIXO DE AERONAVES                                                            ,Ativo,Não
46612,"SISTEMAS DE ESCAPAMENTO DE AERONAVES , SISTEMAS DE ESCAPAMENTO DE AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,12168: SISTEMAS DE ESCAPAMENTO DE AERONAVES                                                                ,Ativo,Não
46620,"TANQUES AUXILIARES DE COMBUSTIVEL DE AERONAVES , TANQUES AUXILIARES DE COMBUSTIVEL DE AER NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,12544: TANQUES AUXILIARES DE COMBUSTIVEL DE AERONAVES                                                      ,Ativo,Não
46639,"PILONES , PILONES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,10713: PILONES                                                                                             ,Ativo,Não
102830,"HELICÓPTERO , HELICOPTERO NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1520: AERONAVES DE ASA ROTATIVAS                                                                                              ,08184: HELICÓPTERO                                                                                         ,Ativo,Não
116165,"AVIÃO , AVIAO NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1510: AERONAVES DE ASAS FIXAS                                                                                                 ,03161: AVIÃO                                                                                               ,Ativo,Não
128589,"PEÇAS / ACESSÓRIOS AEROMODELO , AEROMODELO NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1550: AERONAVES TELEGUIADAS                                                                                                   ,02137: PEÇAS / ACESSÓRIOS AEROMODELO                                                                       ,Inativo,Não
135135,"PEÇA / COMPONENTE - AEROMODELO , PECA / COMPONENTE - AEROMODELO REBOCADOR NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1550: AERONAVES TELEGUIADAS                                                                                                   ,10522: PEÇA / COMPONENTE - AEROMODELO                                                                      ,Inativo,Não
150448,"PEÇAS / ACESSÓRIOS AEROMODELO , PEÇAS / ACESSÓRIOS AEROMODELO NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1550: AERONAVES TELEGUIADAS                                                                                                   ,02137: PEÇAS / ACESSÓRIOS AEROMODELO                                                                       ,Ativo,Não
191505,"AERONAVES , AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1505: AERONAVES                                                                                                               ,16733: AERONAVES                                                                                           ,Inativo,Não
191510,"AERONAVES DE ASAS FIXAS , AERONAVES DE ASAS FIXAS NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1510: AERONAVES DE ASAS FIXAS                                                                                                 ,16734: AERONAVES DE ASAS FIXAS                                                                             ,Inativo,Não
191515,"HELICES DE AERONAVES E COMPONENTES , HELICES DE AERONAVES E COMPONENTES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1515: HELICES DE AERONAVES E COMPONENTES                                                                                      ,16735: HELICES DE AERONAVES E COMPONENTES                                                                  ,Inativo,Não
191520,"AERONAVES DE ASAS ROTATIVAS - HELICOPTEROS E ASSEMELHADOS , AERONAVES DE ASAS ROTATIVAS - HELICOPTER NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1520: AERONAVES DE ASA ROTATIVAS                                                                                              ,16736: AERONAVES DE ASAS ROTATIVAS - HELICOPTEROS E ASSEMELHADOS                                           ,Inativo,Não
191525,"COMPONENTES DE SISTEMA DE FREIOS E RODAS , COMPONENTES DE SISTEMA DE FREIOS E RODAS NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1525: COMPONENTES DE SISTEMA DE FREIOS E RODAS                                                                                ,16737: COMPONENTES DE SISTEMA DE FREIOS E RODAS                                                            ,Inativo,Não
191530,"COMPNENTES DE SISTEMA HIDRAULICO, DE VACUO E DEGELAMENTO , COMPNENTES DE SISTEMA HIDRAULICO, DE VAC NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,"1530: COMPNENTES DE SISTEMA HIDRAULICO, DE VACUO E  DEGELAMENTO                                                               ","16738: COMPNENTES DE SISTEMA HIDRAULICO, DE VACUO E  DEGELAMENTO                                           ",Inativo,Não
191535,"COMPONENTE DE SISTEMAS DE CONDICIONAMENTO DE AR,DO AQUECIMENTO E DE PRESSURIZACAO , COMPONENTE DE SISTEMAS DE CONDICIONAMENT NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,"1535: COMPONENTE DE SISTEMAS DE CONDICIONAMENTO  DE  AR,DO AQUECIMENTO E DE PRESSURIZACAO                                     ","16739: COMPONENTE DE SISTEMAS DE CONDICIONAMENTO  DE  AR,DO AQUECIMENTO E DE PRESSURIZACAO                 ",Inativo,Não
191540,"PLANADORES , PLANADORES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1540: PLANADORES                                                                                                              ,16740: PLANADORES                                                                                          ,Inativo,Não
191550,"AERONAVES TELEGUIADAS , AERONAVES TELEGUIADAS NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1550: AERONAVES TELEGUIADAS                                                                                                   ,16741: AERONAVES TELEGUIADAS                                                                               ,Ativo,Não
191560,"COMPONENTES ESTRUTURAIS DE AERONAVES , COMPONENTES ESTRUTURAIS DE AERONAVES NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1560: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                                    ,16742: COMPONENTES ESTRUTURAIS DE AERONAVES                                                                ,Inativo,Não
191595,"AERONAVES E COMPONENTES ESTRUTURAIS DIVERSOS , AERONAVES E COMPONENTES ESTRUTURAIS DIVE NOME",15: AERONAVES E SEUS COMPONENTES ESTRUTURAIS                                                                                ,1595: AERONAVES E COMPONENTES ESTRUTURAIS DIVERSOS                                                                            ,16743: AERONAVES E COMPONENTES ESTRUTURAIS DIVERSOS                                                        ,Inativo,Não
