Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
15393,"GERADOR DE ELETRICIDADE AUXILIAR DE AERONAVE , GERADOR DE ELETRICIDADE AUXILIAR DE AERO NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,07975: GERADOR DE ELETRICIDADE AUXILIAR DE AERONAVE                                                        ,Ativo,Não
34452,"QUADRANTE DE CONTROLE DE CARLINGA , QUADRANTE DE CONTROLE DE CARLINGA NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,11356: QUADRANTE DE CONTROLE DE CARLINGA                                                                   ,Inativo,Não
34487,"VENTILADORES DE AERONAVES , VENTILADORES DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,13378: VENTILADORES DE AERONAVES                                                                           ,Ativo,Não
34495,"TUBO DE MENSAGEM DE AERONAVES , TUBO DE MENSAGEM DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,13065: TUBO DE MENSAGEM DE AERONAVES                                                                       ,Ativo,Não
34509,"TUBOS DE ALIVIO DE AERONAVES , TUBOS DE ALIVIO DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,13120: TUBOS DE ALIVIO DE AERONAVES                                                                        ,Ativo,Não
34517,"PORTA-MAPAS DE AERONAVES , PORTA - MAPAS DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,11045: PORTA-MAPAS DE AERONAVES                                                                            ,Ativo,Não
34541,"SUPORTE DE FIXACAO DE PADIOLAS EM AERONAVES , SUPORTE DE FIXACAO DE PADIOLAS EM AERONA NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,12389: SUPORTE DE FIXACAO DE PADIOLAS EM AERONAVES                                                         ,Ativo,Não
34550,"LIMPADOR DE PARABRISA ELETRICO DE AERONAVES , LIMPADOR DE PARABRISA ELETRICO DE AERONA NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,08851: LIMPADOR DE PARABRISA ELETRICO DE AERONAVES                                                         ,Ativo,Não
34568,"LIMPADOR DE PARABRISA HIDRAULICO DE AERONAVES , LIMPADOR DE PARABRISA HIDRAULICO DE AERO NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,08852: LIMPADOR DE PARABRISA HIDRAULICO DE AERONAVES                                                       ,Ativo,Não
34576,"SISTEMA DE EXTINTOR DE INCENDIO EM AERONAVES , SISTEMA DE EXTINTOR DE INCENDIO EM AERON NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,12118: SISTEMA DE EXTINTOR DE INCENDIO EM AERONAVES                                                        ,Ativo,Não
34584,"PARTES E COMPONENTES DE SISTEMAS DE EXTINTOR DE INCENDIO DE AERONAVES , PARTES E COMPONENTES DE SISTEMAS DE EXTI NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,10464: PARTES E COMPONENTES DE SISTEMAS DE EXTINTOR DE INCENDIO DE AERONAVES                               ,Ativo,Não
34592,"GERADOR DE GAS INERTE DE AERONAVES , GERADOR DE GAS INERTE DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,07977: GERADOR DE GAS INERTE DE AERONAVES                                                                  ,Ativo,Não
34606,"MOBILIARIO DE AERONAVES , MOBILIARIO DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,09815: MOBILIARIO DE AERONAVES                                                                             ,Inativo,Não
34614,"GUINCHOS DE AERONAVES , GUINCHOS DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,08143: GUINCHOS DE AERONAVES                                                                               ,Ativo,Não
34622,"TALHAS DE AERONAVES , TALHAS DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,12498: TALHAS DE AERONAVES                                                                                 ,Ativo,Não
34630,"PORTAS DE AERONAVES , PORTAS DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,11097: PORTAS DE AERONAVES                                                                                 ,Ativo,Não
34657,"REGULADOR DE CABO DE TENSAO DE AERONAVES , REGULADOR DE CABO DE TENSAO DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,11585: REGULADOR DE CABO DE TENSAO DE AERONAVES                                                            ,Ativo,Não
34665,"VISOR DE SOL DE AERONAVES , VISOR DE SOL DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,13458: VISOR DE SOL DE AERONAVES                                                                           ,Ativo,Não
34681,"TRANSMISSOES MECANICAS DE AERONAVES , TRANSMISSOES MECANICAS DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1680: ACESSORIOS E COMPONENTES DIVERSOS DE AERONAVES                                                                          ,12904: TRANSMISSOES MECANICAS DE AERONAVES                                                                 ,Ativo,Não
46655,"SINCRONIZADORES DE HELICES DE AERONAVES , SINCRONIZADORES DE HELICES DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1610: HELICES DE AERONAVES                                                                                                    ,12087: SINCRONIZADORES DE HELICES DE AERONAVES                                                             ,Ativo,Não
46663,"PAS DE HELICES DE AERONAVES , PAS DE HELICES DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1610: HELICES DE AERONAVES                                                                                                    ,10467: PAS DE HELICES DE AERONAVES                                                                         ,Ativo,Não
46680,"UNIDADES DE FORCA DE HELICES DE AERONAVES , UNIDADES DE FORCA DE HELICES DE AERONAVE NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1610: HELICES DE AERONAVES                                                                                                    ,13196: UNIDADES DE FORCA DE HELICES DE AERONAVES                                                           ,Ativo,Não
46710,"ROTORES DE HELICES DE AERONAVES , ROTORES DE HELICES DE AERONAVES NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1610: HELICES DE AERONAVES                                                                                                    ,11845: ROTORES DE HELICES DE AERONAVES                                                                     ,Ativo,Não
46736,"PAS DE ROTORES DE ACIONAMENTO DE HELICOPTEROS , PAS DE ROTORES DE ACIONAMENTO DE HELICOP NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,"1615: PÁS DE ROTOR DE HELICOPTERO, MECANISMOS DE TRANSMISSÃO E    COMPONENTES                                                 ",10468: PAS DE ROTORES DE ACIONAMENTO DE HELICOPTEROS                                                       ,Ativo,Não
46744,"PERNAS AMORTECEDORAS DE TREM DE POUSO DE AERONAVES , PERNAS AMORTECEDORAS DE TREM DE POUSO DE NOME",16: COMPONENTES E ACESSORIOS DE AERONAVES                                                                                   ,1620: COMPONENTES DE TREM DE POUSO DE AERONAVE                                                                                ,10677: PERNAS AMORTECEDORAS DE TREM DE POUSO DE AERONAVES                                                  ,Ativo,Não
