Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
47104,"VEICULOS ESPACIAIS COMPLETO MONTADOS / DESMONTADO S , VEICULOS ESPACIAIS COMPLETO MONTADOS / D NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1810: VEÍCULOS ESPACIAIS                                                                                                      ,13360: VEICULOS ESPACIAIS COMPLETO MONTADOS / DESMONTADO S                                                 ,Ativo,Não
47112,"VEICULOS / REBOQUES PARA TRANSPORTE DE VEICULOS ESPACIAIS , VEICULOS / REBOQUES PARA TRANSPORTE DE V NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1850: EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS ESPACIAIS                                                               ,13358: VEICULOS / REBOQUES PARA TRANSPORTE DE VEICULOS ESPACIAIS                                           ,Ativo,Não
105945,"SATELITE - ESTRUTURA MONTADA / PROPULSOR , SATELITE - ESTRUTURA MONTADA / PROPULSOR NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1840: LANCADORES DE VEICULOS ESPACIAIS                                                                                        ,11953: SATELITE - ESTRUTURA MONTADA / PROPULSOR                                                            ,Ativo,Não
191805,"VEICULOS , VEICULOS NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1805: VEICULOS                                                                                                                ,16759: VEICULOS                                                                                            ,Inativo,Não
191810,"VEICULOS ESPACIAIS (ASTRONAVES) , VEICULOS ESPACIAIS (ASTRONAVES) NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1810: VEÍCULOS ESPACIAIS                                                                                                      ,16760: VEICULOS ESPACIAIS (ASTRONAVES)                                                                     ,Inativo,Não
191820,"COMPONENTES DE VEICULOS ESPACIAIS , COMPONENTES DE VEICULOS ESPACIAIS NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1820: COMPONENTES DE VEICULOS ESPACIAIS                                                                                       ,16761: COMPONENTES DE VEICULOS ESPACIAIS                                                                   ,Inativo,Não
191830,"SISTEMAS DE CONTROLE REMOTO DE VEICULOS ESPACIAIS , SISTEMAS DE CONTROLE REMOTO DE VEICULOS NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1830: SISTEMAS DE CONTROLE REMOTO DE VEICULOS ESPACIAIS                                                                       ,16762: SISTEMAS DE CONTROLE REMOTO DE VEICULOS ESPACIAIS                                                   ,Inativo,Não
191840,"LANCADORES DE VEICULOS ESPACIAIS , LANCADORES DE VEICULOS ESPACIAIS NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1840: LANCADORES DE VEICULOS ESPACIAIS                                                                                        ,16763: LANCADORES DE VEICULOS ESPACIAIS                                                                    ,Inativo,Não
191850,"EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS ESPACIAIS , EQUIPAMENTOS DE SERVICOS E MANUSEIO DE V NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1850: EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS ESPACIAIS                                                               ,16764: EQUIPAMENTOS DE SERVICOS E MANUSEIO DE VEICULOS ESPACIAIS                                           ,Inativo,Não
191860,"EQUIPAMENTOS DE SOBREVIVENCIA NO ESPACO , EQUIPAMENTOS DE SOBREVIVENCIA NO ESPACO NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1860: EQUIPAMENTOS DE SOBREVIVÊNCIA ESPACIAL                                                                                  ,16765: EQUIPAMENTOS DE SOBREVIVENCIA NO ESPACO                                                             ,Inativo,Não
191895,"VEICULOS ESPACIAIS DIVERSOS , VEICULOS ESPACIAIS DIVERSOS NOME",18: VEICULOS ESPACIAIS (ASTRONAVES)                                                                                         ,1895: VEICULOS ESPACIAIS DIVERSOS                                                                                             ,16766: VEICULOS ESPACIAIS DIVERSOS                                                                         ,Inativo,Não
