Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
507,"LANCHA DE TRANSPORTE DE PASSAGEIRO , LANCHA DE TRANSPORTE DE PASSAGEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1910: NAVIOS PARA TRANSPORTE DE PASSAGEIRO E DE TROPA                                                                         ,08697: LANCHA DE TRANSPORTE DE PASSAGEIRO                                                                  ,Ativo,Não
515,"NAVIO DE PASSAGEIRO , NAVIO DE PASSAGEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1910: NAVIOS PARA TRANSPORTE DE PASSAGEIRO E DE TROPA                                                                         ,10054: NAVIO DE PASSAGEIRO                                                                                 ,Ativo,Não
523,"NAVIO DE ALOJAMENTO , NAVIO DE ALOJAMENTO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1910: NAVIOS PARA TRANSPORTE DE PASSAGEIRO E DE TROPA                                                                         ,10050: NAVIO DE ALOJAMENTO                                                                                 ,Inativo,Não
531,"PEQUENA EMBARCACAO COM PROPULSAO PROPRIA , PEQUENA EMBARCACAO COM PROPULSAO PROPRIA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1940: EMBARCAÇÕES PEQUENAS                                                                                                    ,10641: PEQUENA EMBARCACAO COM PROPULSAO PROPRIA                                                            ,Ativo,Não
540,"NAVIO PETROLEIRO , NAVIO PETROLEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1915: NAVIOS TANQUES E CARGUEIROS                                                                                             ,10061: NAVIO PETROLEIRO                                                                                    ,Inativo,Não
558,"NAVIO PROPANEIRO , NAVIO PROPANEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1915: NAVIOS TANQUES E CARGUEIROS                                                                                             ,10062: NAVIO PROPANEIRO                                                                                    ,Ativo,Não
566,"NAVIO GRANELEIRO , NAVIO GRANELEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1915: NAVIOS TANQUES E CARGUEIROS                                                                                             ,10058: NAVIO GRANELEIRO                                                                                    ,Inativo,Não
574,"NAVIO DE CARGA MISTA ( MINERIO / PETROLEO ) , NAVIO DE CARGA MISTA ( MINERIO / PETROLE NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1915: NAVIOS TANQUES E CARGUEIROS                                                                                             ,10052: NAVIO DE CARGA MISTA ( MINERIO / PETROLEO )                                                         ,Ativo,Não
582,"NAVIO DE CARGA SECA , NAVIO DE CARGA SECA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1915: NAVIOS TANQUES E CARGUEIROS                                                                                             ,10053: NAVIO DE CARGA SECA                                                                                 ,Ativo,Não
590,"CHATA PARA CARGA SECA , CHATA PARA CARGA SECA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1930: BATELOES E CHATAS PARA CARGAS                                                                                           ,04865: CHATA PARA CARGA SECA                                                                               ,Inativo,Não
604,"CHATA DE CARGA , CHATA DE CARGA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1930: BATELOES E CHATAS PARA CARGAS                                                                                           ,04864: CHATA DE CARGA                                                                                      ,Inativo,Não
612,"BATELAO DE CARGA SECA , BATELAO DE CARGA SECA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1930: BATELOES E CHATAS PARA CARGAS                                                                                           ,03451: BATELAO DE CARGA SECA                                                                               ,Inativo,Não
620,"BATELAO DE CARGA LIQUIDA , BATELAO DE CARGA LIQUIDA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1930: BATELOES E CHATAS PARA CARGAS                                                                                           ,03450: BATELAO DE CARGA LIQUIDA                                                                            ,Inativo,Não
639,"EMBARCACAO REBOCADORA , EMBARCACAO REBOCADORA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,06513: EMBARCACAO REBOCADORA                                                                               ,Ativo,Não
647,"PONTAO ESTAQUEADOR , PONTAO ESTAQUEADOR NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1945: PONTÕES E DOCAS FLUTUANTES                                                                                              ,10999: PONTAO ESTAQUEADOR                                                                                  ,Ativo,Não
655,"CHALUPA , CHALUPA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,04808: CHALUPA                                                                                             ,Ativo,Não
663,"DRAGA SEM CASCO , DRAGA SEM CASCO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1955: DRAGAS                                                                                                                  ,06402: DRAGA SEM CASCO                                                                                     ,Inativo,Não
671,"NAVIO OFICINA , NAVIO OFICINA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,10060: NAVIO OFICINA                                                                                       ,Ativo,Não
680,"DRAGA , DRAGA DE ALTO - MAR NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1955: DRAGAS                                                                                                                  ,06400: DRAGA                                                                                               ,Inativo,Não
698,"NAVIO AUXILIAR , NAVIO AUXILIAR NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,10048: NAVIO AUXILIAR                                                                                      ,Ativo,Não
701,"DRAGA FLUTUANTE , DRAGA FLUTUANTE NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1955: DRAGAS                                                                                                                  ,06401: DRAGA FLUTUANTE                                                                                     ,Inativo,Não
710,"NAVIO BALIZADOR , NAVIO BALIZADOR NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,10049: NAVIO BALIZADOR                                                                                     ,Ativo,Não
728,"NAVIO FAROLEIRO , NAVIO FAROLEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,10057: NAVIO FAROLEIRO                                                                                     ,Ativo,Não
736,"NAVIO LIGEIRO , NAVIO LIGEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,10059: NAVIO LIGEIRO                                                                                       ,Ativo,Não
744,"EMBARCACAO LANCADORA DE CABO , EMBARCACAO LANCADORA DE CABO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,06512: EMBARCACAO LANCADORA DE CABO                                                                        ,Ativo,Não
752,"EMBARCACAO DE COMBATE A INCENDIO , EMBARCACAO DE COMBATE A INCENDIO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1925: NAVIOS DE SERVICOS ESPECIAIS                                                                                            ,06509: EMBARCACAO DE COMBATE A INCENDIO                                                                    ,Ativo,Não
760,"BATELAO PARA TRANSPORTE DE CARGA , BATELAO PARA TRANSPORTE DE CARGA NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1930: BATELOES E CHATAS PARA CARGAS                                                                                           ,03458: BATELAO PARA TRANSPORTE DE CARGA                                                                    ,Ativo,Não
779,"BATELAO DEPOSITO , BATELAO DEPOSITO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1930: BATELOES E CHATAS PARA CARGAS                                                                                           ,03453: BATELAO DEPOSITO                                                                                    ,Ativo,Não
833,"CABREA FLUTUANTE , CABREA FLUTUANTE NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1935: BATELOES E CHATAS PARA FINS ESPECIAIS                                                                                   ,04061: CABREA FLUTUANTE                                                                                    ,Ativo,Não
850,"BATELAO MISTURADOR DE CONCRETO , BATELAO MISTURADOR DE CONCRETO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1935: BATELOES E CHATAS PARA FINS ESPECIAIS                                                                                   ,03457: BATELAO MISTURADOR DE CONCRETO                                                                      ,Ativo,Não
868,"BATELAO DE COMBATE A INCENDIO , BATELAO DE COMBATE A INCENDIO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1935: BATELOES E CHATAS PARA FINS ESPECIAIS                                                                                   ,03452: BATELAO DE COMBATE A INCENDIO                                                                       ,Ativo,Não
876,"BATELAO LAMEIRO , BATELAO LAMEIRO NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1935: BATELOES E CHATAS PARA FINS ESPECIAIS                                                                                   ,03456: BATELAO LAMEIRO                                                                                     ,Ativo,Não
884,"BATELAO BOMBEADOR , BATELAO BOMBEADOR NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1935: BATELOES E CHATAS PARA FINS ESPECIAIS                                                                                   ,03449: BATELAO BOMBEADOR                                                                                   ,Ativo,Não
906,"CASA DE FORÇA FLUTUANTE , CASA DE FORCA FLUTUANTE NOME","19: NAVIOS, PEQUENAS EMBARCACOES, PONTOES E DIQUES FLUTUANTES                                                               ",1935: BATELOES E CHATAS PARA FINS ESPECIAIS                                                                                   ,04679: CASA DE FORÇA FLUTUANTE                                                                             ,Ativo,Não
