Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
787,"EIXO DE PROPULSÃO , EIXO DE PROPULSAO NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2010: EQUIPAMENTOS DE PROPULSÃO DE NAVIOS E EMBARCAÇÕES                                                                       ,06437: EIXO DE PROPULSÃO                                                                                   ,Ativo,Não
795,"HÉLICE EMBARCAÇÃO , HELICE DE EMBARCACAO NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2010: EQUIPAMENTOS DE PROPULSÃO DE NAVIOS E EMBARCAÇÕES                                                                       ,08183: HÉLICE EMBARCAÇÃO                                                                                   ,Inativo,Não
809,"TRANSMISSAO MARITIMA COM TIPO DE ENGRENAGEM DE REDUCAO E REVERSAO , TRANSMISSAO MARITIMA COM TIPO DE ENGRENA NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2010: EQUIPAMENTOS DE PROPULSÃO DE NAVIOS E EMBARCAÇÕES                                                                       ,12903: TRANSMISSAO MARITIMA COM TIPO DE ENGRENAGEM DE  REDUCAO E REVERSAO                                  ,Ativo,Não
817,"MASTRO DE EMBARCACAO , MASTRO DE EMBARCACAO NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2020: CORDAMES E EQUIPAMENTOS CORRELATOS                                                                                      ,09431: MASTRO DE EMBARCACAO                                                                                ,Ativo,Não
825,"MONTANTE MESTRE , MONTANTE MESTRE NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2020: CORDAMES E EQUIPAMENTOS CORRELATOS                                                                                      ,09901: MONTANTE MESTRE                                                                                     ,Ativo,Não
1104,"VERGA DE VELAME , VERGA DE VELAME NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2020: CORDAMES E EQUIPAMENTOS CORRELATOS                                                                                      ,13389: VERGA DE VELAME                                                                                     ,Ativo,Não
1120,"PAU - DE - CARGA NAO LIGADO A GUINCHO , PAU - DE - CARGA NAO LIGADO A GUINCHO NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2020: CORDAMES E EQUIPAMENTOS CORRELATOS                                                                                      ,10509: PAU - DE - CARGA NAO LIGADO A GUINCHO                                                               ,Inativo,Não
1155,"PAU - DE - CARGA NAO LIGADO A GUINDASTE , PAU - DE - CARGA NAO LIGADO A GUINDASTE NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2020: CORDAMES E EQUIPAMENTOS CORRELATOS                                                                                      ,10510: PAU - DE - CARGA NAO LIGADO A GUINDASTE                                                             ,Ativo,Não
1171,"CABRESTANTE DE EMBARCACAO , CABRESTANTE DE EMBARCACAO NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2020: CORDAMES E EQUIPAMENTOS CORRELATOS                                                                                      ,04063: CABRESTANTE DE EMBARCACAO                                                                           ,Ativo,Não
1260,"SISTEMA DE GOVERNO , SISTEMA DE GOVERNO NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2030: MAQUINARIA DE CONVES                                                                                                    ,12120: SISTEMA DE GOVERNO                                                                                  ,Inativo,Não
1279,"SISTEMA DE CONTROLE , SISTEMA DE CONTROLE NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2030: MAQUINARIA DE CONVES                                                                                                    ,12113: SISTEMA DE CONTROLE                                                                                 ,Ativo,Não
1287,"TURCO USO NAVAL , TURCO USO NAVAL NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2030: MAQUINARIA DE CONVES                                                                                                    ,13139: TURCO USO NAVAL                                                                                     ,Ativo,Não
1295,"MOLINETE DE CONVES DE EMBARCACAO , MOLINETE DE CONVES DE EMBARCACAO NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2030: MAQUINARIA DE CONVES                                                                                                    ,09876: MOLINETE DE CONVES DE EMBARCACAO                                                                    ,Ativo,Não
1309,"ÂNCORA , ANCORA NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2040: FERRAGENS DE MARINHARIA E ITENS DE CASCO                                                                                ,02485: ÂNCORA                                                                                              ,Ativo,Não
1325,"FATEIXA , FATEIXA NOME",20: EQUIPAMENTOS PARA NAVIOS E EMBARCACOES                                                                                  ,2040: FERRAGENS DE MARINHARIA E ITENS DE CASCO                                                                                ,07322: FATEIXA                                                                                             ,Ativo,Não
