Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1686,"CARRO - GUINDASTE FERROVIARIO , CARRO - GUINDASTE FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2220: VAGÕES FERROVIÁRIOS                                                                                                     ,04590: CARRO - GUINDASTE FERROVIARIO                                                                       ,Inativo,Não
10863,"DORMENTE PARA FERROVIAS , DORMENTE PARA FERROVIAS NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2250: MATERIAIS DE FERROVIA                                                                                                   ,06388: DORMENTE PARA FERROVIAS                                                                             ,Ativo,Não
28193,"VAGAO FERROVIARIO , VAGAO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2220: VAGÕES FERROVIÁRIOS                                                                                                     ,13226: VAGAO FERROVIARIO                                                                                   ,Ativo,Não
34762,"GUINDASTES MONTADOS EM VAGOES , GUINDASTES MONTADOS EM VAGOES NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2230: EQUIPAMENTO DE CONSTRUÇAO E MANUTENÇAO DE LEITO DE FERROVIA                                                             ,08162: GUINDASTES MONTADOS EM VAGOES                                                                       ,Inativo,Não
34967,"ALINHADOR DE TRILHO FERROVIARIO , ALINHADOR DE TRILHO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2230: EQUIPAMENTO DE CONSTRUÇAO E MANUTENÇAO DE LEITO DE FERROVIA                                                             ,02334: ALINHADOR DE TRILHO FERROVIARIO                                                                     ,Inativo,Não
35980,"LOCOMOTIVA GUINDASTE , LOCOMOTIVA GUINDASTE NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2210: LOCOMOTIVAS                                                                                                             ,08910: LOCOMOTIVA GUINDASTE                                                                                ,Inativo,Não
36005,"CARRO FERROVIARIO REBOCAVEL , CARRO FERROVIARIO REBOCAVEL NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2220: VAGÕES FERROVIÁRIOS                                                                                                     ,04612: CARRO FERROVIARIO REBOCAVEL                                                                         ,Inativo,Não
36013,"CARRO FERROVIARIO AUTOMOTRIZ , CARRO FERROVIARIO AUTOMOTRIZ NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2220: VAGÕES FERROVIÁRIOS                                                                                                     ,04611: CARRO FERROVIARIO AUTOMOTRIZ                                                                        ,Inativo,Não
36021,"VAGAO FERROVIARIO DE TRANSPORTE DE TURMA , VAGAO FERROVIARIO DE TRANSPORTE DE TURMA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2220: VAGÕES FERROVIÁRIOS                                                                                                     ,13227: VAGAO FERROVIARIO DE TRANSPORTE DE TURMA                                                            ,Inativo,Não
36030,"VAGAO FERROVIARIO GUINDASTE , VAGAO FERROVIARIO GUINDASTE NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2220: VAGÕES FERROVIÁRIOS                                                                                                     ,13228: VAGAO FERROVIARIO GUINDASTE                                                                         ,Inativo,Não
36048,"EQUIPAMENTO PARA ASSENTAMENTO NA VIA FERREA , EQUIPAMENTO PARA ASSENTAMENTO NA VIA FER NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2230: EQUIPAMENTO DE CONSTRUÇAO E MANUTENÇAO DE LEITO DE FERROVIA                                                             ,06809: EQUIPAMENTO PARA ASSENTAMENTO NA VIA FERREA                                                         ,Inativo,Não
36056,"EQUIPAMENTO MONTADO OU NAO EM VAGAO FERROVIARIO , EQUIPAMENTO MONTADO OU NAO EM VAGAO FERR NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2230: EQUIPAMENTO DE CONSTRUÇAO E MANUTENÇAO DE LEITO DE FERROVIA                                                             ,06802: EQUIPAMENTO MONTADO OU NAO EM VAGAO FERROVIARIO                                                     ,Inativo,Não
36064,"PECA SOBRESSALENTE PARA EQUIPAMENTO DE MANUTENCAO , PECA SOBRESSALENTE PARA EQUIPAMENTO DE M NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10551: PECA SOBRESSALENTE PARA EQUIPAMENTO DE MANUTENCAO                                                   ,Inativo,Não
36080,"MATERIAL DE BORRACHA PARA LOCOMOTIVA E VAGAO FERROVIARIO , MATERIAL DE BORRACHA PARA LOCOMOTIVA E V NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,09444: MATERIAL DE BORRACHA PARA LOCOMOTIVA E VAGAO FERROVIARIO                                            ,Inativo,Não
36099,"JANELA DE LOCOMOTIVA E VAGAO FERROVIARIO , JANELA DE LOCOMOTIVA E VAGAO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,08520: JANELA DE LOCOMOTIVA E VAGAO FERROVIARIO                                                            ,Inativo,Não
36102,"PORTA DE LOCOMOTIVA E VAGAO FERROVIARIO , PORTA DE LOCOMOTIVA E VAGAO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,11070: PORTA DE LOCOMOTIVA E VAGAO FERROVIARIO                                                             ,Inativo,Não
36110,"CHAPA ESPECIAL PARA CARRO E VAGAO FERROVIARIO , CHAPA ESPECIAL PARA CARRO E VAGAO FERROV NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,04841: CHAPA ESPECIAL PARA CARRO E VAGAO FERROVIARIO                                                       ,Inativo,Não
36129,"PERFILADO ESPECIAL PARA CARRO E VAGAO FERROVIARIO , PERFILADO ESPECIAL PARA CARRO E VAGAO FE NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10658: PERFILADO ESPECIAL PARA CARRO E VAGAO FERROVIARIO                                                   ,Inativo,Não
36137,"MATERIAL PARA LOCOMOTIVA, VAGÃO E VAGONETE , MATERIAL PARA CARRO, VAGAO E VAGONETE NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,"09479: MATERIAL PARA LOCOMOTIVA, VAGÃO E VAGONETE                                                          ",Inativo,Não
36145,"APARELHO DE CHOQUE PARA LOCOMOTIVA E VAGAO FERROVIARIO , APARELHO DE CHOQUE PARA LOCOMOTIVA E VAG NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,02680: APARELHO DE CHOQUE PARA LOCOMOTIVA E VAGAO FERROVIARIO                                              ,Inativo,Não
36153,"APARELHO DE TRACAO PARA LOCOMOTIVA E VAGAO FERROVIARIO , APARELHO DE TRACAO PARA LOCOMOTIVA E VAG NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,02745: APARELHO DE TRACAO PARA LOCOMOTIVA E VAGAO FERROVIARIO                                              ,Inativo,Não
36170,"ACESSORIO E COMPONENTE DE LOCOMOTIVA , ACESSORIO E COMPONENTE DE LOCOMOTIVA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,01705: ACESSORIO E COMPONENTE DE LOCOMOTIVA                                                                ,Inativo,Não
36188,"ARO DE RODA FERROVIARIA , ARO DE RODA FERROVIARIA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,03023: ARO DE RODA FERROVIARIA                                                                             ,Inativo,Não
36196,"RODA FERROVIARIA , RODA FERROVIARIA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,11773: RODA FERROVIARIA                                                                                    ,Inativo,Não
36200,"EIXO FERROVIARIO , EIXO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,06438: EIXO FERROVIARIO                                                                                    ,Inativo,Não
36218,"ELEMENTO DE FRENAGEM PARA LOCOMOTIVA E VAGAO FERROVIARIO , ELEMENTO DE FRENAGEM PARA LOCOMOTIVA E V NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,06444: ELEMENTO DE FRENAGEM PARA LOCOMOTIVA E VAGAO FERROVIARIO                                            ,Inativo,Não
36226,"ENGATE E ACESSORIO FERROVIARIO , ENGATE E ACESSORIO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,06564: ENGATE E ACESSORIO FERROVIARIO                                                                      ,Inativo,Não
36234,"ENGATE FERROVIARIO , ENGATE FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,06565: ENGATE FERROVIARIO                                                                                  ,Inativo,Não
36242,"COMPONENTE DE ENGATE FERROVIARIO , COMPONENTE DE ENGATE FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,05412: COMPONENTE DE ENGATE FERROVIARIO                                                                    ,Inativo,Não
36250,"MANCAL DE FRICCAO FERROVIARIO , MANCAL DE FRICCAO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,09063: MANCAL DE FRICCAO FERROVIARIO                                                                       ,Inativo,Não
36269,"PINO DE MANCAL DE FRICCAO FERROVIARIO , PINO DE MANCAL DE FRICCAO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10744: PINO DE MANCAL DE FRICCAO FERROVIARIO                                                               ,Inativo,Não
36277,"BUCHA DE MANCAL DE FRICCAO FERROVIARIA , BUCHA DE MANCAL DE FRICCAO FERROVIARIA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,03936: BUCHA DE MANCAL DE FRICCAO FERROVIARIA                                                              ,Inativo,Não
36293,"TRUQUE DE VAGAO FERROVIARIO , TRUQUE DE VAGAO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,13019: TRUQUE DE VAGAO FERROVIARIO                                                                         ,Inativo,Não
36307,"ACESSORIO PARA TRUQUE FERROVIARIO , ACESSORIO PARA TRUQUE FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,01724: ACESSORIO PARA TRUQUE FERROVIARIO                                                                   ,Inativo,Não
36315,"MATERIAL PARA CREMALHEIRA - FERROVIARIA , MATERIAL PARA CREMALHEIRA - FERROVIARIA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,09481: MATERIAL PARA CREMALHEIRA - FERROVIARIA                                                             ,Inativo,Não
36323,"PECA SOBRESSALENTE DE LOCOMOTIVA GE , PECA SOBRESSALENTE DE LOCOMOTIVA GE NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10547: PECA SOBRESSALENTE DE LOCOMOTIVA GE                                                                 ,Inativo,Não
36331,"PECA SOBRESSALENTE DE LOCOMOTIVA GM , PECA SOBRESSALENTE DE LOCOMOTIVA GM NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10548: PECA SOBRESSALENTE DE LOCOMOTIVA GM                                                                 ,Inativo,Não
36340,"PECA SOBRESSALENTE DE LOCOMOTIVA ALCO , PECA SOBRESSALENTE DE LOCOMOTIVA ALCO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10546: PECA SOBRESSALENTE DE LOCOMOTIVA ALCO                                                               ,Inativo,Não
36358,"PECA SOBRESSALENTE PARA VAGAO E LOCOMOTIVA CATERPILLAR , PECA SOBRESSALENTE PARA VAGAO E LOCOMOTI NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10553: PECA SOBRESSALENTE PARA VAGAO E LOCOMOTIVA CATERPILLAR                                              ,Inativo,Não
36366,"PECA SOBRESSALENTE DE VAGAO E LOCOMOTIVA WABCO , PECA SOBRESSALENTE DE VAGAO E LOCOMOTIVA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10549: PECA SOBRESSALENTE DE VAGAO E LOCOMOTIVA WABCO                                                      ,Inativo,Não
36374,"PECA SOBRESSALENTE DE VAGAO FERROVIARIO , PECA SOBRESSALENTE DE VAGAO FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10550: PECA SOBRESSALENTE DE VAGAO FERROVIARIO                                                             ,Inativo,Não
36382,"PECA SOBRESSALENTE PARA LOCOMOTIVA , PECA SOBRESSALENTE PARA LOCOMOTIVA NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2240: ACESSÓRIOS E COMPONENTES DE LOCOMOTIVAS E DE VAGÕES FERROVI-ÁRIOS                                                       ,10552: PECA SOBRESSALENTE PARA LOCOMOTIVA                                                                  ,Inativo,Não
36390,"APARELHO DE MANOBRA FERROVIARIO , APARELHO DE MANOBRA FERROVIARIO NOME",22: EQUIPAMENTOS FERROVIÁRIOS                                                                                               ,2250: MATERIAIS DE FERROVIA                                                                                                   ,02719: APARELHO DE MANOBRA FERROVIARIO                                                                     ,Ativo,Não
