Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1783,"AUTOMÓVEL , AUTOMOVEL / VEICULO - PASSAGEIRO NOME",23: VEíCULOS                                                                                                                ,2310: VEÍCULOS MOTORIZADOS DE PASSAGEIROS                                                                                     ,03142: AUTOMÓVEL                                                                                           ,Inativo,Não
1791,"ÔNIBUS , ONIBUS NOME",23: VEíCULOS                                                                                                                ,2310: VEÍCULOS MOTORIZADOS DE PASSAGEIROS                                                                                     ,10218: ÔNIBUS                                                                                              ,Ativo,Não
1805,"MICROÔNIBUS , MICRO - ONIBUS NOME",23: VEíCULOS                                                                                                                ,2310: VEÍCULOS MOTORIZADOS DE PASSAGEIROS                                                                                     ,09718: MICROÔNIBUS                                                                                         ,Ativo,Não
1813,"JIPE DE TRANSPORTE DE PASSAGEIRO , JIPE DE TRANSPORTE DE PASSAGEIRO NOME",23: VEíCULOS                                                                                                                ,2310: VEÍCULOS MOTORIZADOS DE PASSAGEIROS                                                                                     ,08531: JIPE DE TRANSPORTE DE PASSAGEIRO                                                                    ,Inativo,Não
1830,"CAMIONETA / VEÍCULO - TRANSPORTE PASSAGEIRO , CAMIONETA / VEICULO - TRANSPORTE PASSAGE NOME",23: VEíCULOS                                                                                                                ,2310: VEÍCULOS MOTORIZADOS DE PASSAGEIROS                                                                                     ,04368: CAMIONETA / VEÍCULO - TRANSPORTE PASSAGEIRO                                                         ,Inativo,Não
1848,"MOTONETA , MOTONETA NOME",23: VEíCULOS                                                                                                                ,"2340: MOTOCICLETAS, MOTONETAS E BICICLETAS                                                                                    ",09948: MOTONETA                                                                                            ,Inativo,Não
1872,"CAMIONETA TRANSPORTE PASSAGEIRO E CARGA , CAMIONETA DE TRANSPORTE DE PASSAGEIRO E NOME",23: VEíCULOS                                                                                                                ,2320: VEÍCULOS SOBRE RODAS                                                                                                    ,04370: CAMIONETA TRANSPORTE PASSAGEIRO E CARGA                                                             ,Ativo,Não
1899,"CHASSI , CHASSI COMPLETO - VEICULO AUTOMOTIVO NOME",23: VEíCULOS                                                                                                                ,2320: VEÍCULOS SOBRE RODAS                                                                                                    ,00803: CHASSI                                                                                              ,Ativo,Não
1910,"VEÍCULO TRANSPORTE PESSOAL , CAMINHAO TRATOR ( CAVALO MECANICO ) NOME",23: VEíCULOS                                                                                                                ,2320: VEÍCULOS SOBRE RODAS                                                                                                    ,00648: VEÍCULO TRANSPORTE PESSOAL                                                                          ,Inativo,Não
1937,"CAMINHÃO , CAMINHAO NOME",23: VEíCULOS                                                                                                                ,2320: VEÍCULOS SOBRE RODAS                                                                                                    ,04358: CAMINHÃO                                                                                            ,Ativo,Não
