Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2402,"TRATOR DE BAIXA VELOCIDADE , TRATOR DE BAIXA VELOCIDADE NOME",24: TRATORES                                                                                                                ,2410: TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA                                                                              ,12933: TRATOR DE BAIXA VELOCIDADE                                                                          ,Ativo,Não
2410,"TRATOR DE ALTA VELOCIDADE , TRATOR DE ALTA VELOCIDADE NOME",24: TRATORES                                                                                                                ,2430: TRATORES DE ALTA VELOCIDADE SOBRE LAGARTAS                                                                              ,12931: TRATOR DE ALTA VELOCIDADE                                                                           ,Ativo,Não
2453,"TRATOR COM SUSPENSAO ARTICULADA , TRATOR COM SUSPENSAO ARTICULADA NOME",24: TRATORES                                                                                                                ,2410: TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA                                                                              ,12930: TRATOR COM SUSPENSAO ARTICULADA                                                                     ,Ativo,Não
2496,"TRATOR , TRATOR DE RODA PARA AGRICULTURA NOME",24: TRATORES                                                                                                                ,2420: TRATORES SOBRE RODAS                                                                                                    ,12936: TRATOR                                                                                              ,Ativo,Não
2631,"MOLA PARA TRATOR DE RODA , MOLA PARA TRATOR DE RODA NOME",24: TRATORES                                                                                                                ,2420: TRATORES SOBRE RODAS                                                                                                    ,09863: MOLA PARA TRATOR DE RODA                                                                            ,Ativo,Não
34916,"TRATOR INDUSTRIAL , TRATOR INDUSTRIAL NOME",24: TRATORES                                                                                                                ,2420: TRATORES SOBRE RODAS                                                                                                    ,12938: TRATOR INDUSTRIAL                                                                                   ,Ativo,Não
90972,"TRATOR FLORESTAL , TRATOR FLORESTAL NOME",24: TRATORES                                                                                                                ,2410: TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA                                                                              ,12937: TRATOR FLORESTAL                                                                                    ,Inativo,Não
130427,"TRATOR DE ESTEIRA , TRATOR DE ESTEIRA NOME",24: TRATORES                                                                                                                ,2410: TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA                                                                              ,12934: TRATOR DE ESTEIRA                                                                                   ,Ativo,Não
132314,"TRATOR TERRAPLENAGEM - PEÇA / ACESSÓRIO , TRATOR TERRAPLENAGEM - PECA / ACESSORIO NOME",24: TRATORES                                                                                                                ,2410: TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA                                                                              ,12940: TRATOR TERRAPLENAGEM - PEÇA / ACESSÓRIO                                                             ,Ativo,Não
192410,"TRATORES DE LAGARTA DE BAIXA VELOCIDADE , TRATORES DE LAGARTA DE BAIXA VELOCIDADE NOME",24: TRATORES                                                                                                                ,2410: TRATORES DE BAIXA VELOCIDADE SOBRE LAGARTA                                                                              ,16798: TRATORES DE LAGARTA DE BAIXA VELOCIDADE                                                             ,Inativo,Não
192420,"TRATORES SOBRE RODAS , TRATORES SOBRE RODAS NOME",24: TRATORES                                                                                                                ,2420: TRATORES SOBRE RODAS                                                                                                    ,16799: TRATORES SOBRE RODAS                                                                                ,Inativo,Não
192430,"TRATORES DE ALTA VELOCIDADE SOBRE LAGARTAS , TRATORES DE ALTA VELOCIDADE SOBRE LAGART NOME",24: TRATORES                                                                                                                ,2430: TRATORES DE ALTA VELOCIDADE SOBRE LAGARTAS                                                                              ,16800: TRATORES DE ALTA VELOCIDADE SOBRE LAGARTAS                                                          ,Inativo,Não
