Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
7889,"EQUIPAMENTO MANUTENCAO E REPARO CAMARA DE AR , EQUIPAMENTO MANUTENCAO E REPARO CAMARA D NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,06801: EQUIPAMENTO MANUTENCAO E REPARO CAMARA DE AR                                                        ,Inativo,Não
14605,"ESTEIRA COM BANDA DE RODAGEM DE BORRACHA , ESTEIRA COM BANDA DE RODAGEM DE BORRACHA NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2630: PNEUS MACIÇO E DE BAIXA PRESSÃO                                                                                         ,07109: ESTEIRA COM BANDA DE RODAGEM DE BORRACHA                                                            ,Ativo,Não
14613,"REMENDO PARA PNEU , REMENDO PARA PNEU NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,11628: REMENDO PARA PNEU                                                                                   ,Ativo,Não
14621,"REMENDO CAMARA DE AR , REMENDO CAMARA DE AR NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,11627: REMENDO CAMARA DE AR                                                                                ,Ativo,Não
14630,"NUCLEO VALVULA CAMARA DE AR , NUCLEO VALVULA CAMARA DE AR NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,10131: NUCLEO VALVULA CAMARA DE AR                                                                         ,Inativo,Não
14648,"VALVULA CAMARA DE AR , VALVULA CAMARA DE AR NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,13249: VALVULA CAMARA DE AR                                                                                ,Ativo,Não
14656,"ESTOJO PARA REPARO DE PNEU , ESTOJO PARA REPARO DE PNEU NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,07165: ESTOJO PARA REPARO DE PNEU                                                                          ,Ativo,Não
14664,"ESTOJO REPARO CAMARA DE AR , ESTOJO REPARO CAMARA DE AR NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,07168: ESTOJO REPARO CAMARA DE AR                                                                          ,Inativo,Não
14672,"REMENDO RAPIDO A FRIO , REMENDO RAPIDO A FRIO NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,11629: REMENDO RAPIDO A FRIO                                                                               ,Inativo,Não
14680,"LONA PNEU , LONA PNEU NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,08917: LONA PNEU                                                                                           ,Ativo,Não
14699,"TIRA RECAUCHUTAGEM , TIRA RECAUCHUTAGEM NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,12782: TIRA RECAUCHUTAGEM                                                                                  ,Ativo,Não
14702,"COLA RAPIDA PARA REPARO DE PNEU , COLA RAPIDA PARA REPARO DE PNEU NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,05323: COLA RAPIDA PARA REPARO DE PNEU                                                                     ,Inativo,Não
14710,"VULCANIZADOR REMENDO PNEU , VULCANIZADOR REMENDO PNEU NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,13482: VULCANIZADOR REMENDO PNEU                                                                           ,Ativo,Não
14729,"VULCANIZADOR REMENDO CAMARA DE AR , VULCANIZADOR REMENDO CAMARA DE AR NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,13481: VULCANIZADOR REMENDO CAMARA DE AR                                                                   ,Ativo,Não
31135,"COLA PARA REPARO DE PNEU , COLA PARA REPARO DE PNEU NOME",26: PNEUS E CÂMARAS DE AR                                                                                                   ,2640: MATERIAL PARA REFORMA E REPARO DE PNEUS E CÂMARAS DE AR                                                                 ,05321: COLA PARA REPARO DE PNEU                                                                            ,Inativo,Não
