Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
14591,"EIXO DE MANIVELA ( VIRABREQUIM ) - MOTOR GASOLINA , EIXO DE MANIVELA ( VIRABREQUIM ) - MOTOR NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ","2805: MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES                                                               ",06435: EIXO DE MANIVELA ( VIRABREQUIM ) - MOTOR GASOLINA                                                   ,Inativo,Não
14737,"BLOCO DE MOTOR A GASOLINA , BLOCO DE MOTOR A GASOLINA NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ","2805: MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES                                                               ",03611: BLOCO DE MOTOR A GASOLINA                                                                           ,Inativo,Não
14745,"EIXO COMANDO VÁLVULA , EIXO DE COMANDO DE VALVULA DE MOTOR A GA NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ","2805: MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES                                                               ",06430: EIXO COMANDO VÁLVULA                                                                                ,Ativo,Não
14753,"CONJUNTO DE BOMBA DE OLEO DE MOTOR A GASOLINA , CONJUNTO DE BOMBA DE OLEO DE MOTOR A GAS NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ","2805: MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES                                                               ",05699: CONJUNTO DE BOMBA DE OLEO DE MOTOR A GASOLINA                                                       ,Inativo,Não
14761,"CABEÇOTE DE MOTOR A GASOLINA , CABECOTE DE MOTOR A GASOLINA NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ","2805: MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES                                                               ",03989: CABEÇOTE DE MOTOR A GASOLINA                                                                        ,Inativo,Não
14770,"CILINDRO DE MOTOR A COMBUSTAO , CILINDRO DE MOTOR A COMBUSTAO NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ","2805: MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES                                                               ",04995: CILINDRO DE MOTOR A COMBUSTAO                                                                       ,Inativo,Não
14788,"EMBOLO , EMBOLO NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ",2820: MÁQUINAS ALTERNATIVAS A VAPOR E COMPONENTES                                                                             ,06517: EMBOLO                                                                                              ,Ativo,Não
14796,"CRUZETA MÁQUINA À VAPOR , CRUZETA PARA MAQUINA A VAPOR NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ",2820: MÁQUINAS ALTERNATIVAS A VAPOR E COMPONENTES                                                                             ,05990: CRUZETA MÁQUINA À VAPOR                                                                             ,Ativo,Não
14800,"EIXO MOTRIZ - MAQUINA A VAPOR , EIXO MOTRIZ - MAQUINA A VAPOR NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ",2820: MÁQUINAS ALTERNATIVAS A VAPOR E COMPONENTES                                                                             ,06439: EIXO MOTRIZ - MAQUINA A VAPOR                                                                       ,Ativo,Não
14818,"EIXO DE COMANDO , EIXO DE COMANDO NOME","28: MOTORES, TURBINAS E SEUS COMPONENTES                                                                                    ",2820: MÁQUINAS ALTERNATIVAS A VAPOR E COMPONENTES                                                                             ,06429: EIXO DE COMANDO                                                                                     ,Ativo,Não
