Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
15717,"CONVERSOR DE TORQUE DE FERRAMENTA HIDRAULICA , CONVERSOR DE TORQUE DE FERRAMENTA HIDRAU NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,3010: CONVERSORES DE TORQUE E CÂMBIOS DE VELOCIDADE                                                                           ,05837: CONVERSOR DE TORQUE DE FERRAMENTA HIDRAULICA                                                        ,Inativo,Não
15725,"EMBREAGEM REDUTORA DE VELOCIDADE , EMBREAGEM REDUTORA DE VELOCIDADE NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,3010: CONVERSORES DE TORQUE E CÂMBIOS DE VELOCIDADE                                                                           ,06520: EMBREAGEM REDUTORA DE VELOCIDADE                                                                    ,Ativo,Não
15733,"CONJUNTO ENGRENAGEM REDUÇÃO , CONJUNTO DE ENGRENAGEM DE REDUCAO NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,3010: CONVERSORES DE TORQUE E CÂMBIOS DE VELOCIDADE                                                                           ,05712: CONJUNTO ENGRENAGEM REDUÇÃO                                                                         ,Ativo,Não
15784,"ELO DE CORRENTE DE TRANSMISSAO , ELO DE CORRENTE DE TRANSMISSAO NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,"3020: ENGRENAGENS, POLIAS, COROAS DENTADAS E  CORRENTES  DE  TRANSMISSÃO                                                      ",06489: ELO DE CORRENTE DE TRANSMISSAO                                                                      ,Ativo,Não
15830,"ENGRENAGEM REDUÇÃO , ENGRENAGEM DE REDUCAO NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,3010: CONVERSORES DE TORQUE E CÂMBIOS DE VELOCIDADE                                                                           ,06576: ENGRENAGEM REDUÇÃO                                                                                  ,Ativo,Não
15849,"GRAMPO DE EMENDA DE CORREIA , GRAMPO DE EMENDA DE CORREIA NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,"3030: CORREAME, CORREIAS DE TRANSMISSÃO, CORREIAS DOS VENTILADORESE ACESSÓRIOS                                                ",08066: GRAMPO DE EMENDA DE CORREIA                                                                         ,Ativo,Não
15857,"PINO DE EMENDA DE CORREIA , PINO DE EMENDA DE CORREIA NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,"3030: CORREAME, CORREIAS DE TRANSMISSÃO, CORREIAS DOS VENTILADORESE ACESSÓRIOS                                                ",10743: PINO DE EMENDA DE CORREIA                                                                           ,Ativo,Não
15865,"CORREIA TRANSMISSÃO , CORREIA DE TRANSMISSAO DE VENTILADOR NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,"3030: CORREAME, CORREIAS DE TRANSMISSÃO, CORREIAS DOS VENTILADORESE ACESSÓRIOS                                                ",05892: CORREIA TRANSMISSÃO                                                                                 ,Inativo,Não
15873,"EIXO COLAR DE TRANSMISSÃO FORÇA , EIXO DE COLAR DE TRANSMISSAO DE FORCA NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,3040: EQUIPAMENTOS DIVERSOS DE TRANSMISSÃO DE FORÇA                                                                           ,06428: EIXO COLAR DE TRANSMISSÃO FORÇA                                                                     ,Ativo,Não
15881,"ACOPLAMENTO FLEXIVEL , ACOPLAMENTO FLEXIVEL NOME",30: EQUIPAMENTOS DE TRANSMISSÃO DE FORÇA MECÂNICA                                                                           ,3040: EQUIPAMENTOS DIVERSOS DE TRANSMISSÃO DE FORÇA                                                                           ,02052: ACOPLAMENTO FLEXIVEL                                                                                ,Ativo,Não
