Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
15911,"MANCAL TIPO LUVA , MANCAL TIPO LUVA NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3120: MANCAIS NÃO MONTADOS                                                                                                    ,09077: MANCAL TIPO LUVA                                                                                    ,Ativo,Não
15920,"MANCAL TIPO BIPARTIDO , MANCAL TIPO BIPARTIDO NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3120: MANCAIS NÃO MONTADOS                                                                                                    ,09076: MANCAL TIPO BIPARTIDO                                                                               ,Ativo,Não
15962,"ROLAMENTO DE ESFERA , ROLAMENTO DE ESFERA NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,11797: ROLAMENTO DE ESFERA                                                                                 ,Ativo,Não
15989,"ROLAMENTO DE ROLETE , ROLAMENTO DE ROLETE NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,11799: ROLAMENTO DE ROLETE                                                                                 ,Inativo,Não
16004,"ROLAMENTO RADIAL AGULHA , ROLAMENTO DE AGULHA NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,11795: ROLAMENTO RADIAL AGULHA                                                                             ,Ativo,Não
16012,"ESFERA DE ROLAMENTO , ESFERA DE ROLAMENTO NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,06958: ESFERA DE ROLAMENTO                                                                                 ,Ativo,Não
16047,"ROLETE DE ROLAMENTO , ROLETE DE ROLAMENTO NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,11816: ROLETE DE ROLAMENTO                                                                                 ,Ativo,Não
16055,"CALÇO ROLAMENTO , CALCO DE ROLAMENTO NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,04218: CALÇO ROLAMENTO                                                                                     ,Ativo,Não
16063,"BUCHA DE ROLAMENTO , BUCHA DE ROLAMENTO NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,03937: BUCHA DE ROLAMENTO                                                                                  ,Inativo,Não
16071,"CONE DE ROLAMENTO , CONE DE ROLAMENTO NOME",31: ROLAMENTOS E MANCAIS                                                                                                    ,3110: ROLAMENTOS ANTIFRICÇÃO NÃO MONTADOS                                                                                     ,05564: CONE DE ROLAMENTO                                                                                   ,Ativo,Não
