Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
6068,"EQUIPAMENTO DE FONTE DE SOLDA , EQUIPAMENTO DE FONTE DE SOLDA NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,"3433: EQUIPAMENTO PARA SOLDA A GÁS, CORTE POR AQUECIMENTO E DE  METALIZAÇÃO                                                   ",06697: EQUIPAMENTO DE FONTE DE SOLDA                                                                       ,Ativo,Não
16314,"SERRA DE FITA , SERRA INDUSTRIAL DE FITA NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3449: MÁQUINAS AUXILIARES PARA MODELAGEM E CORTE DE METAL                                                                     ,12040: SERRA DE FITA                                                                                       ,Ativo,Não
16446,"MAQUINA INDUSTRIAL DE BROCAR , MAQUINA INDUSTRIAL DE BROCAR NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3411: MÁQUINAS DE BROCAR                                                                                                      ,13587: MAQUINA INDUSTRIAL DE BROCAR                                                                        ,Ativo,Não
16454,"MAQUINA INDUSTRIAL DE TORNEAR , MAQUINA INDUSTRIAL DE TORNEAR NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3411: MÁQUINAS DE BROCAR                                                                                                      ,09304: MAQUINA INDUSTRIAL DE TORNEAR                                                                       ,Ativo,Não
16470,"MAQUINA INDUSTRIAL DE MANDRILAR SUPERFICIE , MAQUINA INDUSTRIAL DE MANDRILAR SUPERFIC NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3411: MÁQUINAS DE BROCAR                                                                                                      ,09290: MAQUINA INDUSTRIAL DE MANDRILAR SUPERFICIE                                                          ,Ativo,Não
16489,"MAQUINA INDUSTRIAL DE MANDRILAR INTERIOR , MAQUINA INDUSTRIAL DE MANDRILAR INTERIOR NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3411: MÁQUINAS DE BROCAR                                                                                                      ,09289: MAQUINA INDUSTRIAL DE MANDRILAR INTERIOR                                                            ,Ativo,Não
16535,"FURADEIRA DE BANCADA INDUSTRIAL , FURADEIRA DE BANCADA INDUSTRIAL NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3413: MÁQUINAS DE FURAR E ABRIR ROSCAS                                                                                        ,07870: FURADEIRA DE BANCADA INDUSTRIAL                                                                     ,Ativo,Não
16543,"FERRAMENTA DE BROCAR PARA MAQUINA - FERRAMENTA , FERRAMENTA DE BROCAR PARA MAQUINA - FERR NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3455: FERRAMENTAS DE CORTAR PARA MÁQUINAS FERRAMENTA                                                                          ,07384: FERRAMENTA DE BROCAR PARA MAQUINA - FERRAMENTA                                                      ,Inativo,Não
16551,"FURADEIRA DE MULTICABECOTE INDUSTRIAL , FURADEIRA DE MULTICABECOTE INDUSTRIAL NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3413: MÁQUINAS DE FURAR E ABRIR ROSCAS                                                                                        ,07871: FURADEIRA DE MULTICABECOTE INDUSTRIAL                                                               ,Ativo,Não
16560,"FURADEIRA DE MULTIFUSO INDUSTRIAL , FURADEIRA DE MULTIFUSO INDUSTRIAL NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3413: MÁQUINAS DE FURAR E ABRIR ROSCAS                                                                                        ,07872: FURADEIRA DE MULTIFUSO INDUSTRIAL                                                                   ,Ativo,Não
16578,"FURADEIRA - FRESADORA DE BANCADA INDUSTRIAL , FURADEIRA - FRESADORA DE BANCADA INDUSTR NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3413: MÁQUINAS DE FURAR E ABRIR ROSCAS                                                                                        ,07869: FURADEIRA - FRESADORA DE BANCADA INDUSTRIAL                                                         ,Ativo,Não
16705,"MAQUINA DE APLAINAR ENGRENAGEM , MAQUINA DE APLAINAR ENGRENAGEM NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3414: MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS                                                                         ,09158: MAQUINA DE APLAINAR ENGRENAGEM                                                                      ,Ativo,Não
16713,"MAQUINA INDUSTRIAL DE CORTAR ENGRENAGEM , MAQUINA INDUSTRIAL DE CORTAR ENGRENAGEM NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3414: MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS                                                                         ,09265: MAQUINA INDUSTRIAL DE CORTAR ENGRENAGEM                                                             ,Ativo,Não
16721,"MAQUINA INDUSTRIAL DE ACABAMENTO DE ENGRENAGEM , MAQUINA INDUSTRIAL DE ACABAMENTO DE ENGR NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3414: MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS                                                                         ,09263: MAQUINA INDUSTRIAL DE ACABAMENTO DE ENGRENAGEM                                                      ,Ativo,Não
16730,"MAQUINA INDUSTRIAL DE LIMAR ENGRENAGEM , MAQUINA INDUSTRIAL DE LIMAR ENGRENAGEM NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3414: MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS                                                                         ,09288: MAQUINA INDUSTRIAL DE LIMAR ENGRENAGEM                                                              ,Ativo,Não
16748,"FRESADORA , MAQUINA INDUSTRIAL DE FRESAR ENGRENAGEM NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3417: MÁQUINAS DE FRESAR                                                                                                      ,09284: FRESADORA                                                                                           ,Ativo,Não
16756,"MAQUINA INDUSTRIAL DE POLIR ENGRENAGEM , MAQUINA INDUSTRIAL DE POLIR ENGRENAGEM NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3414: MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS                                                                         ,09296: MAQUINA INDUSTRIAL DE POLIR ENGRENAGEM                                                              ,Ativo,Não
16764,"MAQUINA INDUSTRIAL DE RETIFICAR DENTE - ENGRENAGEM , MAQUINA INDUSTRIAL DE RETIFICAR DENTE - NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3414: MÁQUINAS PARA CORTE E ACABAMENTO DE ENGRENAGENS                                                                         ,09299: MAQUINA INDUSTRIAL DE RETIFICAR DENTE - ENGRENAGEM                                                  ,Ativo,Não
16772,"MAQUINA INDUSTRIAL DE ESMERILHAR - BANCADA MANUAL , MAQUINA INDUSTRIAL DE ESMERILHAR - BANCA NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3415: MÁQUINAS RETIFICADORAS                                                                                                  ,09278: MAQUINA INDUSTRIAL DE ESMERILHAR - BANCADA MANUAL                                                   ,Ativo,Não
16780,"MAQUINA INDUSTRIAL DE ESMERILHAR DE PEDESTAL MANUAAL , MAQUINA INDUSTRIAL DE ESMERILHAR DE PEDE NOME",34: MAQUINAS PARA TRABALHO EM METAIS                                                                                        ,3415: MÁQUINAS RETIFICADORAS                                                                                                  ,09280: MAQUINA INDUSTRIAL DE ESMERILHAR DE PEDESTAL MANUAAL                                                ,Ativo,Não
