Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
17701,"FRISADORA , FRISADORA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3590: EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS E  COMERCIAIS                                                         ,07846: FRISADORA                                                                                           ,Ativo,Não
19860,"MÁQUINA LAVAR ROUPA - INDUSTRIAL , MAQUINA LAVAR ROUPA - INDUSTRIAL NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,09310: MÁQUINA LAVAR ROUPA - INDUSTRIAL                                                                    ,Inativo,Não
19879,"MÁQUINA LAVAR LOUÇAS - PEÇAS / ACESSÓRIOS , MAQUINA INDUSTRIAL DE SECAR ROUPA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,09301: MÁQUINA LAVAR LOUÇAS - PEÇAS / ACESSÓRIOS                                                           ,Inativo,Não
19887,"ESPREMEDOR INDUSTRIAL DE ROUPA , ESPREMEDOR INDUSTRIAL DE ROUPA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,07046: ESPREMEDOR INDUSTRIAL DE ROUPA                                                                      ,Ativo,Não
19895,"MAQUINA INDUSTRIAL DE ENGOMAR ROUPA , MAQUINA INDUSTRIAL DE ENGOMAR ROUPA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,09275: MAQUINA INDUSTRIAL DE ENGOMAR ROUPA                                                                 ,Ativo,Não
19909,"MAQUINA INDUSTRIAL DE PASSAR ROUPA , MAQUINA INDUSTRIAL DE PASSAR ROUPA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,09293: MAQUINA INDUSTRIAL DE PASSAR ROUPA                                                                  ,Ativo,Não
19917,"PRENSA INDUSTRIAL DE VESTUARIO , PRENSA INDUSTRIAL DE VESTUARIO NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,11185: PRENSA INDUSTRIAL DE VESTUARIO                                                                      ,Ativo,Não
19925,"EQUIPAMENTO INDUSTRIAL DE MARCACAO DE ROUPA , EQUIPAMENTO INDUSTRIAL DE MARCACAO DE RO NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,06794: EQUIPAMENTO INDUSTRIAL DE MARCACAO DE ROUPA                                                         ,Ativo,Não
19933,"MÁQUINA DE POLIR CALÇADO , MAQUINA DE COSTURAR CALCADO NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3520: EQUIPAMENTOS PARA CONSERTO DE CALÇADOS                                                                                  ,09177: MÁQUINA DE POLIR CALÇADO                                                                            ,Ativo,Não
19941,"MÁQUINA TAMPADORA E ENCHEDORA , MAQUINA DE ENCHER GARRAFA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09182: MÁQUINA TAMPADORA E ENCHEDORA                                                                       ,Ativo,Não
19950,"MAQUINA DE FECHAR GARRAFA , MAQUINA DE FECHAR GARRAFA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09198: MAQUINA DE FECHAR GARRAFA                                                                           ,Ativo,Não
19968,"MAQUINA PARA ROTULAGEM , MAQUINA PARA ROTULAGEM NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09339: MAQUINA PARA ROTULAGEM                                                                              ,Ativo,Não
19976,"MAQUINA PARA EMPACOTAMENTO , MAQUINA PARA EMPACOTAMENTO NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09324: MAQUINA PARA EMPACOTAMENTO                                                                          ,Ativo,Não
19992,"MÁQUINA GRAMPEADORA , MAQUINA PARA GRAMPEAR RECIPIENTE NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09333: MÁQUINA GRAMPEADORA                                                                                 ,Ativo,Não
20001,"CADEIRA DE BARBEARIA , CADEIRA DE BARBEARIA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3590: EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS E  COMERCIAIS                                                         ,04077: CADEIRA DE BARBEARIA                                                                                ,Ativo,Não
20010,"JOGO DE BARBEARIA , JOGO DE BARBEARIA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3590: EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS E  COMERCIAIS                                                         ,08535: JOGO DE BARBEARIA                                                                                   ,Ativo,Não
28886,"CAIXA REGISTRADORA , CAIXA REGISTRADORA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3550: MÁQUINAS REGISTRADORAS AUTOMÁTICAS E MÁQUINAS ACIONADAS  COMFICHAS                                                      ,04172: CAIXA REGISTRADORA                                                                                  ,Ativo,Não
29130,"MAQUINA DE EMPACOTAR MOEDA E FICHA TELEFONICA , MAQUINA DE EMPACOTAR MOEDA E FICHA TELEF NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09181: MAQUINA DE EMPACOTAR MOEDA E FICHA TELEFONICA                                                       ,Ativo,Não
34800,"ATADEIRA INDUSTRIAL DE ROLO DE PASSAR ROUPA , ATADEIRA INDUSTRIAL DE ROLO DE PASSAR RO NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,03103: ATADEIRA INDUSTRIAL DE ROLO DE PASSAR ROUPA                                                         ,Ativo,Não
34991,"ASPERGIDOR DE LAVANDERIA , ASPERGIDOR DE LAVANDERIA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,03089: ASPERGIDOR DE LAVANDERIA                                                                            ,Ativo,Não
39799,"PARQUIMETRO , PARQUIMETRO NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3550: MÁQUINAS REGISTRADORAS AUTOMÁTICAS E MÁQUINAS ACIONADAS  COMFICHAS                                                      ,10463: PARQUIMETRO                                                                                         ,Ativo,Não
50024,"MESA DE MANICURE , MESA DE MANICURE NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3590: EQUIPAMENTOS DIVERSOS PARA SERVIÇOS PROFISSIONAIS E  COMERCIAIS                                                         ,09628: MESA DE MANICURE                                                                                    ,Ativo,Não
50210,"MÁQUINA SECAR ROUPA , SECADOR CENTRIFUGO DE LAVANDERIA INDUSTR NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,11957: MÁQUINA SECAR ROUPA                                                                                 ,Ativo,Não
50229,"UNIDADE INDUSTRIAL MOVEL PARA LAVANDERIA , UNIDADE INDUSTRIAL MOVEL PARA LAVANDERIA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,13184: UNIDADE INDUSTRIAL MOVEL PARA LAVANDERIA                                                            ,Inativo,Não
50237,"UNIDADE INDUSTRIAL MOVEL PARA LAVAGEM A SECO , UNIDADE INDUSTRIAL MOVEL PARA LAVAGEM A NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3510: EQUIPAMENTOS DE LAVANDERIA E LAVAGEM A SECO                                                                             ,13183: UNIDADE INDUSTRIAL MOVEL PARA LAVAGEM A SECO                                                        ,Inativo,Não
50245,"OFICINA MOVEL DE CONSERTO DE CALCADO , OFICINA MOVEL DE CONSERTO DE CALCADO NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3520: EQUIPAMENTOS PARA CONSERTO DE CALÇADOS                                                                                  ,10153: OFICINA MOVEL DE CONSERTO DE CALCADO                                                                ,Ativo,Não
50253,"ETIQUETADEIRA DE EMBALAGEM , ETIQUETADEIRA DE EMBALAGEM NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,07228: ETIQUETADEIRA DE EMBALAGEM                                                                          ,Ativo,Não
50261,"MAQUINA DE COLAR EMBALAGEM , MAQUINA DE COLAR EMBALAGEM NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09165: MAQUINA DE COLAR EMBALAGEM                                                                          ,Ativo,Não
50270,"SELADORA EMBALAGEM , MAQUINA VEDAR EMBALAGEM / SELADORA NOME",35: EQUIPAMENTOS COMERCIAIS E DE SERVIÇOS                                                                                   ,3540: MÁQUINAS DE EMBALAR E EMPACOTAR                                                                                         ,09358: SELADORA EMBALAGEM                                                                                  ,Ativo,Não
