Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
2488,"TRATOR JARDIM , TRATOR DE JARDIM NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3750: IMPLEMENTOS E FERRAMENTAS DE JARDINAGEM                                                                                 ,01375: TRATOR JARDIM                                                                                       ,Ativo,Não
3549,"CORTADOR DE ALIMENTO PARA ANIMAL , CORTADOR DE ALIMENTO PARA ANIMAL NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,"3770: SELARIA, ARREAMENTO, CHICOTE E ACESSÓRIOS CORRELATOS PARA   ANIMAIS                                                     ",05919: CORTADOR DE ALIMENTO PARA ANIMAL                                                                    ,Inativo,Não
3557,"CHOCADEIRA , CHOCADEIRA DE OVO DE AVE NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,"3730: EQUIPAMENTO DE LATICÍNIOS, AVICULTURA E PECUÁRIA                                                                        ",01403: CHOCADEIRA                                                                                          ,Ativo,Não
3565,"TRITURADOR , TRITURADOR PARA COLHEITA NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3720: EQUIPAMENTO DE COLHEITA                                                                                                 ,13007: TRITURADOR                                                                                          ,Ativo,Não
3573,"DEBULHADOR CEREAL , DEBULHADOR DE CEREAL NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3720: EQUIPAMENTO DE COLHEITA                                                                                                 ,06039: DEBULHADOR CEREAL                                                                                   ,Ativo,Não
3581,"COLHEITADEIRA , COLHEDEIRA MOTORIZADA NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3720: EQUIPAMENTO DE COLHEITA                                                                                                 ,01378: COLHEITADEIRA                                                                                       ,Inativo,Não
3590,"COLHEITADEIRA , COLHEDEIRA REBOCADA NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3720: EQUIPAMENTO DE COLHEITA                                                                                                 ,01378: COLHEITADEIRA                                                                                       ,Inativo,Não
3603,"CEIFADEIRA , CEIFADEIRA MANUAL NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3720: EQUIPAMENTO DE COLHEITA                                                                                                 ,01376: CEIFADEIRA                                                                                          ,Inativo,Não
3611,"CEIFADEIRA , CEIFADEIRA MOTORIZADA NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3720: EQUIPAMENTO DE COLHEITA                                                                                                 ,01376: CEIFADEIRA                                                                                          ,Inativo,Não
3620,"ALFANGE , ALFANGE NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,3720: EQUIPAMENTO DE COLHEITA                                                                                                 ,01369: ALFANGE                                                                                             ,Inativo,Não
3638,"RATOEIRA , RATOEIRA NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,"3740: EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS                                                                   ",01351: RATOEIRA                                                                                            ,Inativo,Não
3646,"BOMBA DE INSETICIDA , BOMBA DE INSETICIDA NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,"3740: EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS                                                                   ",03762: BOMBA DE INSETICIDA                                                                                 ,Ativo,Não
3654,"FUMIGADOR , FUMIGADOR NOME",37: MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS                                                                                       ,"3740: EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS                                                                   ",07859: FUMIGADOR                                                                                           ,Ativo,Não
