Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
4227,"MOTO-RASPO-TRANSPORTADOR , RASPADEIRA ( SCREPERS ) NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,11416: MOTO-RASPO-TRANSPORTADOR                                                                            ,Inativo,Não
4235,"VALETADEIRA , VALETADEIRA NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,13239: VALETADEIRA                                                                                         ,Ativo,Não
4243,"CARREGADEIRA NIVELADORA , CARREGADEIRA NIVELADORA NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,04567: CARREGADEIRA NIVELADORA                                                                             ,Ativo,Não
4251,"CAMINHAO ESPECIAL DE CONSTRUCAO PARA ARRASTO , CAMINHAO ESPECIAL DE CONSTRUCAO PARA ARR NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,04365: CAMINHAO ESPECIAL DE CONSTRUCAO PARA ARRASTO                                                        ,Inativo,Não
4260,"REBOQUE ESPECIAL DE CONSTRUCAO PARA ARRASTO , REBOQUE ESPECIAL DE CONSTRUCAO PARA ARRA NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,11461: REBOQUE ESPECIAL DE CONSTRUCAO PARA ARRASTO                                                         ,Inativo,Não
4278,"CAMINHAO ESPECIAL DE CONSTRUCAO PARA TRANSPORTE DE TERRA , CAMINHAO ESPECIAL DE CONSTRUCAO PARA TRA NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,04366: CAMINHAO ESPECIAL DE CONSTRUCAO PARA TRANSPORTE DE TERRA                                            ,Inativo,Não
4286,"REBOQUE ESPECIAL DE CONSTRUCAO - TRANSPORTE DE TERRA , REBOQUE ESPECIAL DE CONSTRUCAO - TRANSPO NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,11460: REBOQUE ESPECIAL DE CONSTRUCAO - TRANSPORTE DE TERRA                                                ,Inativo,Não
4294,"CAMINHÃO BASCULANTE , CAMINHAO ESPECIAL DE CONSTRUCAO ( TRANSP NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,04364: CAMINHÃO BASCULANTE                                                                                 ,Ativo,Não
4308,"REBOQUE ESPECIAL DE CONSTRUCAO PARA ROCHA ( TRANSPORTADOR BASCULANTE DO TIPO FORA DE ESTRADA ) , REBOQUE ESPECIAL DE CONSTRUCAO PARA ROCH NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3805: EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA                                                                     ,11462: REBOQUE ESPECIAL DE CONSTRUCAO PARA ROCHA  ( TRANSPORTADOR BASCULANTE DO TIPO FORA DE ESTRADA )     ,Inativo,Não
4316,"GUINDASTE DE USO EM CONSTRUCAO PREDIAL , GUINDASTE DE USO EM CONSTRUCAO PREDIAL NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3810: GUINDASTES E ESCAVADEIRAS                                                                                               ,08152: GUINDASTE DE USO EM CONSTRUCAO PREDIAL                                                              ,Ativo,Não
4324,"ESCAVADEIRA TIPO CONSTRUCAO MANUAL , ESCAVADEIRA TIPO CONSTRUCAO MANUAL NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3810: GUINDASTES E ESCAVADEIRAS                                                                                               ,06918: ESCAVADEIRA TIPO CONSTRUCAO MANUAL                                                                  ,Ativo,Não
4332,"CONVERSIVEL MONTADO SOBRE RODA , CONVERSIVEL MONTADO SOBRE RODA NOME","38: EQUIPAMENTOS PARA CONSTRUÇÃO, MINERAÇÃO, TERRAPLENAGEM E MA-NUTENÇÃO DE ESTRADAS                                        ",3810: GUINDASTES E ESCAVADEIRAS                                                                                               ,05831: CONVERSIVEL MONTADO SOBRE RODA                                                                      ,Ativo,Não
