Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1201,"BLOCO , BLOCO NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3940: POLEAMES, TALHAS, MOITÕES, MASSAMES E LINGAS                                                                            ",03593: BLOCO                                                                                               ,Ativo,Não
1228,"MOITAO , MOITAO NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3940: POLEAMES, TALHAS, MOITÕES, MASSAMES E LINGAS                                                                            ",09852: MOITAO                                                                                              ,Ativo,Não
1244,"ARTICULAÇÃO DE EQUIPAMENTO DE ELEVAÇÃO DE CARGA , ARTICULACAO DE EQUIPAMENTO DE ELEVACAO D NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3940: POLEAMES, TALHAS, MOITÕES, MASSAMES E LINGAS                                                                            ",03068: ARTICULAÇÃO DE EQUIPAMENTO DE ELEVAÇÃO DE CARGA                                                     ,Ativo,Não
1252,"ESTROPO , ESTROPO NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3940: POLEAMES, TALHAS, MOITÕES, MASSAMES E LINGAS                                                                            ",07191: ESTROPO                                                                                             ,Ativo,Não
2011,"TRATOR DE ARMAZEM , TRATOR DE ARMAZEM NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3930: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,12932: TRATOR DE ARMAZEM                                                                                   ,Ativo,Não
2020,"EMPILHADEIRA - GARFO , EMPILHADEIRA - GARFO NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3930: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,06531: EMPILHADEIRA - GARFO                                                                                ,Ativo,Não
2038,"CARRO - GUINDASTE ( GIRAFA ) , CARRO - GUINDASTE ( GIRAFA ) NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3930: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,04589: CARRO - GUINDASTE ( GIRAFA )                                                                        ,Inativo,Não
2046,"CARRO - PORTICO ( STRADDLE TRUK ) , CARRO - PORTICO ( STRADDLE TRUK ) NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3930: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,04591: CARRO - PORTICO ( STRADDLE TRUK )                                                                   ,Ativo,Não
2224,"REBOQUE - ARMAZEM , REBOQUE - ARMAZEM NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3920: EQUIPAMENTOS NÃO AUTOPROPULSIONADO PARA MOVIMENTAÇÃO  DE  MATERIAIS                                                     ,11448: REBOQUE - ARMAZEM                                                                                   ,Ativo,Não
4863,"TRANSPORTADOR ROLETE , TRANSPORTADOR DE ROLETE NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3910: TRANSPORTADORES                                                                                                         ,12919: TRANSPORTADOR ROLETE                                                                                ,Inativo,Não
4871,"TRANSPORTADOR ESTEIRA , TRANSPORTADOR DE ESTEIRA NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3910: TRANSPORTADORES                                                                                                         ,12918: TRANSPORTADOR ESTEIRA                                                                               ,Inativo,Não
4880,"TRANSPORTADOR EM TUBO PNEUMATICO , TRANSPORTADOR EM TUBO PNEUMATICO NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3910: TRANSPORTADORES                                                                                                         ,12922: TRANSPORTADOR EM TUBO PNEUMATICO                                                                    ,Ativo,Não
4898,"CARRO DE MAO DE DUAS RODAS , CARRO DE MAO DE DUAS RODAS NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3920: EQUIPAMENTOS NÃO AUTOPROPULSIONADO PARA MOVIMENTAÇÃO  DE  MATERIAIS                                                     ,04605: CARRO DE MAO DE DUAS RODAS                                                                          ,Inativo,Não
4901,"CARRETA - PLATAFORMA MANUAL , CARRETA - PLATAFORMA MANUAL NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3920: EQUIPAMENTOS NÃO AUTOPROPULSIONADO PARA MOVIMENTAÇÃO  DE  MATERIAIS                                                     ,04572: CARRETA - PLATAFORMA MANUAL                                                                         ,Inativo,Não
4928,"VAGONETA , VAGONETA NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3920: EQUIPAMENTOS NÃO AUTOPROPULSIONADO PARA MOVIMENTAÇÃO  DE  MATERIAIS                                                     ,13235: VAGONETA                                                                                            ,Inativo,Não
4936,"CARRO PLATAFORMA MOTORIZADO ALMOXARIFADO , CARRO PLATAFORMA MOTORIZADO PARA ALMOXAR NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3930: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,04620: CARRO PLATAFORMA MOTORIZADO ALMOXARIFADO                                                            ,Ativo,Não
4979,"CILINDRO INCLINAÇÃO GARFO EMPILHADEIRA , CILINDRO DE INCLINACAO DE GARFO DE EMPIL NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3930: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,04994: CILINDRO INCLINAÇÃO GARFO EMPILHADEIRA                                                              ,Ativo,Não
4995,"CADERNAL , CADERNAL NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3940: POLEAMES, TALHAS, MOITÕES, MASSAMES E LINGAS                                                                            ",04092: CADERNAL                                                                                            ,Ativo,Não
5029,"SARILHO , SARILHO NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3950: GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS                                                                                ",11950: SARILHO                                                                                             ,Ativo,Não
5134,"CABRESTANTE , CABRESTANTE NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3950: GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS                                                                                ",04062: CABRESTANTE                                                                                         ,Ativo,Não
5150,"PONTE ROLANTE , PONTE ROLANTE NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3950: GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS                                                                                ",11006: PONTE ROLANTE                                                                                       ,Inativo,Não
5185,"TALHA , TALHA NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3950: GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS                                                                                ",12491: TALHA                                                                                               ,Inativo,Não
5223,"GUINCHO , GUINCHO NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3950: GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS                                                                                ",08138: GUINCHO                                                                                             ,Ativo,Não
5231,"GUINDASTE , GUINDASTE NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,"3950: GUINCHOS, IÇADORES, GUINDASTES E CÁBREAS                                                                                ",08144: GUINDASTE                                                                                           ,Ativo,Não
5266,"PADIOLA DE TRANSPORTE DE MATERIAL , PADIOLA DE TRANSPORTE DE MATERIAL NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3990: EQUIPAMENTOS DIVERSOS PARA MOVIMENTAÇÃO DE MATERIAIS                                                                    ,10283: PADIOLA DE TRANSPORTE DE MATERIAL                                                                   ,Ativo,Não
5274,"ESTRADO DE CARGA ( PALETE ) , ESTRADO DE CARGA ( PALETE ) NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3990: EQUIPAMENTOS DIVERSOS PARA MOVIMENTAÇÃO DE MATERIAIS                                                                    ,07181: ESTRADO DE CARGA ( PALETE )                                                                         ,Inativo,Não
22764,"EMPILHADEIRA - MOTOR A GÁS , EMPILHADEIRA - MOTOR A GAS NOME",39: EQUIPAMENTOS PARA MANUSEIO DE MATERIAL                                                                                  ,3930: VEÍCULOS AUTOPROPULSIONADOS PARA ARMAZÉM                                                                                ,06533: EMPILHADEIRA - MOTOR A GÁS                                                                          ,Ativo,Não
