Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
299,"ESCUDO PARA SOLDADOR , ESCUDO PARA SOLDADOR NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,06953: ESCUDO PARA SOLDADOR                                                                                ,Inativo,Não
990,"BALSA PNEUMATICA , BALSA PNEUMATICA NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4220: EQUIPAMENTO PARA MERGULHO E SALVAMENTO MARÍTIMO                                                                         ,03259: BALSA PNEUMATICA                                                                                    ,Ativo,Não
1007,"BOTE INFLÁVEL , BOTE PNEUMATICO NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4220: EQUIPAMENTO PARA MERGULHO E SALVAMENTO MARÍTIMO                                                                         ,03843: BOTE INFLÁVEL                                                                                       ,Inativo,Não
3816,"TRAJE DE SEGURANCA , TRAJE DE SEGURANCA NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,12857: TRAJE DE SEGURANCA                                                                                  ,Ativo,Não
3859,"LUVA DE SEGURANCA IMPERMEAVEL , LUVA DE SEGURANCA IMPERMEAVEL NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,08972: LUVA DE SEGURANCA IMPERMEAVEL                                                                       ,Inativo,Não
3867,"MITENE TIPO SEGURANCA ( LUVA ) , MITENE TIPO SEGURANCA ( LUVA ) NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,09801: MITENE TIPO SEGURANCA ( LUVA )                                                                      ,Ativo,Não
3875,"PERNEIRA TIPO SEGURANCA , PERNEIRA TIPO SEGURANCA NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,10678: PERNEIRA TIPO SEGURANCA                                                                             ,Inativo,Não
3883,"CAPACETE SEGURANÇA , CAPACETE SEGURANCA - USO GERAL NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,01372: CAPACETE SEGURANÇA                                                                                  ,Ativo,Não
4014,"BOTINA SEGURANÇA , BOTINA NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4240: EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO                                                                                 ,03848: BOTINA SEGURANÇA                                                                                    ,Inativo,Não
6491,"REBOQUE DE COMBATE A INCENDIO , REBOQUE DE COMBATE A INCENDIO NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4210: EQUIPAMENTOS PARA COMBATE A INCÊNDIO                                                                                    ,11457: REBOQUE DE COMBATE A INCENDIO                                                                       ,Ativo,Não
6505,"EXTINTOR DE INCENDIO , EXTINTOR DE INCENDIO NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4210: EQUIPAMENTOS PARA COMBATE A INCÊNDIO                                                                                    ,07257: EXTINTOR DE INCENDIO                                                                                ,Inativo,Não
6513,"MANGUEIRA DE COMBATE A INCENDIO , MANGUEIRA DE COMBATE A INCENDIO NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4210: EQUIPAMENTOS PARA COMBATE A INCÊNDIO                                                                                    ,09096: MANGUEIRA DE COMBATE A INCENDIO                                                                     ,Inativo,Não
