Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
6971,"BOLSA LIGAÇÃO , APARELHO PARA DEPOSITO / DISTRIBUICAO A NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,02825: BOLSA LIGAÇÃO                                                                                       ,Inativo,Não
6980,"APARELHO NAO AUTOMATICO DE DEPOSITO / DISTRIBUICAO DE SABONETE , APARELHO NAO AUTOMATICO DE DEPOSITO / DI NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,02806: APARELHO NAO AUTOMATICO DE DEPOSITO / DISTRIBUICAO DE SABONETE                                      ,Inativo,Não
6998,"PORTA-TOALHA , PORTA - TOALHA TECIDO / PAPEL NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,11057: PORTA-TOALHA                                                                                        ,Ativo,Não
7005,"PIA , PIA NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,10697: PIA                                                                                                 ,Ativo,Não
7013,"TAMPA VASO SANITÁRIO , TAMPA DE VASO SANITARIO NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,12514: TAMPA VASO SANITÁRIO                                                                                ,Ativo,Não
7056,"VALVULA DE BATENTE , VALVULA DE BATENTE NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,13252: VALVULA DE BATENTE                                                                                  ,Ativo,Não
7072,"APARELHO PARA DEPOSITO / DISTRIBUICAO DE TOALHA DE PAPEL , APARELHO PARA DEPOSITO / DISTRIBUICAO DE NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4510: DISPOSITIVOS E ACESSÓRIOS PARA INSTALAÇÕES HIDRÁULICAS                                                                  ,02827: APARELHO PARA DEPOSITO / DISTRIBUICAO DE TOALHA DE PAPEL                                            ,Inativo,Não
7080,"AQUECEDOR DE ÁGUA ELÉTRICO , AQUECEDOR DE AGUA ELETRICO NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4520: EQUIPAMENTOS PARA CALEFAÇÃO E AQUECEDORES DOMÉSTICOS DE ÁGUA                                                            ,02921: AQUECEDOR DE ÁGUA ELÉTRICO                                                                          ,Inativo,Não
7099,"CALDEIRA A VAPOR ATE 2,2 KGF/CM2 DE PRESSAO , CALDEIRA A VAPOR ATE 2,2 KGF/CM2 DE PRES NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4520: EQUIPAMENTOS PARA CALEFAÇÃO E AQUECEDORES DOMÉSTICOS DE ÁGUA                                                            ,"04224: CALDEIRA A VAPOR ATE 2,2 KGF/CM2 DE PRESSAO                                                         ",Inativo,Não
7102,"CALDEIRA GERADORA VAPOR , CALDEIRA A VAPOR ( ATE 1,1 KFG/CM2 DE PR NOME",45: EQUIPAMENTO DE INSTALAÇÕES HIDRÁULICAS E DE AQUECIMENTO                                                                 ,4520: EQUIPAMENTOS PARA CALEFAÇÃO E AQUECEDORES DOMÉSTICOS DE ÁGUA                                                            ,04223: CALDEIRA GERADORA VAPOR                                                                             ,Ativo,Não
