Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
7242,"CONJUNTO FILTRAGEM , EQUIPAMENTO DE FILTRAGEM DE AGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06695: CONJUNTO FILTRAGEM                                                                                  ,Ativo,Não
7250,"ALAMBIQUE DESTILADOR DE AGUA , ALAMBIQUE DESTILADOR DE AGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,"4620: EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA  USO  MARÍTIMO E INDUSTRIAL                                                  ",02208: ALAMBIQUE DESTILADOR DE AGUA                                                                        ,Ativo,Não
7269,"REATOR ANAERÓBICO , FILTRO DE AGUA DE MESA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,07463: REATOR ANAERÓBICO                                                                                   ,Inativo,Não
7277,"FILTRO DE ÁGUA , FILTRO DE AGUA DE PAREDE NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07464: FILTRO DE ÁGUA                                                                                      ,Inativo,Não
7285,"VELA DE FILTRO , VELA DE FILTRO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,13361: VELA DE FILTRO                                                                                      ,Ativo,Não
7293,"DESSALINIZADOR MARITIMO , DESSALINIZADOR MARITIMO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,"4620: EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA  USO  MARÍTIMO E INDUSTRIAL                                                  ",06115: DESSALINIZADOR MARITIMO                                                                             ,Inativo,Não
7307,"DESSALINIZADOR INDUSTRIAL , DESSALINIZADOR INDUSTRIAL NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,"4620: EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA  USO  MARÍTIMO E INDUSTRIAL                                                  ",06114: DESSALINIZADOR INDUSTRIAL                                                                           ,Ativo,Não
7315,"UNIDADE DE BOMBEAMENTO DE ESGOTO , UNIDADE DE BOMBEAMENTO DE ESGOTO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,13163: UNIDADE DE BOMBEAMENTO DE ESGOTO                                                                    ,Ativo,Não
23248,"FILTRO AQUÁRIO / REFIL , FILTRO AGUA PISCINA - PECA / COMPONENTE NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07454: FILTRO AQUÁRIO / REFIL                                                                              ,Ativo,Não
31399,"FILTRO PURIFICAÇÃO ÁGUA , FILTRO / COMPONENTE PURIFICACAO AGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07451: FILTRO PURIFICAÇÃO ÁGUA                                                                             ,Ativo,Não
38466,"ESTACAO INDUSTRIAL DE TRATAMENTO DE AGUA , ESTACAO INDUSTRIAL DE TRATAMENTO DE AGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07080: ESTACAO INDUSTRIAL DE TRATAMENTO DE AGUA                                                            ,Ativo,Não
38474,"EQUIPAMENTO/COMPONENTE - DRENAGEM/TRATAMENTO ÁGUA , EQUIPAMENTO INDUSTRIAL DE TRATAMENTO DE NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06796: EQUIPAMENTO/COMPONENTE - DRENAGEM/TRATAMENTO ÁGUA                                                   ,Inativo,Não
38482,"EQUIPAMENTO CLORADOR PARA TRATAMENTO DE AGUA , CLORADOR DE TRATAMENTO DE AGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,05091: EQUIPAMENTO CLORADOR PARA TRATAMENTO DE AGUA                                                        ,Ativo,Não
38490,"APARELHO TESTE FLOCULAÇÃO , FLOCULADOR NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07639: APARELHO TESTE FLOCULAÇÃO                                                                           ,Ativo,Não
38504,"DESGASEIFICADOR DE AGUA , DESGASEIFICADOR DE AGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06095: DESGASEIFICADOR DE AGUA                                                                             ,Ativo,Não
38512,"OZONIZADOR DE AGUA , OZONIZADOR DE AGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,10266: OZONIZADOR DE AGUA                                                                                  ,Ativo,Não
38520,"AERADOR , AERADOR DE ESGOTO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,02124: AERADOR                                                                                             ,Ativo,Não
38539,"FILTRO ANAERÓBICO , DECANTADOR DE ESGOTO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,06043: FILTRO ANAERÓBICO                                                                                   ,Inativo,Não
43630,"DESTILADOR ÁGUA , DESTILADOR DE AGUA PARA LABORATORIO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06121: DESTILADOR ÁGUA                                                                                     ,Inativo,Não
46523,"DOSADOR QUIMICO , DOSADOR QUIMICO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06395: DOSADOR QUIMICO                                                                                     ,Inativo,Não
53058,"DESTILADOR ÁGUA EQUIPAMENTO SALVA - VIDAS , DESTILADOR DE AGUA DE EQUIPAMENTO SALVA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06120: DESTILADOR ÁGUA EQUIPAMENTO SALVA - VIDAS                                                           ,Ativo,Não
67083,"BEBEDOURO NAO REFRIGERADO PARA GARRAFAO , BEBEDOURO NAO REFRIGERADO PARA GARRAFAO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,03490: BEBEDOURO NAO REFRIGERADO PARA GARRAFAO                                                             ,Inativo,Não
68616,"PEÇAS E ACESSÓRIOS PURIFICADOR ÁGUA , BEBEDOURO DE AGUA NAO REFRIGERADO FIXO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,03488: PEÇAS E ACESSÓRIOS PURIFICADOR ÁGUA                                                                 ,Inativo,Não
72664,"DESENTUPIDOR TUBO / ACESSÓRIOS - COMPONENTES , DESENTUPIDOR DE TUBO DE ESGOTO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,06091: DESENTUPIDOR TUBO / ACESSÓRIOS - COMPONENTES                                                        ,Inativo,Não
74942,"SUPORTE GARRAFAO DE AGUA NAO REFRIGERADO, COM TORNEIRA , SUPORTE GARRAFAO DE AGUA NAO REFRIGERADO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,"12404: SUPORTE GARRAFAO DE AGUA NAO REFRIGERADO, COM  TORNEIRA                                             ",Ativo,Não
88919,"FLOTADOR USO INDUSTRIAL , FLOTADOR USO INDUSTRIAL NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07642: FLOTADOR USO INDUSTRIAL                                                                             ,Ativo,Não
88927,"EQUIPAMENTO DE TRATAMENTO DE ESGOTO INDUSTRIAL , EQUIPAMENTO DE TRATAMENTO DE ESGOTO INDU NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,06766: EQUIPAMENTO DE TRATAMENTO DE ESGOTO INDUSTRIAL                                                      ,Ativo,Não
88935,"ESTACAO COMPACTA DE TRATAMENTO DE ESGOTO , ESTACAO COMPACTA DE TRATAMENTO DE ESGOTO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,07078: ESTACAO COMPACTA DE TRATAMENTO DE ESGOTO                                                            ,Inativo,Não
95745,"FILTRO DE AGUA INDUSTRIAL , FILTRO DE AGUA INDUSTRIAL NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07465: FILTRO DE AGUA INDUSTRIAL                                                                           ,Inativo,Não
103756,"ASPIRADOR MECÂNICO , ASPIRADOR MECANICO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,03092: ASPIRADOR MECÂNICO                                                                                  ,Ativo,Não
121282,"APARELHO ESTERILIZADOR ÁGUA , APARELHO ESTERILIZADOR - PISCINA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,02781: APARELHO ESTERILIZADOR ÁGUA                                                                         ,Inativo,Não
132497,"PLACA FILTRO BIOLOGICO - PISCICULTURA , PLACA FILTRO BIOLOGICO - PISCICULTURA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,10847: PLACA FILTRO BIOLOGICO - PISCICULTURA                                                               ,Ativo,Não
150178,"APARELHO PURIFICADOR DE ÁGUA , APARELHO PURIFICADOR DE ÁGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,15695: APARELHO PURIFICADOR DE ÁGUA                                                                        ,Ativo,Não
150316,"DESTILADOR ÁGUA , DESTILADOR LABORATÓRIO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06121: DESTILADOR ÁGUA                                                                                     ,Ativo,Não
150499,"EQUIPAMENTO/COMPONENTE - DRENAGEM/TRATAMENTO ÁGUA , EQUIPAMENTO/COMPONENTE - DRENAGEM/TRATAM NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06796: EQUIPAMENTO/COMPONENTE - DRENAGEM/TRATAMENTO ÁGUA                                                   ,Ativo,Não
150687,"APARELHO ESTERILIZADOR ÁGUA , APARELHO ESTERILIZADOR ÁGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,02781: APARELHO ESTERILIZADOR ÁGUA                                                                         ,Ativo,Não
150833,"DESENTUPIDOR TUBO / ACESSÓRIOS - COMPONENTES , DESENTUPIDOR TUBO / ACESSÓRIOS - COMPONE NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,06091: DESENTUPIDOR TUBO / ACESSÓRIOS - COMPONENTES                                                        ,Ativo,Não
150863,"PEÇAS E ACESSÓRIOS PURIFICADOR ÁGUA , PEÇAS E ACESSÓRIOS PURUFICADOR ÁGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,03488: PEÇAS E ACESSÓRIOS PURIFICADOR ÁGUA                                                                 ,Ativo,Não
150930,"FILTRO DE ÁGUA , FILTRO DE ÁGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,07464: FILTRO DE ÁGUA                                                                                      ,Ativo,Não
150951,"SISTEMA ULTRAPURIFICAÇÃO ÁGUA , SISTEMA ULTRAPURIFICAÇÃO ÁGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,15207: SISTEMA ULTRAPURIFICAÇÃO ÁGUA                                                                       ,Ativo,Não
151051,"REATOR ANAERÓBICO , REATOR ANAERÓBICO NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,07463: REATOR ANAERÓBICO                                                                                   ,Ativo,Não
194610,"SISTEMA ESTERILIZAÇÃO ÁGUA , EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,16959: SISTEMA ESTERILIZAÇÃO ÁGUA                                                                          ,Ativo,Não
194620,"EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA USO MARÍTIMO EINDUSTRIAL , EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PA NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,"4620: EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA  USO  MARÍTIMO E INDUSTRIAL                                                  ","16960: EQUIPAMENTOS PARA DESTILAÇÃO DE ÁGUA, PARA  USO  MARÍTIMO  EINDUSTRIAL                              ",Inativo,Não
194630,"JATEADOR LIMPADOR , EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS NOME",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4630: EQUIPAMENTOS PARA TRATAMENTO DE ESGOTOS                                                                                 ,16961: JATEADOR LIMPADOR                                                                                   ,Inativo,Não
226164,"ELEMENTO FILTRO , MATERIAL ALUMÍNIO, COMPONENTES ELEMENTOS FILTRANTES DE GASES E PARTÍCULAS SÓLIDAS, FINALIDADE REPOSIÇÃO DE FILTROS, APLICAÇÃO MÁSCARAS DE PROTEÇÃO CONTRA GASES",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,13709: ELEMENTO FILTRO                                                                                     ,Inativo,Não
226410,"ELEMENTO FILTRO , MATERIAL ALUMÍNIO, COMPONENTES ELEMENTOS FILTRANTES DE GASES E PARTÍCULAS SÓLIDAS, FINALIDADE REPOSIÇÃO DE FILTROS, APLICAÇÃO MÁSCARAS DE PROTEÇÃO CONTRA PARTÍCULAS SÓLIDAS",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,13709: ELEMENTO FILTRO                                                                                     ,Inativo,Não
230176,"TANQUE DECANTADOR , MATERIAL AÇO INOXIDÁVEL, CAPACIDADE 100 KG, CARACTERÍSTICAS ADICIONAIS TORNEIRA CORTE RÁPIDO",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,14091: TANQUE DECANTADOR                                                                                   ,Ativo,Não
230177,"TANQUE DECANTADOR , MATERIAL AÇO INOXIDÁVEL, CAPACIDADE 200 KG, CARACTERÍSTICAS ADICIONAIS TORNEIRA CORTE RÁPIDO",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,14091: TANQUE DECANTADOR                                                                                   ,Ativo,Não
233471,"FILTRO GEOMECÂNICO , TIPO NERVURADO, DIÂMETRO 6 POL, COR AZUL, COMPRIMENTO 4 M, APLICAÇÃO INTERIOR TUBO GEOMECÂNICO POÇO ARTEZIANO",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,14571: FILTRO GEOMECÂNICO                                                                                  ,Ativo,Não
234308,"DESTILADOR ÁGUA , CAPACIDADE 5 L/H, VOLTAGEM 220 V, CARACTERÍSTICAS ADICIONAIS COM DISPOSITIVO ELETROMECÂNICO PARA DESLIGAMENTO",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06121: DESTILADOR ÁGUA                                                                                     ,Ativo,Não
234309,"DESTILADOR ÁGUA , CAPACIDADE 5 L/H, VOLTAGEM 220 V, CARACTERÍSTICAS ADICIONAIS COM RESISTÊNCIA BLINDADA E DISPOSITIVO ELETROMECÂN",46: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUAS E TRATAMENTO DE ESGO-TOS                                                         ,4610: EQUIPAMENTOS PARA PURIFICAÇÃO DE ÁGUA                                                                                   ,06121: DESTILADOR ÁGUA                                                                                     ,Ativo,Não
