Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
7323,"TUBO DE METAL , TUBO DE METAL NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4710: CANOS E TUBOS                                                                                                           ,13066: TUBO DE METAL                                                                                       ,Ativo,Não
7331,"CANO DE METAL , CANO DE METAL NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4710: CANOS E TUBOS                                                                                                           ,04425: CANO DE METAL                                                                                       ,Inativo,Não
7340,"TUBO DE PLASTICO RIGIDO , TUBO DE PLASTICO RIGIDO NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4710: CANOS E TUBOS                                                                                                           ,13072: TUBO DE PLASTICO RIGIDO                                                                             ,Inativo,Não
7358,"CANO RIGIDO DE PLASTICO , CANO RIGIDO DE PLASTICO NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4710: CANOS E TUBOS                                                                                                           ,04427: CANO RIGIDO DE PLASTICO                                                                             ,Inativo,Não
7374,"DUTO DE PVC , DUTO DE PVC NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4710: CANOS E TUBOS                                                                                                           ,06416: DUTO DE PVC                                                                                         ,Inativo,Não
7382,"MANGUEIRA HIDRÁULICA , MANGUEIRA FLEXIVEL METALICA NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,00615: MANGUEIRA HIDRÁULICA                                                                                ,Inativo,Não
7390,"TUBO METÁLICO FLEXÍVEL , TUBULACAO FLEXIVEL METALICA NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,00662: TUBO METÁLICO FLEXÍVEL                                                                              ,Inativo,Não
7404,"TUBO FLEXÍVEL , TUBULACAO FLEXIVEL NAO METALICA NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,00620: TUBO FLEXÍVEL                                                                                       ,Inativo,Não
7412,"MANGUEIRA HIDRANTE , MANGUEIRA FLEXIVEL NAO METALICA NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,00661: MANGUEIRA HIDRANTE                                                                                  ,Inativo,Não
7420,"MANGUEIRA COMPLETA PARA CONDUTO DE OLEO , MANGUEIRA COMPLETA PARA CONDUTO DE OLEO NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,09095: MANGUEIRA COMPLETA PARA CONDUTO DE OLEO                                                             ,Ativo,Não
7439,"MANGUEIRA COMBUSTIVEL - GASOLINA , MANGUEIRA COMBUSTIVEL - GASOLINA NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,09093: MANGUEIRA COMBUSTIVEL - GASOLINA                                                                    ,Ativo,Não
7447,"MANGUEIRA AR , MANGUEIRA AR NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,00595: MANGUEIRA AR                                                                                        ,Ativo,Não
7455,"MANGUEIRA PRODUTO QUIMICO , MANGUEIRA PRODUTO QUIMICO NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,09102: MANGUEIRA PRODUTO QUIMICO                                                                           ,Ativo,Não
7463,"MANGUEIRA HIDRANTE , MANGUEIRA COMPLETA PARA PRODUTO HIDRAULI NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ",4720: MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS                                                                                       ,00661: MANGUEIRA HIDRANTE                                                                                  ,Inativo,Não
7471,"CONEXAO PARA TUBULACAO HIDRAULICA - SANITARIA , CONEXAO PARA TUBULACAO HIDRAULICA - SANI NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ","4730: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS                                                       ",05628: CONEXAO PARA TUBULACAO HIDRAULICA - SANITARIA                                                       ,Inativo,Não
7480,"CONEXAO PARA LUBRIFICACAO , CONEXAO PARA LUBRIFICACAO NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ","4730: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS                                                       ",05622: CONEXAO PARA LUBRIFICACAO                                                                           ,Inativo,Não
7498,"ESGUICHO , ESGUICHO NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ","4730: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS                                                       ",06966: ESGUICHO                                                                                            ,Ativo,Não
7501,"JUNTA EXPANSÃO , JUNTA DE EXPANSAO NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ","4730: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS                                                       ",08569: JUNTA EXPANSÃO                                                                                      ,Ativo,Não
7528,"TÊ - CONEXÃO PARA TUBOS E CANOS - SOLDÁVEL , TE - CONEXAO PARA TUBOS CANOS NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ","4730: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS                                                       ",00624: TÊ - CONEXÃO PARA TUBOS E CANOS - SOLDÁVEL                                                          ,Ativo,Não
7536,"COTOVELO TUBO CONDUÇÃO METÁLICO , JOELHO - CONEXAO PARA TUBOS CANOS NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ","4730: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS                                                       ",00666: COTOVELO TUBO CONDUÇÃO METÁLICO                                                                     ,Inativo,Não
7544,"COTOVELO TUBO CONDUÇÃO METÁLICO , COTOVELO - CONEXAO PARA TUBO CANOS NOME","47: CANOS, TUBOS, MANGUEIRAS E ACESSÓRIOS                                                                                   ","4730: ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS                                                       ",00666: COTOVELO TUBO CONDUÇÃO METÁLICO                                                                     ,Inativo,Não
