Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
7048,"VÁLVULA , VALVULA / COMPONENTES - DESCARGA SANITAR NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13245: VÁLVULA                                                                                             ,Inativo,Não
7587,"VALVULA OPERADA A MOTOR ELETRICO , VALVULA OPERADA A MOTOR ELETRICO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13278: VALVULA OPERADA A MOTOR ELETRICO                                                                    ,Inativo,Não
7595,"VÁLVULA SOLENÓIDE , VALVULA OPERADA POR SOLENOIDE NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,01002: VÁLVULA SOLENÓIDE                                                                                   ,Ativo,Não
7617,"VÁLVULA GLOBO , VALVULA GLOBO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Ativo,Não
7633,"VALVULA , VALVULA AUTOMATICA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13248: VALVULA                                                                                             ,Inativo,Não
7641,"VÁLVULA GAVETA , VALVULA DE GAVETA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00969: VÁLVULA GAVETA                                                                                      ,Ativo,Não
7668,"VALVULA ANGULAR , VALVULA ANGULAR NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13247: VALVULA ANGULAR                                                                                     ,Inativo,Não
7684,"VÁLVULA RETENÇÃO , VALVULA DE RETENCAO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00962: VÁLVULA RETENÇÃO                                                                                    ,Ativo,Não
7692,"VALVULA DE SEGURANCA MANUAL , VALVULA DE SEGURANCA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13268: VALVULA DE SEGURANCA MANUAL                                                                         ,Inativo,Não
7714,"REGISTRO PEÇAS E COMPONENTES , REGISTRO NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11558: REGISTRO PEÇAS E COMPONENTES                                                                        ,Inativo,Não
22802,"ÊMBOLO VÁLVULA HIDRÁULICA , EMBOLO DE VALVULA HIDRAULICA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,06518: ÊMBOLO VÁLVULA HIDRÁULICA                                                                           ,Inativo,Não
39292,"ATUADOR HIDRAÚLICO , ATUADOR HIDRAULICO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,03125: ATUADOR HIDRAÚLICO                                                                                  ,Ativo,Não
39306,"ATUADOR PNEUMÁTICO , ATUADOR PNEUMATICO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,03126: ATUADOR PNEUMÁTICO                                                                                  ,Ativo,Não
39314,"VÁLVULA DE CONTROLE DE FLUXO , VALVULA DE CONTROLE DE FLUXO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13254: VÁLVULA DE CONTROLE DE FLUXO                                                                        ,Ativo,Não
39322,"VALVULA REGULADORA DE VAZAO , VALVULA REGULADORA DE VAZAO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13285: VALVULA REGULADORA DE VAZAO                                                                         ,Ativo,Não
39330,"VALVULA REGULADORA DE NIVEL , VALVULA REGULADORA DE NIVEL NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13282: VALVULA REGULADORA DE NIVEL                                                                         ,Ativo,Não
39349,"VÁLVULA REGULADORA DE PRESSÃO / PEÇAS E ACESSÓRIOS , VALVULA REGULADORA DE PRESSAO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13283: VÁLVULA REGULADORA DE PRESSÃO / PEÇAS E ACESSÓRIOS                                                  ,Inativo,Não
39357,"VÁLVULA REDUTORA , VALVULA DE FECHAMENTO DE EMERGENCIA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13259: VÁLVULA REDUTORA                                                                                    ,Inativo,Não
39365,"VÁLVULA TERMOSTÁTICA , VALVULA TERMOSTATICA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13290: VÁLVULA TERMOSTÁTICA                                                                                ,Ativo,Não
39373,"VALVULA DE COMANDO HIDRAULICO , VALVULA DE COMANDO HIDRAULICO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13253: VALVULA DE COMANDO HIDRAULICO                                                                       ,Ativo,Não
39381,"POSICIONADOR PNEUMÁTICO , POSICIONADOR PNEUMATICO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,01192: POSICIONADOR PNEUMÁTICO                                                                             ,Inativo,Não
39390,"POSICIONADOR ELETROPNEUMÁTICO , POSICIONADOR ELETROPNEUMATICO NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,01261: POSICIONADOR ELETROPNEUMÁTICO                                                                       ,Inativo,Não
39403,"VALVULA DE ALIVIO MANUAL , VALVULA DE ALIVIO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13251: VALVULA DE ALIVIO MANUAL                                                                            ,Inativo,Não
39411,"VÁLVULA BORBOLETA , VALVULA BORBOLETA MANUAL / MOTORIZADA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00998: VÁLVULA BORBOLETA                                                                                   ,Inativo,Não
39420,"VÁLVULA DIAFRAGMA , VALVULA DIAFRAGMA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00999: VÁLVULA DIAFRAGMA                                                                                   ,Inativo,Não
39438,"VÁLVULA ESFERA , VALVULA ESFERA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00951: VÁLVULA ESFERA                                                                                      ,Inativo,Não
39446,"VÁLVULA MACHO , VALVULA MACHO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00981: VÁLVULA MACHO                                                                                       ,Inativo,Não
39454,"VÁLVULA SEGURANÇA , VALVULA DE SEGURANCA E ALIVIO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13267: VÁLVULA SEGURANÇA                                                                                   ,Inativo,Não
39462,"VALVULA DE PRESSAO E VACUO MANUAL , VALVULA DE PRESSAO E VACUO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13266: VALVULA DE PRESSAO E VACUO MANUAL                                                                   ,Inativo,Não
53066,"REGISTRO GAVETA , REGISTRO DE GAVETA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11560: REGISTRO GAVETA                                                                                     ,Inativo,Não
53074,"VÁLVULA GLOBO , REGISTRO DE GLOBO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Inativo,Não
53082,"REGISTRO EM ANGULO MANUAL , REGISTRO EM ANGULO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11562: REGISTRO EM ANGULO MANUAL                                                                           ,Inativo,Não
53090,"VÁLVULA RETENÇÃO , REGISTRO DE RETENCAO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00962: VÁLVULA RETENÇÃO                                                                                    ,Inativo,Não
53104,"REGISTRO DE SEGURANCA MANUAL , REGISTRO DE SEGURANCA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11561: REGISTRO DE SEGURANCA MANUAL                                                                        ,Inativo,Não
53112,"REGISTRO DE ALIVIO MANUAL , REGISTRO DE ALIVIO MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11559: REGISTRO DE ALIVIO MANUAL                                                                           ,Inativo,Não
53120,"REGISTRO TIPO TORNEIRA MANUAL , REGISTRO TIPO TORNEIRA MANUAL NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11564: REGISTRO TIPO TORNEIRA MANUAL                                                                       ,Inativo,Não
89524,"VALVULA DE SUCCAO / DESCARGA DE COMPRESSOR , VALVULA DE SUCCAO / DESCARGA DE COMPRESS NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13269: VALVULA DE SUCCAO / DESCARGA DE COMPRESSOR                                                          ,Inativo,Não
89567,"VALVULA OBLIQUA , VALVULA OBLIQUA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13277: VALVULA OBLIQUA                                                                                     ,Inativo,Não
89575,"VÁLVULA AGULHA , VALVULA AGULHA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00964: VÁLVULA AGULHA                                                                                      ,Inativo,Não
89630,"VALVULA DE MANGOTE , VALVULA DE MANGOTE NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13262: VALVULA DE MANGOTE                                                                                  ,Inativo,Não
89648,"VALVULA DE GUILHOTINA , VALVULA DE GUILHOTINA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13260: VALVULA DE GUILHOTINA                                                                               ,Inativo,Não
89672,"VALVULA REGULADORA DE PRESSAO - SISTEMA HIDRAULICO , VALVULA REGULADORA DE PRESSAO - SISTEMA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13284: VALVULA REGULADORA DE PRESSAO - SISTEMA HIDRAULICO                                                  ,Inativo,Não
89699,"POSICIONADOR DE VALVULA , POSICIONADOR DE VALVULA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11104: POSICIONADOR DE VALVULA                                                                             ,Ativo,Não
104027,"VALVULA TERMOPLASTICA , VALVULA TERMOPLASTICA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13289: VALVULA TERMOPLASTICA                                                                               ,Inativo,Não
107549,"VÁLVULA ESFÉRICA , VALVULA ESFERICA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13274: VÁLVULA ESFÉRICA                                                                                    ,Ativo,Não
107557,"VALVULA DISPERSORA , VALVULA DISPERSORA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13271: VALVULA DISPERSORA                                                                                  ,Ativo,Não
111619,"REGISTRO PRESSÃO , REGISTRO PRESSAO NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11563: REGISTRO PRESSÃO                                                                                    ,Ativo,Não
119458,"TOMADA COM VALVULA GAS - RETA / OBLIQUA , TOMADA COM VALVULA GAS - RETA / OBLIQUA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,12805: TOMADA COM VALVULA GAS - RETA / OBLIQUA                                                             ,Ativo,Não
120880,"VÁLVULA VENTOSA , VALVULA VENTOSA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13294: VÁLVULA VENTOSA                                                                                     ,Inativo,Não
128945,"VÁLVULA PNEUMÁTICA , VALVULA PNEUMATICA / CONTROLE NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13281: VÁLVULA PNEUMÁTICA                                                                                  ,Ativo,Não
136522,"VALVULA SISTEMA COLETA A VACUO , VALVULA SISTEMA COLETA A VACUO NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13288: VALVULA SISTEMA COLETA A VACUO                                                                      ,Inativo,Não
150247,"VÁLVULA REDUTORA , VÁLVULA REDUTORA NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13259: VÁLVULA REDUTORA                                                                                    ,Ativo,Não
150248,"VÁLVULA SEGURANÇA , VÁLVULA SEGURANÇA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13267: VÁLVULA SEGURANÇA                                                                                   ,Ativo,Não
150368,"VÁLVULA , VÁLVULA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,13245: VÁLVULA                                                                                             ,Ativo,Não
150526,"VÁLVULA BORBOLETA , VÁLVULA BORBOLETA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00998: VÁLVULA BORBOLETA                                                                                   ,Ativo,Não
150628,"REGISTRO PEÇAS E COMPONENTES , REGISTRO PEÇAS E COMPONENTES NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11558: REGISTRO PEÇAS E COMPONENTES                                                                        ,Ativo,Não
150637,"REGISTRO ESFERA , REGISTRO ESFERA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,14461: REGISTRO ESFERA                                                                                     ,Ativo,Não
150686,"VÁLVULA ESFERA , VÁLVULA ESFERA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00951: VÁLVULA ESFERA                                                                                      ,Ativo,Não
150710,"REGISTRO GAVETA , REGISTRO GAVETA NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,11560: REGISTRO GAVETA                                                                                     ,Ativo,Não
150782,"VÁLVULA REGULADORA DE PRESSÃO / PEÇAS E ACESSÓRIOS , VÁLVULA REGULADORA DE PRESSÃO / PEÇAS E NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,13283: VÁLVULA REGULADORA DE PRESSÃO / PEÇAS E ACESSÓRIOS                                                  ,Ativo,Não
151022,"REGISTRO GLOBO , REGISTRO GLOBO NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,18750: REGISTRO GLOBO                                                                                      ,Ativo,Não
194810,"VÁLVULAS ACIONADAS POR FORÇA MOTRIZ , VÁLVULAS ACIONADAS POR FORÇA MOTRIZ NOME",48: VÁLVULAS                                                                                                                ,4810: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                                     ,16965: VÁLVULAS ACIONADAS POR FORÇA MOTRIZ                                                                 ,Inativo,Não
194820,"VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ , VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ NOME",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,16966: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                             ,Inativo,Não
194850,"ATUADORES PARA MOVIMENTACAO DE VALVULAS , ATUADORES PARA MOVIMENTACAO DE VALVULAS NOME",48: VÁLVULAS                                                                                                                ,4850: ATUADORES PARA MOVIMENTACAO DE VALVULAS                                                                                 ,16967: ATUADORES PARA MOVIMENTACAO DE VALVULAS                                                             ,Inativo,Não
218009,"VÁLVULA AGULHA , MATERIAL CORPO AÇO INOXIDÁVEL, MATERIAL HASTE AÇO INOXIDÁVEL, MATERIAL VEDAÇÃO AÇO INOXIDÁVEL, TIPO RETO, TIPO EXTREMIDADES ROSQUEADAS, TIPO ROSCA NPT, DIÂMETRO NOMINAL 1/4 POL, PRESSÃO MÁXIMA TRABALHO 5.000 PSI, TIPO ACIONAMENTO MANUAL COM VOLANTE",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00964: VÁLVULA AGULHA                                                                                      ,Ativo,Não
218010,"VÁLVULA AGULHA , MATERIAL CORPO AÇO INOXIDÁVEL, MATERIAL HASTE LATÃO, MATERIAL VEDAÇÃO TEFLON, TIPO RETO, TIPO EXTREMIDADES ROSQUEADAS, TIPO ROSCA NPT, DIÂMETRO NOMINAL 1/4 POL, PRESSÃO MÁXIMA TRABALHO 5.000 PSI, TIPO ACIONAMENTO MANUAL COM ALAVANCA",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00964: VÁLVULA AGULHA                                                                                      ,Ativo,Não
218101,"VÁLVULA GLOBO , MATERIAL CORPO BRONZE, MATERIAL SEDE BRONZE, MATERIAL HASTE LATÃO, CLASSE PRESSÃO 125 PSI, DIÂMETRO NOMINAL 3/4 POL, TIPO EXTREMIDADES ROSQUEADAS, TIPO ROSCA NPT, TIPO ACIONAMENTO COM VOLANTE",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Ativo,Não
218102,"VÁLVULA GLOBO , MATERIAL CORPO BRONZE, MATERIAL SEDE BRONZE, MATERIAL HASTE LATÃO, CLASSE PRESSÃO 150 PSI, DIÂMETRO NOMINAL 1 1/4 POL, TIPO EXTREMIDADES FLANGEADAS, TIPO ROSCA NÃO APLICÁVEL, TIPO ACIONAMENTO COM BORBOLETA",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Ativo,Não
218103,"VÁLVULA GLOBO , MATERIAL CORPO BRONZE, MATERIAL SEDE AÇO INOXIDÁVEL, MATERIAL HASTE LATÃO, CLASSE PRESSÃO 200 PSI, DIÂMETRO NOMINAL 1 POL, TIPO EXTREMIDADES ROSQUEADAS, TIPO ROSCA NPT, TIPO ACIONAMENTO COM VOLANTE",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Ativo,Não
218104,"VÁLVULA GLOBO , MATERIAL CORPO FERRO FUNDIDO, MATERIAL SEDE FERRO FUNDIDO, MATERIAL HASTE AÇO CARBONO, CLASSE PRESSÃO 125 PSI, DIÂMETRO NOMINAL 1 1/4 POL, TIPO EXTREMIDADES FLANGEADAS, TIPO ROSCA NÃO APLICÁVEL, TIPO ACIONAMENTO COM BORBOLETA",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Ativo,Não
218105,"VÁLVULA GLOBO , MATERIAL CORPO FERRO FUNDIDO, MATERIAL SEDE BRONZE, MATERIAL HASTE LATÃO, CLASSE PRESSÃO 125 PSI, DIÂMETRO NOMINAL 3 POL, TIPO EXTREMIDADES FLANGEADAS, TIPO ROSCA NÃO APLICÁVEL, TIPO ACIONAMENTO COM VOLANTE",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Ativo,Não
218106,"VÁLVULA GLOBO , MATERIAL CORPO BRONZE, MATERIAL SEDE BRONZE, MATERIAL HASTE BRONZE, CLASSE PRESSÃO 150 PSI, DIÂMETRO NOMINAL 1 1/2 POL, TIPO EXTREMIDADES FLANGEADAS, TIPO ROSCA NÃO APLICÁVEL, TIPO ACIONAMENTO COM VOLANTE",48: VÁLVULAS                                                                                                                ,4820: VÁLVULAS NÃO ACIONADAS POR FORÇA MOTRIZ                                                                                 ,00958: VÁLVULA GLOBO                                                                                       ,Ativo,Não
