Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
205,"PISTOLA , PISTOLAS DE SINALIZACAO NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4940: EQUIPAMENTO ESPECIALIZADO DIVERSOS PARA OFICINA  DE  MANUTENÇÃO E REPARO                                                ,10800: PISTOLA                                                                                             ,Inativo,Não
7757,"ELEVADOR HIDRÁULICO VEÍCULO , ELEVADOR HIDRAULICO DE VEICULO NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,06479: ELEVADOR HIDRÁULICO VEÍCULO                                                                         ,Ativo,Não
7773,"ALINHADOR RODA - VEICULO AUTOMOTIVO , ALINHADOR RODA - VEICULO AUTOMOTIVO NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,02336: ALINHADOR RODA - VEICULO AUTOMOTIVO                                                                 ,Inativo,Não
7862,"EQUIPAMENTO PARA REPARO DE SISTEMA DE FREIO , EQUIPAMENTO PARA REPARO DE SISTEMA DE FR NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,06837: EQUIPAMENTO PARA REPARO DE SISTEMA DE FREIO                                                         ,Ativo,Não
7870,"EQUIPAMENTO PARA MANUTENCAO E REPARO DE PNEU , EQUIPAMENTO PARA MANUTENCAO E REPARO DE NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,06831: EQUIPAMENTO PARA MANUTENCAO E REPARO DE PNEU                                                        ,Ativo,Não
7897,"MAQUINA DE ESMERILHAR EIXO DE MANIVELA , MAQUINA DE ESMERILHAR EIXO DE MANIVELA NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,09192: MAQUINA DE ESMERILHAR EIXO DE MANIVELA                                                              ,Ativo,Não
7900,"APARELHO DE ENSAIO DE VELOCIMETRO , APARELHO DE ENSAIO DE VELOCIMETRO NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,02704: APARELHO DE ENSAIO DE VELOCIMETRO                                                                   ,Ativo,Não
7919,"APARELHO DE ENSAIO DE VELA DE IGNICAO , APARELHO DE ENSAIO DE VELA DE IGNICAO NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,02703: APARELHO DE ENSAIO DE VELA DE IGNICAO                                                               ,Ativo,Não
7927,"ESTICADOR , EQUIPAMENTO DE ENSAIO ESPECIFICAMENTE PR NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,06688: ESTICADOR                                                                                           ,Ativo,Não
7935,"CAVALETE ENSAIO OFICINA , CAVALETE DE ENSAIO ESPECIFICAMENTE PROJE NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,04713: CAVALETE ENSAIO OFICINA                                                                             ,Ativo,Não
7943,"CALIBRADOR , CALIBRADOR PRESSAO - PNEU / BOLA NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,04261: CALIBRADOR                                                                                          ,Inativo,Não
7960,"BOMBA LAVAGEM VEÍCULO PEÇAS / COMPONENTES , BOMBA LAVAGEM VEICULO / COMPONENTE NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4910: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E  REPARO DE VEÍCULOS MOTORIZADOS                                  ,03783: BOMBA LAVAGEM VEÍCULO PEÇAS / COMPONENTES                                                           ,Ativo,Não
7978,"BANCO DE PROVA DE MOTOR DE AERONAVE , BANCO DE PROVA DE MOTOR DE AERONAVE NOME",49: EQUIPAMENTOS PARA OFICINAS DE MANUTENÇÃO E REPAROS                                                                      ,4920: EQUIPAMENTO ESPECIALIZADO PARA OFICINA DE MANUTENÇÃO E REPA-RO DE AERONAVES                                             ,03278: BANCO DE PROVA DE MOTOR DE AERONAVE                                                                 ,Ativo,Não
