Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
167,"FORQUILHAO , FORQUILHAO NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5120: FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ                                                        ",07768: FORQUILHAO                                                                                          ,Ativo,Não
221,"EXTENSAO DE CHAVE SOQUETE , EXTENSAO DE CHAVE SOQUETE NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5120: FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ                                                        ",07246: EXTENSAO DE CHAVE SOQUETE                                                                           ,Inativo,Não
310,"EXTENSOR DE CABO DE ACO , EXTENSOR DE CABO DE ACO NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5120: FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ                                                        ",07254: EXTENSOR DE CABO DE ACO                                                                             ,Ativo,Não
7951,"MACACO HIDRÁULICO , MACACO HIDRAULICO SOBRE RODA NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5120: FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ                                                        ",01050: MACACO HIDRÁULICO                                                                                   ,Inativo,Não
8117,"FORMÃO , FORMAO NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",07733: FORMÃO                                                                                              ,Ativo,Não
8125,"LIMA MANUAL , LIMA NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",08831: LIMA MANUAL                                                                                         ,Ativo,Não
8133,"GROSA - FERRAMENTA , GROSA - FERRAMENTA NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",08108: GROSA - FERRAMENTA                                                                                  ,Ativo,Não
8141,"RASPADEIRA MANUAL , RASPADEIRA MANUAL NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",11417: RASPADEIRA MANUAL                                                                                   ,Ativo,Não
8150,"MACHADO , MACHADO PARA MADEIRA NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",09004: MACHADO                                                                                             ,Ativo,Não
8168,"MACHADINHA , MACHADINHA NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",01116: MACHADINHA                                                                                          ,Inativo,Não
8184,"CORTA - FIO , CORTA - FIO NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",05914: CORTA - FIO                                                                                         ,Ativo,Não
8192,"ALICATE DE CORTE , ALICATE DE CORTE NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",02308: ALICATE DE CORTE                                                                                    ,Ativo,Não
8206,"ALICATE VASADOR , ALICATE VASADOR NOME",51: FERRAMENTAS MANUAIS                                                                                                     ,"5110: FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ                                                            ",13524: ALICATE VASADOR                                                                                     ,Ativo,Não
