Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
7510,"JUNTA VEDAÇÃO , JUNTA DE REDUCAO - CONEXAO PARA CANOS E NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5330: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO                                                                                 ,08572: JUNTA VEDAÇÃO                                                                                       ,Inativo,Não
9482,"PARAFUSO PORCA AUTO - ROSCANTE DE AUTOMOVEL , PARAFUSO PORCA AUTO - ROSCANTE DE AUTOMO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5306: PARAFUSOS COM PORCA                                                                                                     ,10445: PARAFUSO PORCA AUTO - ROSCANTE DE AUTOMOVEL                                                         ,Inativo,Não
9490,"PARAFUSO PRESSAO DE MADEIRA COM PORCA AUTO - ROSCANTE , PARAFUSO PRESSAO DE MADEIRA COM PORCA A NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5306: PARAFUSOS COM PORCA                                                                                                     ,10449: PARAFUSO PRESSAO DE MADEIRA COM PORCA  AUTO -  ROSCANTE                                             ,Inativo,Não
9504,"PARAFUSO PORCA AUTO - ROSCANTE DE CARROCERIA TIPO PITAO , PARAFUSO PORCA AUTO - ROSCANTE DE CARROC NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5306: PARAFUSOS COM PORCA                                                                                                     ,10446: PARAFUSO PORCA AUTO - ROSCANTE DE CARROCERIA TIPO PITAO                                             ,Inativo,Não
9512,"PARAFUSO PORCA AUTO - ROSCANTE DE RODA , PARAFUSO PORCA AUTO - ROSCANTE DE RODA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5306: PARAFUSOS COM PORCA                                                                                                     ,10447: PARAFUSO PORCA AUTO - ROSCANTE DE RODA                                                              ,Inativo,Não
9520,"PARAFUSO PRISIONEIRO , PRISIONEIRO DE ROSCA CONTINUA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5307: PRISIONEIROS                                                                                                            ,00831: PARAFUSO PRISIONEIRO                                                                                ,Ativo,Não
9539,"PRISIONEIRO DE ROSCA DUPLA , PRISIONEIRO DE ROSCA DUPLA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5307: PRISIONEIROS                                                                                                            ,11214: PRISIONEIRO DE ROSCA DUPLA                                                                          ,Ativo,Não
9547,"PORCA PLANA , PORCA PLANA QUADRADA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5310: PORCAS E ARRUELAS                                                                                                       ,00982: PORCA PLANA                                                                                         ,Ativo,Não
9555,"PORCA PLANA , PORCA PLANA SEXTAVADA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5310: PORCAS E ARRUELAS                                                                                                       ,00982: PORCA PLANA                                                                                         ,Ativo,Não
9563,"PORCA CASTELO , PORCA CASTELO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5310: PORCAS E ARRUELAS                                                                                                       ,11025: PORCA CASTELO                                                                                       ,Inativo,Não
9571,"PORCA , PORCA CEGA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5310: PORCAS E ARRUELAS                                                                                                       ,11026: PORCA                                                                                               ,Inativo,Não
9580,"PORCA DE PRESSAO ( CONTRAPORCA ) , PORCA DE PRESSAO ( CONTRAPORCA ) NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5310: PORCAS E ARRUELAS                                                                                                       ,11027: PORCA DE PRESSAO ( CONTRAPORCA )                                                                    ,Ativo,Não
9598,"ARRUELA CÔNICA , ARRUELA CONICA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5310: PORCAS E ARRUELAS                                                                                                       ,03047: ARRUELA CÔNICA                                                                                      ,Ativo,Não
9601,"ARRUELA ESTRELADA , ARRUELA ESTRELADA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5310: PORCAS E ARRUELAS                                                                                                       ,03055: ARRUELA ESTRELADA                                                                                   ,Ativo,Não
9610,"PREGO , PREGO DE USO GERAL NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",13621: PREGO                                                                                               ,Inativo,Não
9628,"ARESTA PARA CALÇADO , ARESTA PARA CALCADO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",02984: ARESTA PARA CALÇADO                                                                                 ,Ativo,Não
9636,"TACHA DE CALCADO , TACHA DE CALCADO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",12471: TACHA DE CALCADO                                                                                    ,Inativo,Não
9644,"TACHA DE ESTOFAMENTO , TACHA DE ESTOFAMENTO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",12472: TACHA DE ESTOFAMENTO                                                                                ,Inativo,Não
9652,"PINO LISO , PINO LISO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",10747: PINO LISO                                                                                           ,Ativo,Não
9660,"PINO CONICO , PINO CONICO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",10742: PINO CONICO                                                                                         ,Ativo,Não
9679,"PINO CILÍNDRICO , PINO CILINDRICO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",10741: PINO CILÍNDRICO                                                                                     ,Ativo,Não
9687,"CONTRAPINO , CONTRAPINO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",05801: CONTRAPINO                                                                                          ,Ativo,Não
9709,"CHAVETA MEIA - LUA , CHAVETA MEIA - LUA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",04946: CHAVETA MEIA - LUA                                                                                  ,Inativo,Não
9741,"JUNTA CORRUGADA PARA UNIAO DE TABUAS , JUNTA CORRUGADA PARA UNIAO DE TABUAS NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",08568: JUNTA CORRUGADA PARA UNIAO DE TABUAS                                                                ,Ativo,Não
9776,"PINO PARA PISTOLA DE FIXACAO , PINO PARA PISTOLA DE FIXACAO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,"5315: PREGOS, CHAVETAS E PINOS                                                                                                ",10748: PINO PARA PISTOLA DE FIXACAO                                                                        ,Ativo,Não
9814,"REBITE TUBULAR , REBITE TUBULAR NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5320: REBITES                                                                                                                 ,11444: REBITE TUBULAR                                                                                      ,Inativo,Não
9830,"REBITE AUTO - ROSCANTE , REBITE AUTO - ROSCANTE NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5320: REBITES                                                                                                                 ,11442: REBITE AUTO - ROSCANTE                                                                              ,Inativo,Não
9865,"ILHOS FIXADOR DE CARENAGEM DE AERONAVE , ILHOS FIXADOR DE CARENAGEM DE AERONAVE NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5325: DISPOSITIVOS PARA FIXAÇÃO                                                                                               ,08283: ILHOS FIXADOR DE CARENAGEM DE AERONAVE                                                              ,Ativo,Não
9890,"FIXADOR DE CAPOTA DE VEICULO , FIXADOR DE CAPOTA DE VEICULO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5325: DISPOSITIVOS PARA FIXAÇÃO                                                                                               ,07619: FIXADOR DE CAPOTA DE VEICULO                                                                        ,Ativo,Não
9911,"JUNTA FITA VEDAÇÃO , VEDADOR DE GRAXA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5330: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO                                                                                 ,00602: JUNTA FITA VEDAÇÃO                                                                                  ,Inativo,Não
9938,"RETENTOR , RETENTOR DE GRAXA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5330: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO                                                                                 ,11707: RETENTOR                                                                                            ,Ativo,Não
9946,"RETENTOR DE ÓLEO , RETENTOR DE OLEO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5330: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO                                                                                 ,11708: RETENTOR DE ÓLEO                                                                                    ,Ativo,Não
9970,"JUNTA UNIVERSAL , MATERIAL PARA VEDACAO, A GRANEL NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5330: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO                                                                                 ,09494: JUNTA UNIVERSAL                                                                                     ,Inativo,Não
9989,"TALA FIXAÇÃO , TIRA PARA VEDACAO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5330: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO                                                                                 ,12778: TALA FIXAÇÃO                                                                                        ,Inativo,Não
9997,"ESTOPA DE VEDACAO , ESTOPA DE VEDACAO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5330: GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO                                                                                 ,07175: ESTOPA DE VEDACAO                                                                                   ,Ativo,Não
10006,"TELA METÁLICA , TELA METALICA DE PROTECAO CONTRA INSETO NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5335: TELAS METÁLICAS                                                                                                         ,00580: TELA METÁLICA                                                                                       ,Inativo,Não
