Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
9474,"RIPA , RIPA DE MADEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,11753: RIPA                                                                                                ,Inativo,Não
10367,"MADEIRA ASSOALHO , MADEIRA DE ASSOALHO NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,09012: MADEIRA ASSOALHO                                                                                    ,Inativo,Não
10812,"TÁBUA BITOLADA , TABUA BITOLADA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,12460: TÁBUA BITOLADA                                                                                      ,Inativo,Não
10820,"PRANCHAO BITOLADO , PRANCHAO BITOLADO NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,11134: PRANCHAO BITOLADO                                                                                   ,Inativo,Não
10839,"BARROTE , BARROTE NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,03407: BARROTE                                                                                             ,Ativo,Não
10847,"TACO DE MADEIRA , TACO DE MADEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,12477: TACO DE MADEIRA                                                                                     ,Inativo,Não
10855,"POSTE DE MADEIRA , POSTE DE MADEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,11107: POSTE DE MADEIRA                                                                                    ,Ativo,Não
10871,"SERRAGEM , SERRAGEM NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,12045: SERRAGEM                                                                                            ,Ativo,Não
10880,"APARA DE MADEIRA , APARA DE MADEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,02632: APARA DE MADEIRA                                                                                    ,Ativo,Não
10898,"CAVACO MADEIRA , CAVACO DE MADEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,04709: CAVACO MADEIRA                                                                                      ,Ativo,Não
10901,"COSTANEIRA , COSTANEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,05940: COSTANEIRA                                                                                          ,Ativo,Não
10910,"MADEIRA CONSTRUÇÃO , MADEIRA PARA CONSTRUCAO NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5510: TÁBUAS E ARTIGOS CORRELATOS À BASE DE MADEIRA                                                                           ,09015: MADEIRA CONSTRUÇÃO                                                                                  ,Ativo,Não
10936,"PORTA , PORTA DE MADEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5520: ESQUADRIAS                                                                                                              ,11071: PORTA                                                                                               ,Inativo,Não
10944,"JANELA DE MADEIRA , JANELA DE MADEIRA NOME","55: TÁBUAS, ESQUADRIAS, COMPENSADOS E FOLHEADOS DE MADEIRA                                                                  ",5520: ESQUADRIAS                                                                                                              ,08521: JANELA DE MADEIRA                                                                                   ,Ativo,Não
