Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
11215,"TELE-TIPO , TELE-TIPO NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5815: EQUIPAMENTOS DE TELETIPO E FAC-SÍMILE                                                                                   ,12600: TELE-TIPO                                                                                           ,Ativo,Não
11398,"MODULADOR DEMODULADOR , MODEM NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5895: EQUIPAMENTOS DIVERSOS PARA COMUNICAÇÕES                                                                                 ,00229: MODULADOR DEMODULADOR                                                                               ,Ativo,Não
12556,"EQUIPAMENTO TELEFÔNICO , EQUIPAMENTO TELEFONICO NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,06856: EQUIPAMENTO TELEFÔNICO                                                                              ,Ativo,Não
12572,"AMPLIFICADOR DE SINAL TELEFONICO ( COBERTURA ) , AMPLIFICADOR DE SINAL TELEFONICO ( COBER NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,02450: AMPLIFICADOR DE SINAL TELEFONICO ( COBERTURA )                                                      ,Inativo,Não
12580,"AMPLIFICADOR DE SINAL TELEFONICO , AMPLIFICADOR DE SINAL TELEFONICO ( CONTR NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,02451: AMPLIFICADOR DE SINAL TELEFONICO                                                                    ,Ativo,Não
12599,"AMPLIFICADOR FONE OUVIDO , AMPLIFICADOR DE SINAL TELEFONICO NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,02449: AMPLIFICADOR FONE OUVIDO                                                                            ,Ativo,Não
12610,"BILHETADORA , BILHETADORA NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,03555: BILHETADORA                                                                                         ,Ativo,Não
12629,"DISCRIMINADOR DE SINAL , DISCRIMINADOR DE SINAL NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,06271: DISCRIMINADOR DE SINAL                                                                              ,Ativo,Não
12637,"UNIDADE COMPONENTE DE CENTRAL TELEFONICA , UNIDADE COMPONENTE DE CENTRAL TELEFONICA NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,13158: UNIDADE COMPONENTE DE CENTRAL TELEFONICA                                                            ,Inativo,Não
12645,"UNIDADE SUBCOMPONENTE DE CENTRAL TELEFONICA , UNIDADE SUBCOMPONENTE DE CENTRAL TELEFON NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,13192: UNIDADE SUBCOMPONENTE DE CENTRAL TELEFONICA                                                         ,Ativo,Não
12653,"UNIDADE COMPONENTE DE CENTRAL TELEGRAFICA , UNIDADE COMPONENTE DE CENTRAL TELEGRAFIC NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,13159: UNIDADE COMPONENTE DE CENTRAL TELEGRAFICA                                                           ,Inativo,Não
12661,"UNIDADE SUBCOMPONENTE DE CENTRAL TELEGRAFICA , UNIDADE SUBCOMPONENTE DE CENTRAL TELEGRA NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,13193: UNIDADE SUBCOMPONENTE DE CENTRAL TELEGRAFICA                                                        ,Ativo,Não
12688,"MESA PARA TELEFONIA , MESA PARA TELEFONIA NOME","58: EQUIPAMENTOS DE COMUNICAÇÕES, DETEÇÃO E RADIAÇÃO COERENTE                                                               ",5805: EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO                                                                                    ,09654: MESA PARA TELEFONIA                                                                                 ,Ativo,Não
