Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
41521,"CABO FIBRA ÓTICA , CABO DE FIBRA OPTICA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,04028: CABO FIBRA ÓTICA                                                                                    ,Ativo,Não
41530,"CORDAO OTICO / MONOFIBRA , CORDAO OTICO / MONOFIBRA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,05865: CORDAO OTICO / MONOFIBRA                                                                            ,Inativo,Não
41548,"CORDÃO ÓPTICO , CABO DE FIBRA OPTICA PARA INTERFACE DE C NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,04030: CORDÃO ÓPTICO                                                                                       ,Inativo,Não
41556,"CORDAO OTICO / BIFIBRA , CORDAO OTICO / BIFIBRA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,05864: CORDAO OTICO / BIFIBRA                                                                              ,Inativo,Não
41564,"CABO DE FIBRA OPTICA DE TRANSMISSAO DE DADOS , CABO DE FIBRA OPTICA DE TRANSMISSAO DE D NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,04029: CABO DE FIBRA OPTICA DE TRANSMISSAO DE DADOS                                                        ,Inativo,Não
52264,"CONDUTOR FIBRA ÓTICA , CONDUTOR ( FIBRA OTICA ) NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,05556: CONDUTOR FIBRA ÓTICA                                                                                ,Ativo,Não
52272,"MATERIAL DE REFORCO DE CABO DE FIBRA OTICA , MATERIAL DE REFORCO DE CABO DE FIBRA OTI NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,09453: MATERIAL DE REFORCO DE CABO DE FIBRA OTICA                                                          ,Inativo,Não
52280,"CONJUNTO MONTADO CABO DE FIBRA ÓPTICA , CONJUNTO MONTADO DE CABO DE FIBRA OPTICA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6020: CONJUNTOS MONTADOS DE CABOS DE FOBRA ÓTICA                                                                              ,05764: CONJUNTO MONTADO CABO DE FIBRA ÓPTICA                                                               ,Ativo,Não
52299,"CONJUNTO MONTADO CABO DE FIBRA OPTICA PARA TRANSMISSAO DE DADOS , CONJUNTO MONTADO CABO DE FIBRA OPTICA P NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6020: CONJUNTOS MONTADOS DE CABOS DE FOBRA ÓTICA                                                                              ,05763: CONJUNTO MONTADO  CABO DE FIBRA OPTICA PARA  TRANSMISSAO DE DADOS                                   ,Inativo,Não
52302,"SENSOR FIBRA ÓTICA , SENSOR FIBRA OPTICA - MEDIR DENSIDADE DE NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6030: DISPOSITIVOS DE FIBRA ÓTICA                                                                                             ,12011: SENSOR FIBRA ÓTICA                                                                                  ,Inativo,Não
75752,"CORDAO DE FIBRA OPTICA , CORDAO DE FIBRA OPTICA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6015: CABOS DE FIBRA ÓTICA                                                                                                    ,05861: CORDAO DE FIBRA OPTICA                                                                              ,Inativo,Não
111147,"PEÇA / ACESSÓRIO - FIBRA ÓPTICA , ACESSORIOS OPTICOS NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6070: ACESSÓRIOS E MATERIAIS DE FIBRAS ÓTICAS                                                                                 ,01725: PEÇA / ACESSÓRIO - FIBRA ÓPTICA                                                                     ,Inativo,Não
150028,"TRANSCEPTOR CONVERSOR CABO FIBRA ÓTICA , NOME TRANSCEPTOR CONVERSOR CABO FIBRA ÓTICA","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6030: DISPOSITIVOS DE FIBRA ÓTICA                                                                                             ,14655: TRANSCEPTOR CONVERSOR CABO FIBRA ÓTICA                                                              ,Ativo,Não
150122,"MÁQUINA FUSÃO FIBRA ÓTICA , MÁQUINA FUSÃO FIBRA ÓTICA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6030: DISPOSITIVOS DE FIBRA ÓTICA                                                                                             ,17091: MÁQUINA FUSÃO FIBRA ÓTICA                                                                           ,Ativo,Não
150923,"PEÇA / ACESSÓRIO - FIBRA ÓPTICA , EQUIPAMENTO / ACESSÓRIO - FIBRA ÓPTICA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6070: ACESSÓRIOS E MATERIAIS DE FIBRAS ÓTICAS                                                                                 ,01725: PEÇA / ACESSÓRIO - FIBRA ÓPTICA                                                                     ,Ativo,Não
196004,"JUNTAS ROTATIVAS , JUNTAS ROTATIVAS NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6004: JUNTAS ROTATIVAS                                                                                                        ,17073: JUNTAS ROTATIVAS                                                                                    ,Inativo,Não
196005,"ACOPLADORES , ISOLADORES E MISTURADORES , ACOPLADORES , ISOLADORES E MISTURADORES NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ","6005: ACOPLADORES , ISOLADORES E MISTURADORES                                                                                 ","17074: ACOPLADORES , ISOLADORES E MISTURADORES                                                             ",Inativo,Não
196006,"ATENUADORES , ATENUADORES NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6006: ATENUADORES                                                                                                             ,17075: ATENUADORES                                                                                         ,Inativo,Não
196007,"FILTROS , FILTROS NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6007: FILTROS                                                                                                                 ,17076: FILTROS                                                                                             ,Inativo,Não
196008,"MULTIPLEXADORES E DEMULTIPLEXADORES , MULTIPLEXADORES E DEMULTIPLEXADORES NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6008: MULTIPLEXADORES E DEMULTIPLEXADORES                                                                                     ,17077: MULTIPLEXADORES E DEMULTIPLEXADORES                                                                 ,Inativo,Não
196010,"CONDUTORES DE FIBRA ÓTICA , CONDUTORES DE FIBRA ÓTICA NOME","60: MATERIAIS, COMPONENTES, CONJUNTOS E ACESSÓRIOS DE FIBRAS  Ó-TICAS                                                       ",6010: CONDUTORES DE FIBRA ÓTICA                                                                                               ,17078: CONDUTORES DE FIBRA ÓTICA                                                                           ,Inativo,Não
