Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
3425,"PLACA SINALIZADORA , SINALIZACAO - VERTICAL / PLACA TRANSITO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6310: SISTEMA DE SINALIZAÇÃO DE TRÁFEGO E TRÂNSITO                                                                            ,01505: PLACA SINALIZADORA                                                                                  ,Inativo,Não
14540,"BUZINA , BUZINA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",03972: BUZINA                                                                                              ,Ativo,Não
16144,"BANDEIRA DE SINALIZACAO DE CODIGO INTERNACIONAL , BANDEIRA DE SINALIZACAO DE CODIGO INTERN NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",03291: BANDEIRA DE SINALIZACAO DE CODIGO INTERNACIONAL                                                     ,Ativo,Não
16179,"BANDEIRA DE SINALIZACAO METEOROLOGICA , BANDEIRA DE SINALIZACAO METEOROLOGICA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",03293: BANDEIRA DE SINALIZACAO METEOROLOGICA                                                               ,Ativo,Não
22144,"BÓIA SINALIZAÇÃO LUMINOSA , BOIA DE SINALIZACAO LUMINOSA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",03659: BÓIA SINALIZAÇÃO LUMINOSA                                                                           ,Ativo,Não
22527,"CAIXA COMANDO SINALEIRA , CAIXA DE COMANDO PARA SINALEIRA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6310: SISTEMA DE SINALIZAÇÃO DE TRÁFEGO E TRÂNSITO                                                                            ,04124: CAIXA COMANDO SINALEIRA                                                                             ,Ativo,Não
22535,"INDICADOR DE POSICAO DE MASTRO DE EMBARCACAO , INDICADOR DE POSICAO DE MASTRO DE EMBARC NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6320: SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES                                                                         ,08345: INDICADOR DE POSICAO DE MASTRO DE EMBARCACAO                                                        ,Ativo,Não
22543,"INDICADOR DE ANGULO DE LEME DE EMBARCACAO , INDICADOR DE ANGULO DE LEME DE EMBARCACA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6320: SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES                                                                         ,08338: INDICADOR DE ANGULO DE LEME DE EMBARCACAO                                                           ,Ativo,Não
22551,"PAINEL DE ALARME DE EMBARCACAO , PAINEL DE ALARME DE EMBARCACAO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6320: SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES                                                                         ,10288: PAINEL DE ALARME DE EMBARCACAO                                                                      ,Ativo,Não
22560,"SINALEIRA FERROVIARIA , SINALEIRA FERROVIARIA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6330: SISTEMAS DE SINALIZAÇÃO E ALARME PARA FERROVIAS                                                                         ,12079: SINALEIRA FERROVIARIA                                                                               ,Ativo,Não
22578,"SINALEIRA DE BLOQUEIO , SINALEIRA DE BLOQUEIO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6330: SISTEMAS DE SINALIZAÇÃO E ALARME PARA FERROVIAS                                                                         ,12076: SINALEIRA DE BLOQUEIO                                                                               ,Ativo,Não
22586,"ALARME DE TREM DE POUSO , ALARME DE TREM DE POUSO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6340: SISTEMAS DE SINALIZAÇÃO E ALARME PARA AERONAVES                                                                         ,02222: ALARME DE TREM DE POUSO                                                                             ,Ativo,Não
22594,"ALARME DE PRESSAO DO OLEO COMBUSTIVEL DE AERONAVE , ALARME DE PRESSAO DO OLEO COMBUSTIVEL DE NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6340: SISTEMAS DE SINALIZAÇÃO E ALARME PARA AERONAVES                                                                         ,02221: ALARME DE PRESSAO DO OLEO COMBUSTIVEL DE AERONAVE                                                   ,Ativo,Não
22608,"ALARME DE PRESSAO DE OXIGENIO DE AERONAVE , ALARME DE PRESSAO DE OXIGENIO DE AERONAV NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6340: SISTEMAS DE SINALIZAÇÃO E ALARME PARA AERONAVES                                                                         ,02220: ALARME DE PRESSAO DE OXIGENIO DE AERONAVE                                                           ,Ativo,Não
22616,"ALARME DE FUSIVEL QUEIMADO , ALARME DE FUSIVEL QUEIMADO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",02219: ALARME DE FUSIVEL QUEIMADO                                                                          ,Ativo,Não
22624,"CIGARRA , CIGARRA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",01494: CIGARRA                                                                                             ,Inativo,Não
22632,"SIRENE MULTIAPLICAÇÃO , SIRENE MULTIAPLICACAO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",12098: SIRENE MULTIAPLICAÇÃO                                                                               ,Ativo,Não
22640,"BUZINA MULTIAPLICAÇÃO , BUZINA MULTIAPLICACAO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",03977: BUZINA MULTIAPLICAÇÃO                                                                               ,Inativo,Não
22659,"CAMPAINHA ELÉTRICA , CAMPAINHA ELETRICA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",01584: CAMPAINHA ELÉTRICA                                                                                  ,Inativo,Não
22667,"TIMPANO DE MESA , TIMPANO DE MESA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",12728: TIMPANO DE MESA                                                                                     ,Ativo,Não
22683,"SINO PARA ALARME / SINALIZACAO , SINO PARA ALARME / SINALIZACAO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",12091: SINO PARA ALARME / SINALIZACAO                                                                      ,Ativo,Não
22691,"ESPELHO DE SINALIZACAO DE SEGURANCA , ESPELHO DE SINALIZACAO DE SEGURANCA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",07010: ESPELHO DE SINALIZACAO DE SEGURANCA                                                                 ,Ativo,Não
22705,"EQUIPAMENTO DE ALARME SONORO CONTRA INCENDIO , EQUIPAMENTO DE ALARME SONORO CONTRA INCE NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",06659: EQUIPAMENTO DE ALARME SONORO CONTRA INCENDIO                                                        ,Ativo,Não
22713,"SISTEMA SONORIZAÇÃO , EQUIPAMENTO DE ALARME SONORO CONTRA INT NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",13553: SISTEMA SONORIZAÇÃO                                                                                 ,Ativo,Não
25895,"EQUIPAMENTO DE DETECCAO DE GAS , EQUIPAMENTO DE DETECCAO DE GAS NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",13555: EQUIPAMENTO DE DETECCAO DE GAS                                                                      ,Ativo,Não
31984,"BUZINA ELÉTRICA DE VEÍCULO , BUZINA ELETRICA DE VEICULO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",03976: BUZINA ELÉTRICA DE VEÍCULO                                                                          ,Inativo,Não
32042,"ALARME MANUAL CONTRA GAS , ALARME MANUAL CONTRA GAS NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",02223: ALARME MANUAL CONTRA GAS                                                                            ,Ativo,Não
32328,"FAROL DE EMBARCACAO , FAROL DE EMBARCACAO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6320: SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES                                                                         ,07307: FAROL DE EMBARCACAO                                                                                 ,Ativo,Não
33537,"CANCELA FERROVIÁRIA , CANCELA FERROVIARIA NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6330: SISTEMAS DE SINALIZAÇÃO E ALARME PARA FERROVIAS                                                                         ,04395: CANCELA FERROVIÁRIA                                                                                 ,Ativo,Não
33596,"SISTEMA ALARME GÁS , EQUIPAMENTO DE ALARME CONTRA GAS NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",06658: SISTEMA ALARME GÁS                                                                                  ,Inativo,Não
34223,"PAINEL ALARME , PAINEL DE ALARME NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",01532: PAINEL ALARME                                                                                       ,Ativo,Não
36722,"BUZINA DE VEICULO , BUZINA DE VEICULO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",03975: BUZINA DE VEICULO                                                                                   ,Inativo,Não
39730,"ALARME SONORO CONTRA INTRUSAO PREDIAL , ALARME SONORO CONTRA INTRUSAO PREDIAL NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ","6350: SISTEMAS DIVERSOS DE SINALIZAÇÃO, ALARME E DETECÇÃO PARA  SEGURANÇA                                                     ",02226: ALARME SONORO CONTRA INTRUSAO PREDIAL                                                               ,Ativo,Não
42331,"COMPONENTES SINALEIRA TRÂNSITO VEÍCULO / PEDESTRE , SINALEIRA DE TRANSITO DE VEICULO / PEDES NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6310: SISTEMA DE SINALIZAÇÃO DE TRÁFEGO E TRÂNSITO                                                                            ,12077: COMPONENTES SINALEIRA TRÂNSITO VEÍCULO / PEDESTRE                                                   ,Ativo,Não
42340,"PISCA - PISCA DE SINALIZACAO DE TRANSITO , PISCA - PISCA DE SINALIZACAO DE TRANSITO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6310: SISTEMA DE SINALIZAÇÃO DE TRÁFEGO E TRÂNSITO                                                                            ,10777: PISCA - PISCA DE SINALIZACAO DE TRANSITO                                                            ,Ativo,Não
42358,"CONE SINALIZAÇÃO , CONE SINALIZADOR DE TRAFEGO E TRANSITO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6310: SISTEMA DE SINALIZAÇÃO DE TRÁFEGO E TRÂNSITO                                                                            ,01492: CONE SINALIZAÇÃO                                                                                    ,Ativo,Não
42366,"BOIA DE SINALIZACAO , BOIA DE SINALIZACAO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6320: SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES                                                                         ,03658: BOIA DE SINALIZACAO                                                                                 ,Ativo,Não
42374,"BÓIA AMARRAÇÃO , BOIA DE AMARRACAO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6320: SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES                                                                         ,01556: BÓIA AMARRAÇÃO                                                                                      ,Inativo,Não
42382,"LANTERNA BALISAMENTO MARÍTIMO , LANTERNA DE BALIZAMENTO MARITIMO NOME","63: SISTEMAS DE ALARME, SINALIZAÇÃO E DETECÇÃO PARA SEGURANÇA                                                               ",6320: SISTEMAS DE SINALIZAÇÃO E ALARME DE EMBARCAÇÕES                                                                         ,01557: LANTERNA BALISAMENTO MARÍTIMO                                                                       ,Inativo,Não
