Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
196405,"MEDICAMENTOS PARA APARELHOS DIGESTIVO METABOLISMO E NUTRICAO , MEDICAMENTOS PARA APARELHOS DIGESTIVO ME NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6405: MEDICAMENTOS PARA APARELHOS DIGESTIVO METABOLISMO E NUTRICAO                                                            ,17121: MEDICAMENTOS PARA APARELHOS DIGESTIVO METABOLISMO E NUTRICAO                                        ,Inativo,Não
196410,"MEDICAMENTOS PARA SANGUE E ORGAOS HEMATOPOETICOS , MEDICAMENTOS PARA SANGUE E ORGAOS HEMATO NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6410: MEDICAMENTOS PARA SANGUE E ORGAOS HEMATOPOETICOS                                                                        ,17122: MEDICAMENTOS PARA SANGUE E ORGAOS HEMATOPOETICOS                                                    ,Inativo,Não
196415,"MEDICAMENTOS PARA APARELHO CARDIVASCULAR , MEDICAMENTOS PARA APARELHO CARDIVASCULAR NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6415: MEDICAMENTOS PARA APARELHO CARDIVASCULAR                                                                                ,17123: MEDICAMENTOS PARA APARELHO CARDIVASCULAR                                                            ,Inativo,Não
196420,"MEDICAMENTOS PARA DERMATOLOGICOS, OTOLOGICOS EOFTAMOLOGICOS , MEDICAMENTOS PARA DERMATOLOGICOS, OTOL NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ","6420: MEDICAMENTOS PARA DERMATOLOGICOS,   OTOLOGICOS   EOFTAMOLOGICOS                                                         ","17124: MEDICAMENTOS PARA DERMATOLOGICOS,   OTOLOGICOS   EOFTAMOLOGICOS                                     ",Inativo,Não
196425,"MEDICAMENTOS PARA APARELHOS GENITOURINARIO E HARMONIOS SEXUAIS , MEDICAMENTOS PARA APARELHOS GENITOURINAR NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6425: MEDICAMENTOS PARA APARELHOS GENITOURINARIO E HARMONIOS SEXUAIS                                                          ,17125: MEDICAMENTOS PARA APARELHOS GENITOURINARIO E HARMONIOS SEXUAIS                                      ,Inativo,Não
196430,"MEDICAMENTOS PARA HORMONIOS, EXCETO SEXUAIS E METABOLISMO , MEDICAMENTOS PARA HORMONIOS, EXCETO SEXU NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ","6430: MEDICAMENTOS PARA HORMONIOS, EXCETO SEXUAIS E METABOLISMO                                                               ","17126: MEDICAMENTOS PARA HORMONIOS, EXCETO SEXUAIS E METABOLISMO                                           ",Inativo,Não
196435,"MEDICAMENTOS PARA QUIMIOTERAPIA , MEDICAMENTOS PARA QUIMIOTERAPIA NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6435: MEDICAMENTOS PARA QUIMIOTERAPIA                                                                                         ,17127: MEDICAMENTOS PARA QUIMIOTERAPIA                                                                     ,Inativo,Não
196445,"MEDICAMENTOS PARA SISTEMA NERVOSO , MEDICAMENTOS PARA SISTEMA NERVOSO NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6445: MEDICAMENTOS PARA SISTEMA NERVOSO                                                                                       ,17129: MEDICAMENTOS PARA SISTEMA NERVOSO                                                                   ,Inativo,Não
196450,"MEDICAMENTOS PARA APARELHO RESPIRATORIO , MEDICAMENTOS PARA APARELHO RESPIRATORIO NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6450: MEDICAMENTOS PARA APARELHO RESPIRATORIO                                                                                 ,17130: MEDICAMENTOS PARA APARELHO RESPIRATORIO                                                             ,Inativo,Não
196455,"MEDICAMENTOS PARA SISTEMA MUSCULO ESQUELETICO , MEDICAMENTOS PARA SISTEMA MUSCULO ESQUEL NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6455: MEDICAMENTOS PARA SISTEMA MUSCULO ESQUELETICO                                                                           ,17131: MEDICAMENTOS PARA SISTEMA MUSCULO ESQUELETICO                                                       ,Inativo,Não
196465,"OUTROS PROTOCOLOS , OUTROS MEDICAMENTOS NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6465: OUTROS MEDICAMENTOS                                                                                                     ,17133: OUTROS PROTOCOLOS                                                                                   ,Inativo,Não
196470,"DROGAS E PRODUTOS QUIMICOS PARA ANALISE LABORATORIAIS , DROGAS E PRODUTOS QUIMICOS PARA ANALISE NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ",6470: DROGAS E PRODUTOS QUIMICOS PARA ANALISE   LABORATORIAIS                                                                 ,17134: DROGAS E PRODUTOS QUIMICOS PARA ANALISE   LABORATORIAIS                                             ,Inativo,Não
196495,"MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS, DIVER SOS , MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGIC NOME","64: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS                                                                              ","6495: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS, DIVER SOS                                                                   ","17136: MEDICAMENTOS, DROGAS E PRODUTOS BIOLOGICOS, DIVER SOS                                               ",Inativo,Não
