Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
1139,"PERFIL NÃO METÁLICO , VARETA DE MATERIAL PLASTICO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,13303: PERFIL NÃO METÁLICO                                                                                 ,Inativo,Não
4596,"BORRIFADOR , BORRIFADOR NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7240: RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL                                                                              ,03819: BORRIFADOR                                                                                          ,Ativo,Não
4952,"ARMAÇÃO CORTINADO USO DOMÉSTICO , ARMACAO DE CORTINADO DE USO DOMESTICO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,02996: ARMAÇÃO CORTINADO USO DOMÉSTICO                                                                     ,Ativo,Não
7064,"DISPENSER PAPEL TOALHA , APARELHO PARA DEPOSITO / DISTRIBUICAO DE NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7240: RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL                                                                              ,02826: DISPENSER PAPEL TOALHA                                                                              ,Inativo,Não
7153,"LAREIRA , LAREIRA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7290: UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS                                                                             ,00766: LAREIRA                                                                                             ,Inativo,Não
11029,"REVESTIMENTO PISO , LADRILHO DE CERAMICA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00757: REVESTIMENTO PISO                                                                                   ,Inativo,Não
12351,"PERSIANA , PERSIANA FIXA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,"7230: TAPEÇARIAS, CORTINAS E PERSIANAS                                                                                        ",00760: PERSIANA                                                                                            ,Inativo,Não
15997,"COLCHÃO , COLCHAO / COLCHONETE NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,00749: COLCHÃO                                                                                             ,Inativo,Não
18392,"BALDE , BALDE NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7240: RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL                                                                              ,00764: BALDE                                                                                               ,Inativo,Não
22780,"ENFEITE , ENFEITE DE NATAL NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7290: UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS                                                                             ,06561: ENFEITE                                                                                             ,Inativo,Não
22900,"FLOREIRA , FLOREIRA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7290: UTENSÍLIOS COMERCIAIS E DOMÉSTICOS DIVERSOS                                                                             ,00770: FLOREIRA                                                                                            ,Inativo,Não
27022,"LENÇOL CAMA , LENCOL DE TECIDO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,00751: LENÇOL CAMA                                                                                         ,Ativo,Não
27030,"FRONHA , FRONHA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,00750: FRONHA                                                                                              ,Ativo,Não
27073,"COLCHA CAMA , COLCHA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,00748: COLCHA CAMA                                                                                         ,Inativo,Não
27103,"COBERTOR , COBERTOR NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,05286: COBERTOR                                                                                            ,Ativo,Não
27146,"MOSQUITEIRO , MOSQUITEIRO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,09910: MOSQUITEIRO                                                                                         ,Ativo,Não
27162,"TOALHA MESA , TOALHA MESA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,00753: TOALHA MESA                                                                                         ,Ativo,Não
27316,"GUARDANAPO DE PANO , GUARDANAPO DE PANO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,08121: GUARDANAPO DE PANO                                                                                  ,Inativo,Não
27340,"TOALHA ROSTO , TOALHA ROSTO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,00754: TOALHA ROSTO                                                                                        ,Inativo,Não
27367,"TRAVESSEIRO , TRAVESSEIRO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,00756: TRAVESSEIRO                                                                                         ,Ativo,Não
27391,"TAPETE BANHEIRO , TAPETE DE BANHEIRO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00755: TAPETE BANHEIRO                                                                                     ,Inativo,Não
27413,"PANO PRATO , PANO DE COPA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7210: UTENSÍLIOS DOMÉSTICOS                                                                                                   ,10341: PANO PRATO                                                                                          ,Inativo,Não
27472,"CORTINA , CORTINA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,"7230: TAPEÇARIAS, CORTINAS E PERSIANAS                                                                                        ",05933: CORTINA                                                                                             ,Ativo,Não
27561,"LINOLEO , LINOLEO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,08869: LINOLEO                                                                                             ,Inativo,Não
27570,"REVESTIMENTO PISO , LADRILHO DE PLASTICO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00757: REVESTIMENTO PISO                                                                                   ,Inativo,Não
27588,"REVESTIMENTO PISO , LADRILHO DE BORRACHA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00757: REVESTIMENTO PISO                                                                                   ,Inativo,Não
27596,"REVESTIMENTO PISO , LADRILHO DE ASFALTO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00757: REVESTIMENTO PISO                                                                                   ,Inativo,Não
27600,"TAPETE , TAPETE LISO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00758: TAPETE                                                                                              ,Inativo,Não
27618,"TAPETE , TAPETE FELPUDO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00758: TAPETE                                                                                              ,Inativo,Não
27626,"CAPACHO METALICO , CAPACHO METALICO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,04458: CAPACHO METALICO                                                                                    ,Inativo,Não
27634,"CAPACHO , CAPACHO - FIBRA SINTETICA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00745: CAPACHO                                                                                             ,Ativo,Não
27642,"CAPACHO , CAPACHO - MADEIRA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7220: REVESTIMENTOS PARA PISOS                                                                                                ,00745: CAPACHO                                                                                             ,Inativo,Não
27650,"TAPECARIA , TAPECARIA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,"7230: TAPEÇARIAS, CORTINAS E PERSIANAS                                                                                        ",12548: TAPECARIA                                                                                           ,Ativo,Não
27669,"FERRAGEM DE CORTINA , FERRAGEM DE CORTINA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,"7230: TAPEÇARIAS, CORTINAS E PERSIANAS                                                                                        ",07375: FERRAGEM DE CORTINA                                                                                 ,Ativo,Não
27677,"ARTIGO DE CORTINA , ARTIGO DE CORTINA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,"7230: TAPEÇARIAS, CORTINAS E PERSIANAS                                                                                        ",03070: ARTIGO DE CORTINA                                                                                   ,Ativo,Não
27685,"TOLDO , TOLDO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,"7230: TAPEÇARIAS, CORTINAS E PERSIANAS                                                                                        ",12801: TOLDO                                                                                               ,Ativo,Não
27715,"PERSIANA TIPO CORTINA , PERSIANA TIPO CORTINA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,"7230: TAPEÇARIAS, CORTINAS E PERSIANAS                                                                                        ",10682: PERSIANA TIPO CORTINA                                                                               ,Inativo,Não
27855,"CESTA PARA ROUPA , CESTA PARA ROUPA NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7240: RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL                                                                              ,04800: CESTA PARA ROUPA                                                                                    ,Inativo,Não
27863,"LATA DE LIXO , LATA DE LIXO NOME",72: UTENSILIOS E UTILIDADES DE USO DOMESTICO E COMERCIAL                                                                    ,7240: RECEPIENTES PARA USO DOMÉSTICO E COMERCIAL                                                                              ,08729: LATA DE LIXO                                                                                        ,Ativo,Não
