Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
14478,"INSTRUMENTO MUSICAL - PERCURSÃO , INSTRUMENTO MUSICAL - PERCURSAO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7710: INSTRUMENTOS MUSICAIS                                                                                                   ,08414: INSTRUMENTO MUSICAL - PERCURSÃO                                                                     ,Ativo,Não
22675,"INSTRUMENTO MUSICAL - GONGO , INSTRUMENTO MUSICAL - GONGO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7710: INSTRUMENTOS MUSICAIS                                                                                                   ,08413: INSTRUMENTO MUSICAL - GONGO                                                                         ,Inativo,Não
22950,"ENCORDOAMENTO DE INSTRUMENTO MUSICAL , ENCORDOAMENTO DE INSTRUMENTO MUSICAL NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7720: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS                                                                             ,06550: ENCORDOAMENTO DE INSTRUMENTO MUSICAL                                                                ,Inativo,Não
29602,"PEÇA DE INSTRUMENTO MUSICAL , PECA DE INSTRUMENTO MUSICAL NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7720: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS                                                                             ,10535: PEÇA DE INSTRUMENTO MUSICAL                                                                         ,Inativo,Não
29610,"PEÇAS E ACESSÓRIOS INSTRUMENTO MUSICAL , ACESSORIO DE INSTRUMENTO MUSICAL NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7720: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS                                                                             ,01218: PEÇAS E ACESSÓRIOS INSTRUMENTO MUSICAL                                                              ,Inativo,Não
29629,"CAIXA DE INSTRUMENTO MUSICAL , CAIXA DE INSTRUMENTO MUSICAL NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7720: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS                                                                             ,04136: CAIXA DE INSTRUMENTO MUSICAL                                                                        ,Ativo,Não
29637,"CAPA INSTRUMENTO MUSICAL , CAPA DE INSTRUMENTO MUSICAL NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7710: INSTRUMENTOS MUSICAIS                                                                                                   ,04445: CAPA INSTRUMENTO MUSICAL                                                                            ,Ativo,Não
29645,"DIAPASÃO , DIAPASAO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7720: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS                                                                             ,06162: DIAPASÃO                                                                                            ,Ativo,Não
29661,"BOQUILHA DE INSTRUMENTO MUSICAL , BOQUILHA DE INSTRUMENTO MUSICAL NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7720: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS                                                                             ,03802: BOQUILHA DE INSTRUMENTO MUSICAL                                                                     ,Inativo,Não
29670,"PALHETA DE INSTRUMENTO MUSICAL , PALHETA DE INSTRUMENTO MUSICAL NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7720: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS                                                                             ,10320: PALHETA DE INSTRUMENTO MUSICAL                                                                      ,Inativo,Não
29688,"ESTANTE - PARTITURA , ESTANTE - PARTITURA NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7710: INSTRUMENTOS MUSICAIS                                                                                                   ,07095: ESTANTE - PARTITURA                                                                                 ,Ativo,Não
29696,"FONOGRAFO , FONOGRAFO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ","7730: FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO                                                                      ",07705: FONOGRAFO                                                                                           ,Ativo,Não
29700,"RADIO RECEPTOR TIPO DOMESTICO , RADIO RECEPTOR TIPO DOMESTICO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ","7730: FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO                                                                      ",11397: RADIO RECEPTOR TIPO DOMESTICO                                                                       ,Inativo,Não
29718,"TELEVISOR , TELEVISOR / TELEVISAO / TV NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ","7730: FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO                                                                      ",12609: TELEVISOR                                                                                           ,Ativo,Não
29726,"APARELHO VIDEO / SONORO CONJUGADO TIPO DOMESTICO , APARELHO VIDEO / SONORO CONJUGADO TIPO D NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ","7730: FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO                                                                      ",02892: APARELHO VIDEO / SONORO CONJUGADO TIPO DOMESTICO                                                    ,Inativo,Não
29734,"TOCA - DISCO , TOCA - DISCO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ","7730: FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO                                                                      ",12796: TOCA - DISCO                                                                                        ,Ativo,Não
29742,"CONJUNTO ESTEREOFÔNICO , CONJUNTO ESTEREOFONICO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ","7730: FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO                                                                      ",05746: CONJUNTO ESTEREOFÔNICO                                                                              ,Ativo,Não
29750,"DISCO FONOGRAFICO , DISCO FONOGRAFICO NOME","77: INSTRUMENTOS MUSICAIS, FONÓGRAFOS E RÁDIOS DOMÉSTICOS                                                                   ",7740: DISCOS PARA FONÓGRAFO                                                                                                   ,06263: DISCO FONOGRAFICO                                                                                   ,Ativo,Não
